# p1	seed64	light	dark	winner	reason	2-char-actions
p1	1DIV-	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0N0m0U0B0i0b0G0a0Z0g020c090h0j0V0W0d0V0P0c
p1	1DIVN	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0K08060l0m0D0R0C0A0k030B09070H04050e0f0Y0i0I0J0d0b0C040cFu0U5k0jWr0UJ10IE50YWX0fbn0C4J
p1	1DIVO	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0J0K0B0U0I040P0k0W030V05000T0c0j0m06070S080N0F020O0M0D0G9T0bA-GE0A0i8h2xFu0dF83l0f4MDZ0GCnYcTOXsTw0Q0A0X7K0F1B
p1	1DIVP	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0h0H0Q02050I0F0G0E090M06040g0i0R070P000Q0U0b0N0T0S0a0T0Z0a
p1	1DIVQ	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0V0m0R030j0c0O0Z0H020504060b0C0d0a0e0g0S0U0N0T0U0P0W0T0V0M000hRx0G1K092tX-3j
p1	1DIVR	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	-	M	0i09050T0C0S0W0U0J0V0X0Q0d0k0e0l0j06040I0H0P0I0c0R0P0B0O4m0bEt0mE40N8zKmEc7wGV4t395W9WE74n7xAFG_GHMYEc80AFE039D8ElH54f6OAFBq39CUElD84fH5AF6O39BqElCU4fD8AFH5396OElBq4fCUAFD839H5El6O4fBqAFCU39D8ElH54f6OAFBq39CUElD84fH5AF6O39BqElCU4fD8AFH5396O
p1	1DIVS	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0M0X0A0l030W0T0Z090h0g0S0H020O040U0i030a0m0c0V0j0d0k0G0Y0N2w
p1	1DIVT	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0j0d0k0X0Y0W0R060K05030A0H0V0f0A040m0O0c0N0e0l0C0B0J0I0UGL0MLn0QZg0MWO8gQw5GbK5q3d9z9KLM0b0iDkCk0GICEo1J
p1	1DIVU	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0W0B0V0J0j0A0809070C000G0E0S0M0c0F0H0O0N0L0Z0K0I0D060T0U0PAQZo0hBB0b0UI_GkFr7b0j0Y0bRV0kCr
p1	1DIVV	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0b020k0M0d0P0W0F0I0c0e0P0B000a0Q0R0O0N0G090L0X040K0J0D0Y8J0mTC0Y030V9r0b3c
p1	1DIVW	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0Q0Y0P0C0I040k0300050W0607020E010M0U0d0V0X0S0T090F0b080aFE0L7T
p1	1DIVX	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	060b030M0j0O0N0P0U0L0G0i0h0R0V0c0i0V0W0Q0I0V0T0P0a0H0F090M0AEb0I3D
p1	1DIVY	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	-	M	0R0N0704000S0V0M0K0m0D0e060L0W0f0Q0b0X0l0U0i050k0j0c0d0TOiYy0i4J6CVd1PWH40H_5R6P4fBl9HDx3AH7407_5RDF4fDv9HJV3A6N40Bl5RCU4fD89HH_3A6P40Bl5RE84fDF9HHk3AJV406N5RBl4fCU9HD83AH_406P5RBl4fE89HDF3AHk40JV5R6N4fBl9HCP3AH5407x5RCb4fDP9HE03AHk40JV5R6N
p1	1DIVZ	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	010B0Y0G080H0E0A0L0g070h0j0D0M0i0k0C0U0c0V0F0T0O0c
