# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
100004010.W0000040.B.C.D.0.-.-.0.L.5	rust-surveyor-v0.1.0	0D	2	-630	215	1	0	1	0
100004010.W0000240.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	0R	2	-270	414	1	1	0	0
100004020.41000000.B.C.D.0.-.-.0.L.5	rust-surveyor-v0.1.0	06	2	-485	258	1	1	0	0
100004020.41000010.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	00	2	-240	211	1	0	1	0
100004021.41000010.A.B.D.0.-.-.0.L.7	rust-surveyor-v0.1.0	0Z	2	-350	166	1	1	0	0
100004021.41W00010.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0f	2	-110	162	1	0	1	0
10000G84.1C0000400.A.A.L.0.-.-.0.D.8	rust-surveyor-v0.1.0	0Z	2	240	162	1	1	0	0
10000G84.C0000400.A.B.D.0.-.-.0.L.7	rust-pathfinder-v0.1.0	0m	2	-645	166	1	0	1	0
100084010.W0000240.A.B.D.0.-.-.0.L.7	rust-surveyor-v0.1.0	0C	2	-520	166	1	0	1	0
100084010.W0000340.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0A	2	-215	279	1	1	0	0
1000840H0.W0000340.9.A.D.0.-.-.0.L.9	rust-surveyor-v0.1.0	0k	2	-485	651	1	0	1	0
1000840H0.m0000340.9.9.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	03	2	-105	191	1	1	0	0
1000840H8.m0000340.8.9.D.0.-.-.0.L.B	rust-surveyor-v0.1.0	0B	2	-540	150	1	0	1	0
1000840H8.m00003a0.8.8.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	09	2	-240	250	1	1	0	0
1000840P8.m00003a0.7.8.D.0.-.-.0.L.D	rust-surveyor-v0.1.0	07	2	-645	278	1	0	1	0
1000840P8.m00003c0.7.7.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0H	2	165	171	1	1	0	0
100084WP8.m00003c0.6.7.D.0.-.-.0.L.F	rust-surveyor-v0.1.0	04	2	-885	262	1	0	1	0
100084WP8.m00003cG.6.6.L.0.-.-.0.D.G	rust-pathfinder-v0.1.0	05	2	405	130	1	1	0	0
100084WPe.m00003c0.5.7.D.G.-.-.1.L.H	rust-surveyor-v0.1.0	0e	2	-1565	1083	1	0	1	0
100084WPe.mG0003c0.5.6.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0f	2	610	156	1	1	0	0
1000G0000.10000W00.C.C.L.0.-.-.0.D.4	rust-surveyor-v0.1.0	0F	2	-185	307	1	0	1	0
1000G0800.10000W00.B.C.D.0.-.-.0.L.5	rust-pathfinder-v0.1.0	0K	2	-350	216	1	1	0	0
1000G0800.10004W00.B.B.L.0.-.-.0.D.6	rust-surveyor-v0.1.0	08	2	-210	211	1	0	1	0
1000G0840.10004W00.A.B.D.0.-.-.0.L.7	rust-pathfinder-v0.1.0	0G	2	-435	166	1	1	0	0
1000G0840.10004m00.A.A.L.0.-.-.0.D.8	rust-surveyor-v0.1.0	0E	2	-525	821	1	0	1	0
1000G0C40.10004m00.9.A.D.0.-.-.0.L.9	rust-pathfinder-v0.1.0	0L	2	-230	158	1	1	0	0
1000G0C40.1000Cm00.9.9.L.0.-.-.0.D.A	rust-surveyor-v0.1.0	01	2	-1015	911	1	0	1	0
1000G0C42.1000Cm00.8.9.D.0.-.-.0.L.B	rust-pathfinder-v0.1.0	0a	2	-440	258	1	1	0	0
1000G0C42.1100Cm00.8.8.L.0.-.-.0.D.C	rust-surveyor-v0.1.0	07	2	-940	1059	1	0	1	0
1000G0C62.1100Cm00.7.8.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	0b	2	-145	210	1	1	0	0
1000G0C62.1300Cm00.7.7.L.0.-.-.0.D.E	rust-surveyor-v0.1.0	0Z	2	-665	365	1	0	1	0
1004000.800100.C.C.L.0.-.-.0.D.4	rust-surveyor-v0.1.0	0h	2	-105	221	1	0	1	0
100422L0m.O010W0P4.5.6.D.0.-.-.0.L.H	rust-pathfinder-v0.1.0	0e	2	-1095	156	1	0	1	0
100422L0m.OG10W0P4.5.5.L.0.-.-.0.D.I	rust-surveyor-v0.1.0	0I	2	430	151	1	1	0	0
100423L0m.OG10W0P4.4.5.D.0.-.-.0.L.J	rust-pathfinder-v0.1.0	0Y	2	-1075	174	1	0	1	0
100423L0m.OGH0W0P4.4.4.L.0.-.-.0.D.K	rust-surveyor-v0.1.0	03	2	375	141	1	1	0	0
100423L0u.OGH0W0P4.3.4.D.0.-.-.0.L.L	rust-pathfinder-v0.1.0	0i	2	-1275	488	1	0	1	0
100423L0u.SGH0W0P4.3.3.L.0.-.-.0.D.M	rust-surveyor-v0.1.0	0g	2	210	156	1	1	0	0
100WG0C62.1300Cm00.6.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	0c	2	260	230	1	1	0	0
100WG0C62.1700Cm00.6.6.L.0.-.-.0.D.G	rust-surveyor-v0.1.0	0k	2	-775	223	1	0	1	0
100WG0O8.Y0i00000.8.9.D.0.-.-.0.L.B	rust-pathfinder-v0.1.0	0S	2	-1165	1370	1	1	0	0
100WG0O8.Y0iG0000.8.8.L.0.-.-.0.D.C	rust-surveyor-v0.1.0	0H	2	-105	215	1	0	1	0
100WGWO8.Y0iG0000.7.8.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	02	2	-760	412	1	1	0	0
100WGWO8.Y0iG0004.7.7.L.0.-.-.0.D.E	rust-surveyor-v0.1.0	0O	2	-590	1191	1	0	1	0
100XGWO0.Y0iG000K.7.6.L.8.-.-.1.D.G	rust-surveyor-v0.1.0	0U	2	-495	1028	1	0	1	0
100XGWO8.Y0iG0004.6.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	04	2	-900	288	1	1	0	0
101XGWO0.Y0iG000K.6.6.D.0.-.-.0.L.H	rust-pathfinder-v0.1.0	0i	2	-615	223	1	1	0	0
101XGWO0.c0iG000K.6.5.L.0.-.-.0.D.I	rust-surveyor-v0.1.0	03	2	-230	126	1	0	1	0
101XGWO8.c0iG000K.5.5.D.0.-.-.0.L.J	rust-pathfinder-v0.1.0	0a	2	-1020	180	1	1	0	0
101XGWO8.c1iG000K.5.4.L.0.-.-.0.D.K	rust-surveyor-v0.1.0	0m	2	-265	174	1	0	1	0
102004000.60000000.B.C.D.0.-.-.0.L.5	rust-surveyor-v0.1.0	0Y	2	-110	300	1	1	0	0
102004000.60G00000.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	0U	2	-535	252	1	0	1	0
102104000.60G00000.A.B.D.0.-.-.0.L.7	rust-surveyor-v0.1.0	0j	2	-55	166	1	1	0	0
102104000.E0G00000.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0g	2	-485	162	1	0	1	0
104000000.20400.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	0O	2	-185	221	1	0	1	0
104000000.2W400.C.B.L.10000.-.-.1.D.6	rust-pathfinder-v0.1.0	0R	2	-430	171	1	0	1	0
104010000.20400.B.C.D.0.-.-.0.L.5	rust-surveyor-v0.1.0	0N	2	-240	174	1	1	0	0
104080000.2W400.B.B.D.0.-.-.0.L.7	rust-surveyor-v0.1.0	0O	2	-210	252	1	1	0	0
104080000.3W400.B.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0Y	2	-485	246	1	0	1	0
1046230W1.O01W400u.5.6.D.0.-.-.0.L.H	rust-pathfinder-v0.1.0	06	2	-410	156	1	0	1	0
1046230W1.O01W401u.5.5.L.0.-.-.0.D.I	rust-surveyor-v0.1.0	07	2	-75	151	1	1	0	0
1046230Y1.O01W401u.4.5.D.0.-.-.0.L.J	rust-pathfinder-v0.1.0	0S	2	-330	146	1	0	1	0
1046230Y1.O01m401u.4.4.L.0.-.-.0.D.K	rust-surveyor-v0.1.0	08	2	-370	141	1	1	0	0
1046230c1.O01m401u.3.4.D.0.-.-.0.L.L	rust-pathfinder-v0.1.0	0N	2	-275	188	1	0	1	0
1046230c1.O01ma01u.3.3.L.0.-.-.0.D.M	rust-surveyor-v0.1.0	0F	2	-370	156	1	1	0	0
1046238c1.O01ma01u.2.3.D.0.-.-.0.L.N	rust-pathfinder-v0.1.0	02	2	-90	150	1	0	1	0
1046238c1.O01ma01y.2.2.L.0.-.-.0.D.O	rust-surveyor-v0.1.0	0O	2	-425	167	1	1	0	0
1046338c1.O01ma01y.1.2.D.0.-.-.0.L.P	rust-pathfinder-v0.1.0	0M	2	-625	287	1	0	1	0
1046338c1.O01mq01y.1.1.L.0.-.-.0.D.Q	rust-surveyor-v0.1.0	0D	2	-500	174	1	1	0	0
104633Ac1.O01mq01y.0.1.D.0.-.-.0.L.R	rust-pathfinder-v0.1.0	0G	2	0	162	1	0	1	0
104633Ac1.O01mqG1y.0.0.L.0.-.-.0.D.S	rust-surveyor-v0.1.0	9T	2	-240	902	1	1	0	0
104633e61.O21mm09y.1.0.L.G00.G.9.1.D.W	rust-surveyor-v0.1.0	0A	2	-1180	103	1	1	0	0
104633eM1.O21mm01y.0.1.D.80.-.9.1.L.X	rust-pathfinder-v0.1.0	0i	2	-90	131	1	0	1	0
104633eM1.S21mm01y.0.0.L.0.-.-.0.D.Y	rust-surveyor-v0.1.0	8h	2	-205	1200	1	1	0	0
104633g61.O01mq01y.0.1.D.G00.H.-.1.L.T	rust-pathfinder-v0.1.0	0b	2	-570	111	1	0	1	0
104633g61.O21mq01y.0.0.L.0.H.-.0.D.U	rust-surveyor-v0.1.0	A-	2	90	1005	1	1	0	0
104633u61.O21mq01y.0.0.D.0.G.-.0.L.V	rust-pathfinder-v0.1.0	GE	2	-495	1129	1	0	1	0
104633u61.S21mm01y.0.0.D.0.G.-.0.L.Z	rust-pathfinder-v0.1.0	2x	2	-405	1159	1	0	1	0
104633u61.SI1mm01u.0.0.L.0.G.e.0.D.a	rust-surveyor-v0.1.0	Fu	2	-940	1044	1	1	0	0
104G80000.3W400.A.A.D.0.-.-.0.L.9	rust-surveyor-v0.1.0	0f	2	55	162	1	1	0	0
104G80000.W03W400.A.9.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	0X	2	-670	196	1	0	1	0
104O80000.W03W400.9.9.D.0.-.-.0.L.B	rust-surveyor-v0.1.0	0M	2	55	265	1	1	0	0
104O80000.W03m400.9.8.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	0K	2	-670	186	1	0	1	0
104O84000.W03m400.8.8.D.0.-.-.0.L.D	rust-surveyor-v0.1.0	0F	2	25	181	1	1	0	0
104O84000.W03mC00.8.7.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0d	2	-650	244	1	0	1	0
105631u61.SG1mm01u.0.1.D.2000000.a.e.1.L.b	rust-pathfinder-v0.1.0	0d	2	-660	131	1	0	1	0
105631u61.SO1mm01u.0.0.L.0.a.-.0.D.c	rust-surveyor-v0.1.0	F8	2	385	882	1	1	0	0
106630u61.UO1mm01m.1.0.L.1000000.b.h.1.D.e	rust-surveyor-v0.1.0	0f	2	0	126	1	1	0	0
107630u61.SO1mm01u.0.0.D.0.b.-.0.L.d	rust-pathfinder-v0.1.0	3l	2	-440	922	1	0	1	0
10800000.W0000001.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	02	2	-160	178	1	1	0	0
10800004.1W0000001.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	0Z	2	-185	211	1	1	0	0
10800004.W0000001.B.C.D.0.-.-.0.L.5	rust-surveyor-v0.1.0	0m	2	-350	216	1	0	1	0
10CO84000.W03mC00.7.7.D.0.-.-.0.L.F	rust-surveyor-v0.1.0	0I	2	-50	171	1	1	0	0
10CO84000.W03nC00.7.6.L.0.-.-.0.D.G	rust-pathfinder-v0.1.0	0D	2	-540	134	1	0	1	0
10CO84200.W03nC00.6.6.D.0.-.-.0.L.H	rust-surveyor-v0.1.0	06	2	-720	130	1	1	0	0
10CO84200.W03nC10.6.5.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0C	2	-855	156	1	0	1	0
10CO84300.W03nC10.5.5.D.0.-.-.0.L.J	rust-surveyor-v0.1.0	05	2	-645	122	1	1	0	0
10CO84300.W03nC1W.5.4.L.0.-.-.0.D.K	rust-pathfinder-v0.1.0	0B	2	-2145	146	1	0	1	0
10CO84300.W03nC1m.5.3.L.W0.-.-.1.D.M	rust-pathfinder-v0.1.0	0W	2	-536870912	840	1	0	1	0
10CO843W0.W03nC1W.4.4.D.0.-.-.0.L.L	rust-surveyor-v0.1.0	04	2	930	114	1	1	0	0
10CS84300.W03nC1m.4.3.D.0.-.-.0.L.N	rust-surveyor-v0.1.0	0B	2	999999976	83	1	1	0	0
10G80m9.10V00040.7.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	0h	2	370	171	1	1	0	0
10G80m9.30V00040.7.6.L.0.-.-.0.D.G	rust-surveyor-v0.1.0	0b	2	-2440	166	1	0	1	0
10G80m9.70V00040.7.5.L.2000000.-.-.1.D.I	rust-surveyor-v0.1.0	0T	2	-536870912	1088	1	0	1	0
10P6h1WO.1WC6W0mO6.0.1.D.10000.P.-.1.L.b	rust-surveyor-v0.1.0	0S	2	-625	252	1	0	1	0
10P6h1WO.1WC6m0mO6.0.0.L.0.P.-.0.D.c	rust-pathfinder-v0.1.0	Ix	2	-195	859	1	1	0	0
10W00.K000200.C.B.L.8000000.-.-.1.D.6	rust-pathfinder-v0.1.0	0V	2	-300	213	1	1	0	0
10W000.1000000W0.C.C.L.0.-.-.0.D.4	rust-surveyor-v0.1.0	0i	2	55	221	1	1	0	0
