# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_B-19GakPY07fOZpnvZ-9L6IAXdCgjVKOZc1C81lh-L0	pathagon-rules-v1	7	14	3	51	070T0a0m0V0c0g090Y0L0O0I0f0N0S0W0K0X080h020H050d0l0P0M0e0RW60A030bQ6RDZsL_3E570CWi0BXA9qanA0TmK0P40C2m
g1_B-2fp4w367kYHsi-qOnyWUacM7U2ONI9uNwU_tkRwlM	pathagon-rules-v1	7	14	3	69	0j0c0V0O0H0c0O0A0B0C0D0B060N0G09080G0U0b050U0i0F0I0M0P0W0d0V0W0T0k0J0K0a5oA3BG9PGk5hLYB9R0Gd5hLYB90DGdB2Lf5oQvGdB2Lf5o0BGdB2Lf9I0BGIR75o0C
g1_B-4_TemhakgHkIjwSywDhBSrdkUdWZdV7mN37PwQwPk	pathagon-rules-v1	7	14	3	38	0g0i060E0F0b0d0I000A0K0C0X050e010G0N0J0O0T0D0a0k0Y0P0S0MN7BCQsKdCI0l1H9BXc4r
g1_B-AAhH2Q4k96m7ktTg7uQ3k7g7qkB0z1gWDiOemFCHI	pathagon-rules-v1	7	14	3	141	0e0B0c05080O010C070K0m0H040k0E0X020f0d0a0J0j0U0R0M0W0P0i00Zr0VGKFnPq1q0J0WJk0jaC1P4d0k05ag0LKS0SN60i490fZW0a6v0TXo0d0Q0D5_0XF906LIAK0OSk0RTa0l4-Oo04PX0Wbx0AU88yLr0kGES401ac0V0cFB0bDY0mBtMx0FJ7300ZJl0W0d0aR1c108bN0BWS0fYy0eHY0PA-0CEb0KSt0AOG0R0aLDVN0mObKB03AD4Y7CQK1jSP0PPQK54C04aF0C
g1_B-GNfVrruLWRYzwSdkjrd2Uks8La4ORiM1RrWj637Xs	pathagon-rules-v1	7	14	3	59	0m060P0G0Q0R0O0M0Z0C0E0l0c010h0J0H0d0L0U0g0f0I05080V090SEVHs0TFeF3CqRwAhXmGM02DJ4T0BJw0GTx5-0bMbPOV40N0DL90c0XWlc40f2l
g1_B-HR9uKgHlUfhMkoRc4dwjbukZHx0UfhwhWSwoixzq0	pathagon-rules-v1	7	14	3	44	060Z0S0M0X0j0k0L0e0S0c0Q0K0h0A0R030I070J0W0i0E0d0l0P0g0F05Ms0Y0e00F40m0R60I3BbFh4gVn39Rw
g1_B-WfrMNeTHBqXKB1dOb6XXm3NIH090k2gj-cxTmvKI4	pathagon-rules-v1	7	14	3	63	0g0G0b010d0L060Y0E0C0a0B090k0W0i0K0D0X0P020T040Z0F0S0U0AQK030l080H0M0NNOUtZ4EkRf0R7XamMK08HF0SVHEF04Lg0LGeA40h8a0IKj9Q0mEg0J5d
g1_B-aQWo8gJVdq2NwuVGdtTCIZnL8nL7uX5ZXLSlq_-cs	pathagon-rules-v1	7	14	3	17	0001020T0S0b0U0X0i0C090E0G0W0N030b
g1_B-lT1J9zRJH9SFsPlNwgJXtrq_Bh6ju5sNGl4VvdL4I	pathagon-rules-v1	7	14	3	34	0M0f0G050H0W0F0P060m070j0U0i0g0e0c0d0C0Q080h010J0K0Z0Y0N09Q0CK0kGAFu
g1_B-sepmB0VGzcqHhCl6VehbHDaHjwWPGWJEz_XvCMbQs	pathagon-rules-v1	7	14	3	35	05060e0L0d0E0c020J090A0g0G030H0T0I0M0C0F0X0B040A0B0N080G0O010P1l0jII4K
g1_B-srZZtIVr39yrlPCmkZlXsiBMEFjTGCLyc-PPyNiYw	pathagon-rules-v1	7	14	3	36	0d0Q0D070N090H08040J0S060K010A0b0m0U0W0L0a020T0l0I0i0c05Ex0bUV0cBPTw0Z1c
g1_B02L3o3Co3sYFC5fLPSUqk_7pKkCIOdYL8eu7i8I_4M	pathagon-rules-v1	7	14	3	52	0X0a0B0j0A0908030409020103050C0007060D0E0F070G08090H0I0J0H0C0K0Q0J0R4F04B70D0O0K2vZG0V3u8V2T02090BSO0W1c
g1_B08m_quUTFxkqxdAnaMp7abng3i208LmMd0s_6YfaSE	pathagon-rules-v1	7	14	3	70	0O0I0E0d0f0e050G0B090D0M0S030L0P0H0X0W0j0V040U0C0h08060i0Y0N0ZZDBW4DXx0iPB0k1o0aWKYTD27kYH0JNs4W95Us08aF0XY00F9_0N01Me0TIiJZ0aDYGR0BPjBZLy0K
g1_B0AKtzKLZFY_EK0iYo4B4kGQn1dh8D029UWWFs9zTdc	pathagon-rules-v1	7	14	3	92	0Y0E0C0X0M0g0P0e0c0U0Q0W0T0J0D030i0j0F040A0B0R0O0f080b0l064CBHFKQr3eK7JvAI9h0h0cIL07NQOz8jc509TwMC0Yaa0VbY0aTX0mZ40K5m0OA-J40CP20hc10b0NU-Z1Tj0HIC04KcQOEj6G0QGK0KDvTdOF0INVHU0PY-6Z0b1B
g1_B0LtSpolEg-u_6X3AkfaZrV1tRGgXuwvQx7TZu4LmuU	pathagon-rules-v1	7	14	3	52	0X0B0D0K0d010F0L0N0c050Y0l0I0P0G030V0a0Q0i0Z0E0M0f0U0S0e0b0j0CZK0g0h0X0JYaYS0DKl0N0QAa09ImHu0NFM0jG5XE05
g1_B0NYJbUg2AcEG_f8dUl0qvgww1ahYpRotnqYy4Q6854	pathagon-rules-v1	7	14	3	34	0B0A0I0C0J0B0H0P0Q0I0O0G0P0H0N0K090J0G080D090R060K0F0M0L0G0S0E070F05
g1_B0cm-pgx7bam_LItChuz3oeAVo-HzYW35nhf4V47kHk	pathagon-rules-v1	7	14	3	76	0F0e020Z0P0J0E0h0j03000Q090U0K070W050D060a010X0m0N0S0k0C0f3EB0080VLIPF0QPkL6Cl0L0Y0gK7bybEALZG0b09Y20m8_0cMa0BH0036K0hUpA_0JWd04YG0SEu0QRCX80G5W0gIYaH3y
g1_B0mvlHP60fVUNav9gW3yBP0hewpoQI-G14XecnyEosU	pathagon-rules-v1	7	14	3	64	0O0d0h0i0G0U0k0b0R0L0m030j0B0c0S0Z0X080J090V0l0K000F0I0A7001U8OP0e8nc31lZq0CaZ06YO0VLW0j0RAuDwILLs0B46Wy0204Ys3z0g8aJD0EDC0A0N5Y
g1_B0rnzGTPKkmh0xRNpq6aTClsrbItyYdhbsy05akOaYY	pathagon-rules-v1	7	14	3	78	0A0X0Y0S0i090G0h0P0j0C0U0c0F000J0O080D0a0Z0V0B07020d0E0R0L0K0H0g8x050N09Pk03KKZsCFVLRkVo063W0Q07JL0dLE0XEN0iAT0TTA0X030P1H0QHK0X650H3M0d9o0V0B6e0cQd0aNa0L7I
g1_B0syk5qzO64bqy_-bBnLQdDzlYnoIerAz9bW0gvTqMU	pathagon-rules-v1	7	14	3	91	020h0i0F0g0E0G0H090G0N080G0A0I090H0B03070A0a0401000B0C010A05060B0b0c0A0b0U0B0b0A2s0D020a090bF00M0L011E0M0K0THI0O000T0H01OE0U1U005f0cP70NGa0OMc0W0XBpS30EXR0A0B6K09Sj0B0Q0H07QRKr0c7K09
g1_B0wy85xZP8MwRDJOV5DY6k95vmwUMHOhzkHMP0RZ0iw	pathagon-rules-v1	7	14	3	52	0f0l0e0W0g0X0c0j030F0I0V040b0k0Q0T0m0e0d0B0U0c0P0J0d0O0M0c0Y0V0d0S0U0N0V0c0f0h0d05be0L0RIt0ZalCHYQ0cXgM0
g1_B13mtZUYPbbCn51ColeeEVvoWjgRE_OBMrZoCpTtjAI	pathagon-rules-v1	7	14	3	16	0P0B0O0A0i090f0m0d0C05080307010D
