# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_M-56fBMBb0iVn_bMFJ7SHuXX-Jfnnk0LLvR0q4xB9PM	pathagon-rules-v1	7	14	3	80	000Y020S0X0Z0l0e06010d0F0j0E090i050Q070W0J0V0O0b0L030H0C0U0h0aAB0JSA0PKs0AU48DTTSs0LE604JkXq6p0T0i1yZf0ebP0mZ40jGH0UKe0l0c3m0kOP0PMl02HM0UZs0O0fLxW60bXf0hWq074W
g1_M-ADIAn4-ETbW6JJGtnb7RZFqbAYcmFE7p3RG6zHF48	pathagon-rules-v1	7	14	3	95	000h010g0i0j0k040i090j0M020V030e080A070B0l0P050I040W0d0X0c0O120N3E032V0Q1r0B6Q0U7Y0Y4G0T8z0bEM0eF8IOSi0aTa1MIxNkO3JwFj0JLs0WKO0NRz0ZL60DGB3a4w0T0bRhKT0S0UX0O80aAA56KT0LTV0UR-1HK8MDL40SB_03KR
g1_M-BwWhmanyYev_Oi8rx6AXPeYaPRPC7OVikvAaZ_tGU	pathagon-rules-v1	7	14	3	97	080g0L010J000j0a060h0c0M0Z0N0k0I020T0E0f0S090C0A0F0G0X0YFiSk0H0QMW0VAP0mHRX20l1w031RZwYP0COwBm0VYj0U630aaicFZDXd0Iai0W0e0PZybTZCcDagZybT0X0dahZySHYRZ8ahZy0Q0dZA0PbS0X0b2J6MMKYo1DC20cHWYOZv6rXfA7
g1_M-DT2V0EjEcjTWrIanbk0lBNoEGk-XJm8eusHyEN93Y	pathagon-rules-v1	7	14	3	75	080D0H0C0d0a0c0i0R000l0L0I060S0e0W050f0M0J0B0F0e020U0X0NMM0VV00m6w0k0E0x8L6109T0Lr4sPK0SWlbhJaAkCK0fDz06CCXs0YMOR40mFpXR0d0AQH0Z2pYr0hWR4I0a7w0VXm051j
g1_M-IaDVUA0mOFavt74O4LHBMmVe7LKvfyVhOIj20eLx8	pathagon-rules-v1	7	14	3	31	0k0M0E0L0S0N0L00010205010C03040A0B0I0P0W0I0H0J0O0d0Q0W0P0X0R0Q
g1_M-PsZl68k2k0bKZrPhFmdYu0L14-zIxNB6wfTaxKxcE	pathagon-rules-v1	7	14	3	91	0G0W040P0A090O030M080Z0i050R0H0E0d0J0g0l0C060m0K0S0I0f0XD_GM0UEo0IFV07CY6g3JA70LR4KA0eLv0VCIOlanUv0kCqaF0cB-0k1p0j9kbv0dBP0K8s0maC0k4a0iUP0HZX7D07QL0PPWSZ0QK70CJTA10VKkOb8O0C4aB3Ed00
g1_M-Tefw_lncNccV0Y7hIoEyOkZMAu4T0RAQeMkVgNICY	pathagon-rules-v1	7	14	3	56	0Z0N000g0c0S0R030f0l0P0j0m0e0M08020J0G090h0U0C0B0X0T0a0W060I0k010PF80GIYWR3m0V0L1W0N058-0MNn0FH0Ou0QUWYg0WZE642V
g1_M-fNrrENTKjYV4SX5E7ErxnlaCUhkh4uA1bURFgVJIU	pathagon-rules-v1	7	14	3	196	0A0m0j0Y0I0B0J0P0C0I0B0Q0H0O0I0R0X0W0Q0X0V0K0O0D0P0f0e0d0X0e0W0c0l0k0e0l8R0AJA0O060H0V055P0c064f0r0V1Y8S2MAm0s1Y352M3t0r1Y352M0A0p1Y358U2N0p1Y3H3s2M0pDs1Y352M020r1Y352M3tAo5V0t0D341b3s2N0p341b3s2N0p349F3w1c0o2J4e391b0o2J3t380B0q1Y3s04360q1Y3s05360q1Y5O04360q1Y3s04360q1Y4d05360q06041Y352M3t0r0D5N1d352M06040p341b3s2N0D360q05274c353t050o4c2MAm0D0o342M5P0i0o342M9_0C0o342M9_0N0U352M6x0r1w342K3t
g1_M-grlNXyETXM0cWF7PP8STnZqIZtVdrehMUsqzSZGyk	pathagon-rules-v1	7	14	3	40	0J0C0B0I0504030C040Q0B0P0J0A0C0H0X0O090Q0A020W0V0G0N0U0F0V0G0N0K090J0G0M0T0N080E
g1_M-hAZBedKnB6xHmj4sbSvfWSJ3ZYaIMUuHUm_xuhMVc	pathagon-rules-v1	7	14	3	38	070C020I0U0N0Q030d040f010h0l090V0G060H0A0J0c0e0m0M000g02050FXe0O0L0RU_Oi4k05
g1_M-pNyUyVveOPbuFC2_8DbbwBJeDVlsiofcxa0scujI0	pathagon-rules-v1	7	14	3	28	08010D0A060Y0X0W0l0X0S0L0E0Z0g0L070M0F0G0T0V0H0M030N000O
g1_M-pZwJJz21j5yu6oqbOLScZc-Rqjo-KTvJWAYwhreJU	pathagon-rules-v1	7	14	3	35	0I0X0Y0H060R0K0W0R0e0f0m0J0P0d0E0l0e0G0k0i0l0H0T0S0V0N0U0b0B0U0O0I0FLf
