# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_O-0uS1V5CeOsitzlsZr6O6tvbHM3mvj2INUwSMD8uYA	pathagon-rules-v1	7	14	3	57	040l02060G0m0j0L0A0S010a0k0P0U0b0E0Y0R0F0J03080B07090Z0f0M0K0NHW0R9a6dQpIEKS0Q3Q0C5z0A05721K4AasG00ILG0NDd4vBl041v
g1_O-Ba1FpLeGK12ZpOTUbh6eTQzQmrzuz1HHxueh2g_lY	pathagon-rules-v1	7	14	3	51	0k0G050R0W0e010M0S070j0I0g0Z0O0X0J0h0a0P0m0Y0i0D03000c0FYx0iMu09PSDBa5KN4e8w0H0dSrUj5d0fFcHj200Qc0QM2N
g1_O-CAzwLu2DO6CG6_wETDLcfmB87LwtMEZ9_tp6Q2y68	pathagon-rules-v1	7	14	3	40	0l0J0k0h0V0g0U0S0X06090j0E0d0e0B0P0W0c0I0R0d0P0f0D0A0F0e0Q050MG0KiMFaqEh0b5L0I0k
g1_O-HPRH9P2ww63xvNhIGqOhAnKbytqi88UFEsUIgdfdE	pathagon-rules-v1	7	14	3	22	0P0j070c0k0b0I0Y0Q020M0l0J0g000k0h0i0R0h010m
g1_O-RCOksznqksQwYEziMpHWcAYqii1Td4ede96rYyucE	pathagon-rules-v1	7	14	3	34	0J0k0P0S0W090Y0I0G0f05080e0g0C0Q0R0E0X0d0b0D0F0c020V090i0a0jDm0eFN7a
g1_O-SxcgRPmuT0DzAScuX98rhQxR4MVrBCCbI4qGXL03Q	pathagon-rules-v1	7	14	3	69	0E0F040W0k0g0d030D050K0U0i010a0J0O0I0R0Z0P0S0X0f0m0H0V060C0Ybh0cV20GYw07QNDI08F4H94nA-05T20D0MQrFK0bGh4r0Y2w095r05S404V70LCj0d0A8A0eHv060y
g1_O-W5_up382EeXBZyP-NyVWhgLw8qFJvTXh-Wh0taOYI	pathagon-rules-v1	7	14	3	138	0W0P0d0I0B0k0H0A0O0V0U0N0G0O0N0H090V0A0c0b0M0c0N0j0i0F0j080c0T030M0A0402010C059z0B010A160E1f0MGs4W3P0a6M7F1R08Z8Ng2m0SXP0a04004I07YF0a0B52SEUiHPD2XG0GBx0d0T0_Gs6TMK1-1S0cSE0MYO0hXUDb0b0GSE0TZ0MD0aBcRo1DXUHW0L0ZGs0MBq0E0M0L0uBVSZUq0d01Zw0BTpDKZ8AHZw6yN_02UtR_YEGk08XhakMkDL0GBo
g1_O-Z4Ei5xmjIdPLAKVTvIO2XGpgYaRf15pG20G6KTlMc	pathagon-rules-v1	7	14	3	14	0b020N000S010k030i040j050E06
g1_O-aL0hZgsRAG8rE2yCDb6L0domOoEsypiobvwsXbWVU	pathagon-rules-v1	7	14	3	54	0j0S0C0e080k0b0E0h0f0W0l050V0A0Y090G040P0m0X0I0Q0U0J0i0O0W0dAJ0LEoao0ZDD4PHbTJUiPtAH7AWfTu2QXra50fBy0hVt0d4E
g1_O-rtwW8EETN8syahXSzuN8Aql4RRrWd-xjal7wObGuA	pathagon-rules-v1	7	14	3	39	02090P0E0K030l0A0G010J0U040I0H0b0I0W0Q0B0X0O0i0d0H090C020N0g0h0FKY050jBt06VBEm
g1_O0NHoguqUFY4PF4PrHIyB0bRA_MGKaB7g2zwkfUYeYA	pathagon-rules-v1	7	14	3	59	0S0L0V0J0e070N080j0g0I0c000402050U0B0Q0l0Z060P0k0A030f0DVf7P90HX2a6lOuBBTKPWSK5hMNYH1I3sOJUCKqGbZGXT0g590XPjBw04XL9Q8z
g1_O0m4Kc2h7-lYrEV7GeIdxhpAWFW0zQzVUGxe_0aIugI	pathagon-rules-v1	7	14	3	60	020V080Y0T0h0R0m0g0H0U0Z090K0P060F0D0I07040M0j0B0f0Q050N0kL3WoYR73P40cRoZlSe0iB9KN084HEM2uGQCzazQb0W8h035DPJ89JIDLLWUw05
g1_O0rjBev8l7iiFdUBheJmyKZcNcIe0l5spPYqr_rLNmE	pathagon-rules-v1	7	14	3	184	05060C040B0D050K0J0I0R0B0J0C0Q0P0Y0X0W0f0X0e0d0m0l0k0e0l030A040H0O0V0P0O0cGo0KOt0VZq0GWJ0fT-4k5O390G3x0C4c9P5S060r5Z4i0B3w0D5R1e4fAp3t5R3A4f2O3t5R3A4f2J3s5P040o3r2N36030o682Q36030o682Q020V0o682O02042v3f0C4J0D4i0VGA0c5R9D4f0p3r1c0B03Tm2b0K3f0B0U9v4X0IagXeZ71TYQZvJjF00OYPETZ08fZgXGSE7oMv04XcOIGZ0aKV0VNa0PLk0HOC0PY8HWYoRhMmBx0U0MEo0VH4MY0M6M0I0FORXcTm0PZ8cDXe0UYO4G0bbA
g1_O0sZtDSFV-YAwULBP0R4cqmQenOh1EKrzsoVGDt5raw	pathagon-rules-v1	7	14	3	61	0K0k0S0e030d0h0L0C0N0U000F0A0i0X02090Y0c0O060V080g010J0IMH1M0S77GM0WYG0MREHAJGaY0fGI2m08C-AvMN0LWt0mO-0MXB0Yae0K6N02Fh7R0b
