# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_b-0rXjk1uIftI4soP65COa5Nqe2dBjjwFZqH8x72-lI	pathagon-rules-v1	7	14	3	62	0L0Q0V0j0U0l0B0i0a0D07080Z020h0X0O0A0W0f0Y060k090N050K0cPv036j5Z0J4uJaYhaG04S0L4Qv0GSjZyXt3sVvac0h8j0X2T0YDEQ70WOV0CXp00R40B
g1_b-3SYvvJw8wyV4n2a3ZE3MzgST9r6bPq2gCjDcKC3Sg	pathagon-rules-v1	7	14	3	22	0D060U0G0a000P0F0S0H0K0E0g050I0J0C04010A0M03
g1_b-6LJzdcji4MRHNuXwm62Gqf7eTd-g6r8zEiTKQuWEY	pathagon-rules-v1	7	14	3	62	0U090f0a070804060G0J0Y0I0C0m0i0j0g0l020X0N0R0S0k010B0d03IX0ODB0Q7l0N2XQFR8JB6SAtXRaSONSpPmc7GcLi4Z0m980H22FO0KKmOWF6VI07AWD9
g1_b-BG_s8GWN5IxvddhVWbbtIM1jWNGQ24AXPgd35j_zo	pathagon-rules-v1	7	14	3	79	0m090L0C0E0i060G0N0005010g0P0h0e0l0a0Q0H0O0D0k0J0X0j0V0FQD0eJT0I9E07aCFUYASeXV6pGCF40YZf50X-ISQdbr0g2yVqSW086X03B002OVD-0DCL0dAGK604GO830O400Q0XHU0P0I3R0Q9LC0
g1_b-N3MgJm-qCVIjqVs0XARCm_eDtJ_Mf1hBT0TlUW0K8	pathagon-rules-v1	7	14	3	40	0V0R0b030a0S0D040M060O0Q0f02000d0C0c0N0m0A0e090K0J0X0h0P0ELZ7xG699bcDwL00FVY0j08
g1_b-OwHcpJTSos_df31phd_pCzH3oTeOR5xtxquiBIOdg	pathagon-rules-v1	7	14	3	68	0S0E0l0Z0V0W070C0b0B0R080Y0g000G0T010U0K0F0i0I040d0H0L091L0mMb9V0P0jKHXS6UGNSV0PM0ZeJaEk0D7ZVJ9eSObl0HWz0aC90E1q0W0B08Ko0kXY0QJzPGYnBkA5
g1_b-ULlJMYgWUGNAHf7-d5M5dw2V-VcUkjR7GPIsJ7ifE	pathagon-rules-v1	7	14	3	94	0Y0W0i0d0H010Q0P0M0c0I0B09080h0e0j0f0k0U0a0T030S0m0X0G0I0F0Kbv0N369M0V0gSxMG0PX40J07RY1mZ-7w0g3DYP6pZ0CBXV0b0IYMZvZAahXfYMZvZA0cbS0TXcGlZCW7ZwXeYMag0kZw0a0jbm0eHtYSXcZ7bS0lYP0hab0kZ2OR0BJ5
g1_b-VYiMaeOUAKQmWSVL0Fvh2lm3Tb3whL1ZqCT3KwaKE	pathagon-rules-v1	7	14	3	22	0m0D0B040h0F0a0E0j0G0U0H0c0I07050k030P060J0A
g1_b-bXKYgB9njgRwg-KktPAmY20JLhIAQZa4NYyKgg9kE	pathagon-rules-v1	7	14	3	60	0C0X0b0E05090D0M0W010R0a070l0m0J0F0V0k080A0T0F0e0G0g0c0h0P0N0jIm0L0YaRRXUH0c0W7SCXOlKnW8B1Jnb_0E92Qk03IG6rC4Pm02LkYI0R29
g1_b-lXPpUgovtLTN92_60vRj3LQ_U5HtW7YgDtp910TL8	pathagon-rules-v1	7	14	3	53	0A0d0b0c0h0J0Z0k0E060B07020R0l0Y0U000N0K010g0G0a0Q0F0m0T091D0D6U7yGM095w0XMDLKVLc9EN1qaFBSR40VSyY405B_0D9T
