# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_q-4pDNLCTvGhluDbu6djXOStyEoWUCi-PeC15-EbW58	pathagon-rules-v1	7	14	3	23	000S0U02010W030e0a0B08090A0I0C0i0h0F0M0X0F0P0T
g1_q-5iqLhCmfQUyIV3ukRJH5pNcSq5WwNAgOeYjutu1W8	pathagon-rules-v1	7	14	3	41	0k0E000T0I0Q0l010D040A0a0O0h0F080Z0S0W0J0g0V060K0e070i0ca20H0fLI0XSb0L0RB0MCRzOj0y
g1_q-IaMhHQ5TH4Mv58p98FxeqXj-CLqaoPDNl125O2EDI	pathagon-rules-v1	7	14	3	109	0B0J0C0l0A0H0F0D090e040G0W0i0K0I0d0P080Q000j0k0X0T0L0M0N0cERNk0H190MVA0d0b0gGY0V0ZKbcGIs0mEy7P03RSHOby0X0IBUWiW2Lm0H0J3e0RYY3xbkGr0KbPZzc9YSWr0fahXeYQ0WZAcDal0OZtYXba4e053u042K5P0N3u1c2PAm0D0MSKb4Wv2ycFGrbTWv0KcAZ-0Aae
g1_q-f1ZB2eLQjOUOLdvtPFhqLrdnt4kqFKy34iKLBSobU	pathagon-rules-v1	7	14	3	103	0e0L0j0K0A0Y0N0d0f0B0I0V0O0g02030Z0S0T0l060C0E0W0m0h010R0b9L1lOvItXLCD0JB5AZ5aLF05GZ080T0HUp07NDc0090M0cZp0iW00FTM0cBR094q0cIC0FBZ0AT90caa0AUs0c0d9g0k84Je0O0b0c09Lo0V0U0R0K0D0YBm0N7O0cWh0O0KFq0V0mZc0c4Y053g
g1_q-fyXdYP0R6uHHSVkoglXKGpvdAdXkU5sM3ggDfTBzQ	pathagon-rules-v1	7	14	3	196	0N0G0H0O0A090P0I0O0H0B0Q0I0J0C0I0M0F080U0F0N090T0V0W0X0P0V0O0W0L0E0M070S0001020301380AEc0I0A0P3w0B040t4c1d3s0A360C1b042K5P093u0r4c0A693w04FQ0-4w0J0C0Q5S3xA1344f1d3s07364f1c012M5P3w1c012M4e3w1c0B2M4e3s04363u1c012M0p3r1c012M1a3s04363u1c052M0p3s04344e1b3s0r2J361b3s0r2J391e3u0r0C050B5N354e030o342MG70C0o3r2N36030o3r2N020B0o3r2N6A07016D083x0r0E035N1fBW770t680F2K5P0t083w2N5P6v1fME2R0p003u4g2O0204
g1_q-iXOBOtxdl-w7xhVnQMRommtufNFAAj0cvRvGWna2k	pathagon-rules-v1	7	14	3	134	0001080e0X0h0f0P0Z0H0Q0N0Y0I020W0C0a0d0J0c0O0b0g0V0U0k0jUB0ePC0W2O0aYg0VQ-070tJa0O6tV20m7V0GKr0V9p0H0e0Y0O0f0V0HGY0P0ULu0O0Z8y0HAu0W0HP-0BD50iIe0BZV8aDB9SMa0B0O5jQzD40G4gWC0W94VYaw3JD90G093s0j0NZw2FYQ0h0jYRXZVJS8NeW00T0Wb3WkY6cCXU0gNV0aS4SoQg0XPPKf0mNN9iQhAV0d0BVHRE2x
g1_q-xSrJ-tophwSu0SglLv5aF6WTeaGpQnNr68_syGbwo	pathagon-rules-v1	7	14	3	64	0Z0S0L0X0e000B0h0m0U0J0j0R0i0M0N08030a0l050O0K0H0k0D0F0f0A0C500e6zE0F-Xrc1CFClQVXcbm0JIeaaBAHFWm0IZu0VO00hMN0LJd0kDt0bNp0XX1HZ0E
g1_q-yzNii4Ahajn3tBpL4a-eVMm7a87KCToX36_sKrWOo	pathagon-rules-v1	7	14	3	88	0Q0L050l0k0i0h090M0306010A08070R0e0T0F0c0Z0H0D0V0j0N0O020U0S0JH8S634OP8B0EF3Jn0KBnIY5M0GKsMHYAETCgOi0XUG03740Q470lPw0JFA0ILW0eV3050QQY0C0X4S040OEs0LPT0H6YHF0LLsXM0YONDL0iV3FxG8
g1_q00EIsFmIuX_o4bpbzFZpOQ4Z6ebjLWsyHfQX_IPKdw	pathagon-rules-v1	7	14	3	54	0G05070g0J0W0S0k0U0c0i010H0b0A0I040E080a0Q060K0f0e030h0X0F3R0Z1aMGF0CSIpEYNj0PPH0NBt7M0D0e0aIkWHVaa30KLVb_01
g1_q0BUkRVVEWiOZpoVBCwDzJfT7yQOG-Sl0EE4yjurbds	pathagon-rules-v1	7	14	3	94	0B0K0U050i030I0Z0M0D0k0b0W0e010j0Q0T0m0X0L0f0h0J0G0d0Y070V08aQ0aOcUgGs7HP_0f9OGb1jW8IDFkaO04bxNDOES20LJALg0mRI079W0TBo3h0AOLHZ0LYINS0DTbZc0gDWbL0G28640h91UkA54S0AOL1F0k7UQ0D4a30GSOZbTu8i68
