# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_9-4zHCra7h4_e7-1gDOQueeFNN9ttHxtVhyDdHKtGD4	pathagon-rules-v1	7	14	3	32	0L0l0H0J090j0Q0i030c0T0Z040h000O0V070C0A0J0W0k0G0S0e0K0fMQ0g4C0d
g1_9-91h0V1UvLJyqEDEeGW9kXvw4YjFiduVps6gqAioWQ	pathagon-rules-v1	7	14	3	34	0D060C050B040I0J0K0C0J030A0H020A090B0G010H02080F000807090E0L0F0M0N0F
g1_9-CmOM8utoJcDvNYylvU7Kxlh5VMeUEmClmgMA2oX1Q	pathagon-rules-v1	7	14	3	32	0F08010M080L0T0a0M0N0U0M0G0T0N0V0O0U0H0W0b0c030b0B0Q0P0I0A0R040P
g1_9-LFzUTlV65WsDGaNKg1b6BJny4rhe5Kw4DrDIct7uw	pathagon-rules-v1	7	14	3	78	030E0U020D0G0F0X0k0b0O0J0Z040g0h080l0K050L0i0B0e0j0f0I0d0S0ARr0ZB5TXOF0bCj5DEOQW9L2oIPVc0HO80m07aV0X0UB50G6s0a0MHK0b0eaZ0W0l0CQe0eLz0k06Mq0V0K8x7I05OF5E0l4S
g1_9-RwceI_uSE_pBU7ZrwikzD_bOj3Iik9s3Z1RLeHFN8	pathagon-rules-v1	7	14	3	16	00070S080F0M0L09040B0k0A0h0C0G0D
g1_9-TFAb1W3qtOXQDk6vltnrZWslz1JnyCwJmHrQHViy8	pathagon-rules-v1	7	14	3	143	0U0C0l030T0m0R080G0B0M02090O0k0V0Q040X0f0D0Y0c0A060P010H0F0j0I09QdR4H-8ETfWUah9L2701LFZrFB7gDd08N90QIX0C9v1i0G9-Sd0CZP0LBE0C0D0dPS0PbG0X9b0HDD05Vx0VC-0J0K7c0eEX0c230GOw08HL0MKi0E8g0d3X0AJC0PF_0HQk0U3oC9P4DT0QTU1_U-CbEN088y4z0aHU0JNA0XaS0M0aTcZT0ALP8nbA0JYB0NaG0kCn0OYi0i9-Lo2V0LNHRE0YYt
g1_9-ZYan180LYTBAcYdqDmHeDWwjiOx21L5_tSS2x5LSc	pathagon-rules-v1	7	14	3	42	0k0f0e0N04050a0L030J0g0W0E0U0S0C020L0D0d0X0e070b090Y080I0H0A0QPm6uWd7D8x8MVW060X0f6U
g1_9-ga_xS8fwuYrLwLt8SyhycwkDu5gOz4crKgYe8p7AY	pathagon-rules-v1	7	14	3	41	0L0K0C0S020J0E0G0d05090i0k0V0O0j0H0B0a0I0W0X0e0T0c0b0H0g0A0M0hZC0PI708bS0k550P0R0W
g1_9-gdKaE1UupgQ8KiCmQHlDF0aT_ce7ojwJQCdRZ0A-g	pathagon-rules-v1	7	14	3	18	0d0C0e0E0B0l0G0J0I0H0A0I090F080G070K
g1_9-i38APwgjQSqujyDq2CWDaTmXUI9shGaim3teV4Ubk	pathagon-rules-v1	7	14	3	102	0g0Z0R0S0c0A070Q0P0E0Q0Y0D030W0J0M0X0m0Q0e0B020d0K0L0G0f06090FRiPZ0jGYRB0H9uB70ZHh0B2M0hEK0Q0lUj5P0M0a7U0P0a0HQS0AJgLe0T4Z5D0eZt0FQT0eLDbrLfAOQvGdB2Lf5o0mGdB2Lf6ZQvGd09M5BFRE5vWUQh0jR0Gd0cM5B9R7C1WNM5GWIF
