# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1__-3gCcjHdS80Fc91jVtxHtuXv06WKuYZpvthioRV2RA	pathagon-rules-v1	7	14	3	30	0Q030l0J0R0I0j080S0c0G070h0a0i06050K020B0H01090C0X0Y04020F5X
g1__-4AbZRRM_UWVmP-echmmeZV04Na0lJ7kmVAL4iR0vA	pathagon-rules-v1	7	14	3	103	0X0Q0k000T0f0l0i0j0m04030g010D0a080h0e0E0O0R0M070205030CAq0F050YaT2G0cWZ0NcEXg1X0IKQ0HM32zY8NXL4XcZ70Vc4Y1MuI3XdHW0b0ZC80cRZ66aDXG68MK0GH41R68beBqX91D6oSKYQbRXgcBalYQbRXgcB3FYSbRXg0McFYSbRMyafcFYSbRXg0T0Q5A
g1__-7MvMJbPSvnvdfB3PAzU8C-ExSjnpTdcFGs5rw--60	pathagon-rules-v1	7	14	3	22	0a09020E070F0G0H0L000E01080305020C060J040Q05
g1__-8VksHeQa0j0ejNRjfY5k9gJRWZGwdvagutb891Z-s	pathagon-rules-v1	7	14	3	196	0M0N0F0G0U0T0V0O0H080G0O0N090A0W0P0I0O0P0B0C0J0Q0I0J0X0L0W0E0P07I30M0T0FMD0S9D0B020A1b092N0A390B0t034c353t030o092J361b015R0A392M3x1c4e0B0o342M051a0o34092K3t0q0A1a04353r2M0204013w095R2P4e053D4f051a3s380B5S9F0A0B0p09031Y2K7i0A093s0B020r2J7i093u4g2O0A020B38094f0B3w0r3A1b2K3t4g050A4c0B2K5P048W3A093w2N5Q0A4g8W369F0A0B0r09034c1d9D3A0q0A0B5N1a3s384f09023w389F0B4g0A0B0s3r1e352M0p4c1c092O5Q3x0r4e05
g1__-9R6RuHg28IqYfxq_QXBnTlrs59IsiV5GN_5n6O_VU	pathagon-rules-v1	7	14	3	21	0C05060D0K0J0D0C040B050I0P0Q0R0Y0f0Q0Y0X0m
g1__-EIIUo0fpsGZV2GVke4K-rIA2SjfHdG5yv3Jbp31jY	pathagon-rules-v1	7	14	3	53	0P0A0E0G0Y060S0J02040b0h0c0k0W0701090K0g0d0j0N0V0R0m080H0fDY0eZWRBXR0c0C0G0D7W6bGl660MQR25Eo07EV0KPzUzFp00
g1__-Gl4TPHcjywVJsyZGZt7Rrb_-VHDsWKEFhwCdlnFR0	pathagon-rules-v1	7	14	3	31	0f0c0j060V0b030d0c0X0a0N0e0E0Q04050b0H0A09070O0U0B0d0T0G0c0J4m
g1__-IqVecOobUrE5fYuz6atu4g3gGlpnzuzdGUavzK-NY	pathagon-rules-v1	7	14	3	108	0Z0A070C0N000b0X0E0a0h0O0Q0e080d0G0H030P0i050j0U0B09010YYl04760g6A0M0VI30iJGDKKA2hRG9l0YAz18Bw4B1jQY01V7Cs0mLxI00D8pA_0DUF0cZl0dFG04Y20cQc0fH-0RL94u0h6S07Eb0FVP0I430AMJ03Qt0XBY0LA_0CD6EaDwSa0DA4Ay08XB0I2t0W5P0PUfJk06
g1__-MS6SoRJ3WMzwtQEls48kXOTGwiVeGo8GojiSAGhJI	pathagon-rules-v1	7	14	3	51	0d020a0c0h0i0L0C0e0S0F0X0W0J0G0g0N0D0E0b0I040K03050A070P000kF60mGWAtRgaiItQP0BK74-Z005A-LsUL9x8j5j0Y4z
g1__-U-RpmTY8BZ2NuIM83g-l4k4StCj74mD9LNyfcK2zo	pathagon-rules-v1	7	14	3	56	080k0l0e0U0Q0V0O030f0B0D00010F0M0a0K0E0c0W07090b0h040H0R050S81L43dGYJ26HRqVhao0YDY0lSVEfPOAnCT5dCB0QXQ0bQl0O8g0N
g1__-ZP9Y9NGbXoZoBklaS5AzwJW7b-XJ19miXVZEr-UlY	pathagon-rules-v1	7	14	3	29	0i0B0b0A0h0Y0M0f020U0F0S0X0k0e0T090a0Z0d0a0g0T080007010Z08
g1__-beChQZ_8YfgwkPRVlwBop5F653xASnBroGcOuq1sA	pathagon-rules-v1	7	14	3	92	03010d040L0O0Y0e050F0m0A0J0f0C0j040U0I0Z0B0H0E0K0V0M0N093T0G0h0W0O0XKNPm0W0S0XSJHS7nPH0g4D0W4l0k0V0dYOXc0WZwcEYSRU0P0Q0W0PMv0V0jYMZ81T0W0A0V0H2D0c0NXdYMUYZnZAXd0V0jYMZ8CB0W0cSF0V0iXTGl
g1__-gf0K1glevtldqR-So5HxHlKoz6bGIIPatEcZmAbkU	pathagon-rules-v1	7	14	3	36	0O0F0H03020409010A02000G050607050E0S0M0L080N0F0U0M0P0Q0C0T090V0G0a0N0h0M
g1__-hhlsM9vVsvE5SPAMpPGQmUSDnuIljDT0kqiL0SGNY	pathagon-rules-v1	7	14	3	66	0h0c0f0g0a0C040R060N0Y070E0P0O020G0I030e0K050d0T0A0M0m0QDf01Uu0VBgIf0XKpVtNiY40l63H-0ePDWjE-NzKCG50dVj0JDE0f8X0h0e2ERDIq0Y0R5Z0f0M2x
g1__0FOfUwWdOs_mLVOptQv4YEJXGs79_qxPFaQhs5kX1w	pathagon-rules-v1	7	14	3	52	0J0X0R0I0T0U010Q0d060P0S0j08090a0N0f0m0g0F0Y0G0C040O0V0W0c0T0P0e0Z0MFi0A1mEu4XSQ7jNmIZXRRcMyYX5AV7RH0g21
g1__0NTM2P5vQ4yN4ENNgUpGWAzugA6cBb-ea8ua4jlA18	pathagon-rules-v1	7	14	3	40	0f050d000R0B0C040Y0U0V0h0i0g0O0H0S0N0a0c0m0A0e0I0P0Z090QKV0D07IUT4B7OlRbY-JyWu8U
g1__0OBMvVFOYJs07kkk7lO2sVlyZO8tu9yVxiLuvJFQmw	pathagon-rules-v1	7	14	3	46	0T0a0h0M0a0F080N0G090O0G0H0A0U0V0W0P0I0V0O0P0B0O0b070H080c0d0i0W0j0k0EaB0J8c0A7y09JF0O0H0V5a
g1__0OqA1YF0K86TQjay5EVv9uHABsQfwt6KvL2sh_VI5c	pathagon-rules-v1	7	14	3	42	0K0M020m0O0d0e0S0D0P0f0j0g0Z0i0l0Y040I0U0V0c0h0b0T0A030WEf05XiPOR5Mu0Q0S3F410P5K2a6i
g1__0WmkW_GqYFIF8afayE8MSq1q8Qwnrrz53XRwbN8Xtc	pathagon-rules-v1	7	14	3	45	0W040D0f0U0V0N0k0E0g0a020G0d0F010T0Q0b0c0M0X060W0Y0R0h0O0YM40P0HCY0CBQQ9O7Wx66OeRZ30JIa2Jy
g1__0YP-5jbgunNUTu372JIidHtRcpb5IHXxe7HR3AYHjQ	pathagon-rules-v1	7	14	3	39	080H0F0M0O0V0A0O0N0G090U0G0T0b0c0U0a0P0I0O0b0H0W0d0P0B04030B02010007010E1T0h27
g1__0gECZUAF4O6Vy2YeXKza5zHJf0qERIgAjo9202VdjQ	pathagon-rules-v1	7	14	3	82	030N020O0j0i0D0A0m0k0e0E0J080g010I060j0Z0S0f0T0b0M0l0Z0X050V0h0QFfWeZNTDHAIyYKJ9Gg0HNAP6BP5lXM8zEpaE0gb0H-0k830f3U0d0j0l2_03LwC30K2AZh0OItEIXS0RYzR00JVa0gayQa09G10A
g1__11IFnMCaeweAlxZ795VQANfkqetT_2fz2riW179CiM	pathagon-rules-v1	7	14	3	33	0M0S0B070Q09020T0C0A0a000l0c0P040b030T0U0O0V010N0h0G0d0D0T08Ut0Wau
g1__15vHNBgFZ4t7-fnqrgib7o1UEs98uvApnEC3F8db70	pathagon-rules-v1	7	14	3	75	0X0h0f0M0U0N0O0j0B0H0J020C03050Y0m0g0R0T0b0Q0c0P0d0F0S040E0GTk0YMgD8VyZZ0DCGAF4DO3DyLh0HWQ0jEdLFUH3V0fY6GZ0KQj0kUn08B4L20CKG0WaR0VRP0e1M0QIn0VUHNV0Y4F
g1__171mNJxHK6lEJho3fz9lAz4A-9CJoeWk1r-Fs8CK3A	pathagon-rules-v1	7	14	3	49	0Q0P0O0H0J0I0A0P0H0C0I0B050I0C0N0B0O0V0W0O0X0P0U0I0V0c0d030V040e0b0GTL0b0G0c3Q0T4P0N5309080G960A9D
g1__1A6OzUnsiSco2iFQQFRnUcbeAMU8YTC2ctOgfGd0mM	pathagon-rules-v1	7	14	3	83	0P070e0f0A0Z0F0H08060Y0E0V040R0i0l0a0T0h0C0305010W0k0I0m0jbh0cRt0L47HE3O7L1vD001M1Is0l0NW0FfbkXkNHBZ0FYYFY0gAk0BRG07AhXG0Z4B0E0YKN07Pd0QBd090USeHr08CNR8MZGS0f7FWP0YJV
g1__1AxGKk7n6wtm96CXSNE4RR5-WNTRi46caSzlj43qaE	pathagon-rules-v1	7	14	3	38	0R040K0a0b0c010A050i0j0Z0m0X0U0O0f0Y0D0L0M0P0G0h0e0H0B07066d5qS9B00N02HW0E4F
g1__1I4guHX9ruELv6LSzcx76uAHdzjRtWPz2IU_5jFOSg	pathagon-rules-v1	7	14	3	31	0J040b020X0I0m0U060A0N0k0L0Z030c0D0f0Q0U0C0M0K0V0T0R0H0BGj0a0l
g1__1IFvcFeLzZL7AayQYB1bYpOx-fBRtJf5sBWmZfCAlw	pathagon-rules-v1	7	14	3	40	000E070F0801020G090H08010A0308020M0K0F0T090N0L0S0A0E0O0F0H0I080H0N0V0G0U0L0O0M0J
g1__1MQbIL2TkzVlIOJZegHcXaJV7KijK4q1NWngNeM-G4	pathagon-rules-v1	7	14	3	38	0H0m080V060B0W0l0d0K050A02030g070j0e0i0S0Y040P0c0R010M090IGD0k680EMTKVbj623H
g1__1c-GHZBwQx-BmY4uDNX2r4zXsS1hmFyP6nkHvVHTGo	pathagon-rules-v1	7	14	3	61	0W0e0H0l020P0K0N0U0L0Z0E0i0a0f0T010I0F0S0g0d0b0k0c000C070j0BWrKRXB0OEC9FUMae1lBaAJ3VLF0g0cEnO9JfOzV60AQP0I4yGY04L1Be080m2K
g1__1dNfolTGGa1MDi7Ou9vyTDRVEOdiqKx5zDO79KwvLo	pathagon-rules-v1	7	14	3	17	090Z020b0g0a0S0c0Z0L0E0M0L07000807
g1__1p-QBKq7oVvuEBCOuJUxcu89GxaXmUzRTK9k5Moi-Q	pathagon-rules-v1	7	14	3	40	030L0Q0C0P080J0I0B040I050A0H0O090H0G0N020F0M0G0F03010E070F0E00060D0K0C0D1C003WAn
g1__1q-iWpfkv_5eFmpTaoi2u3h2PfIiAmWqyX1nujTBqM	pathagon-rules-v1	7	14	3	43	0L060P0O0W0c0d0V0H0I0J0Q0I0P0X0e0Q0d0R0W0K0Y0f0X0Y0D0C0B0A0I0C050B04030B023s0C040B5J0m
g1__1tKM-cIbdVFxVK4LIoaYkfbwFcFdRfVj__FMAJq9lQ	pathagon-rules-v1	7	14	3	82	0k0Z0l0m0g0f0e0J0j06000I090d0c0Q0M0e0X0L0e0i070d0Y0e0P0a0T0h0b0405Fo0K5y0X0B7z0OGjS40FO9FY4OW-HI5GRv1KMpXN0PRv9lC90VMmSnX9YM0UMmHIXG0NS0NH0T0QP46GJa0V0U0c0QBW0W06HL
g1__2F4n94eTh1v6D5yptBMZ-xQgq7H33ShMQLNC9CeauA	pathagon-rules-v1	7	14	3	28	0U0l0N0T0V0d0k0m0e0X0W0j0c0b0a0k0b0M0d0e0L0i0O0M0h0g0Q0h
g1__2FqOqJvbDdYYpf8bHRAvqaBP76-Q_SRcZAjb-kDyiM	pathagon-rules-v1	7	14	3	33	020h0i0A0g08090a070N0B050Z0k0b0P0O0X0M0W0Q0d0e0P0c0V0U0XJP0NVn0A6V
g1__2G3WD3nA2-D4xIRFvLH3W3WfBuvO1j2sP6BoOUZikY	pathagon-rules-v1	7	14	3	40	0U040a0R0L0O060P0K070F0I0Z010e0b0T0A0c0C0m0Q0d090k0E0V00OH02Gx0lUOLNNZ4Y0TBiTR6J
g1__2YwmjFJNHdMbNPdokmwdBDUMuBcwWIF6QDGv88zSGw	pathagon-rules-v1	7	14	3	59	0Y010k0g0X0A0G050J020j0m0l0f0K0U0D07080P0c0V0I0C0N04030F0LPBFQ6eRB2EaQXt0kbYAk48T_261KWla89YJ3040fFh0DOH0mAULg0VDS0Q7R
g1__2ZFrrBY_v9QrFR--fAVSEiuHQB6UrRhp3Ce1YN2Jog	pathagon-rules-v1	7	14	3	59	0B0I040P0J0C0H0A0I0B0Q0I0O050P0W0V0P0X030W040N0R0G0Q090J0U0K0Y0d020W0c3s0436030b0A1e0D2x0c600X0Y0WTC024pPD5y0VKWZw0P0b
g1__2gbrypoY1i7fgnBw-9toIzuLbUc5icKeKlCwse3TVQ	pathagon-rules-v1	7	14	3	40	0I0Y070j0T0P0B03020N0m0L0G0g08000S0a0D0Q0K050J0X060V0M0f2sSNE-R25v06BTX70U010cA1
g1__2os9u8BMsUzi_ruvXXVPYgYtCOerYaaidVDL55E_ys	pathagon-rules-v1	7	14	3	54	0O0L0c010B0f080m050A070g0F0D0Q0M0H0i0I0Y0K0R0E020J0U0j0l0ZavJm8q0NOB0T0k04Ak4wZ0VCLfBrHXSyRR6KB6VLSG06WtGF0l
g1__2uJXUD5bMJWsAafmpnLHG8rIZtpBHFg5QBS-AexIO4	pathagon-rules-v1	7	14	3	58	0Y0m09060g08030b0C020e050c0W0S0l0K0a040d0I0O0E0Q0T0c0U0P0AbX3L5sVl7fAOKFDwJg4W0kNDQlEy0N06ZP0ePo0UV50MJ5Mn0iKNP30O1L
g1__2vUI6uyROLJquDn-SxpyoLxa91bSQOrSFJCZ3hgHgo	pathagon-rules-v1	7	14	3	29	0J0P0O0k0K0V0W0I0H0Q0I0X0P0W0R0Y0Q0d0c0e0V0f0j0l0m0B0C0A05
g1__2zA0g04RgGataJ_ohDe3Pyc-ZosIIKN5RbdaQnPCqw	pathagon-rules-v1	7	14	3	60	0D0Y090U010a0T0A0m0H040S060F0M08070P0W0R0E0Z00030i0J0O0V0kEQ0dOh020XPX0Ca4AhYy8oBYQKP1RyV2VZ2V0L0cR6DL9f3c0iAcNP0jHGGq0T
g1__36NnORRkE3haj8Tx7D2H6fYl6wPc45jBf2Bwooj2zo	pathagon-rules-v1	7	14	3	50	0B040A030201090H020A0I0G080F0N080G090H0M0O0P0W0V0P0U0T0X0Q0W0J0C050B0C00071z013x6j040U391b012T020BLV
g1__36ya4Rp-ksVjIw6OAZQZRyMRrGY5eeGgPj49n25-tA	pathagon-rules-v1	7	14	3	100	0D0a0H0W0j0T010d0C0b020A0X0F080i0P0B0J0L040Q0k0705000N0Y0SVG6_9hZi0gEO17AL0C0f6pOCVu5L8aBHXtac08U70WR_0UNC05280m5s0T3-0A00Xf0jOM01Sp07AS0JYo2v0hMiOR0DTpWP0ZBA0lJp0L1F0Z0aVD0S0DKU0ZBy0XMZ0KFm0bM3Pq0P5A
g1__3AW5hSnagJmgi9VBsfseWuszrmqHLB6WitBmxx2j70	pathagon-rules-v1	7	14	3	54	0l0A00030X0V0E07090T0I0W0R0Y0502010M0L0U080F0B0C0O0Q0G0k0N0PGw0A0H0B0J0IJiaf1D6TRh3d0OHIC80K0c0eWA2M1a0V0oRt
g1__3FpcafmPlN1bcpfGTGSPyj-OwBhlEGmfHrjcfke8oM	pathagon-rules-v1	7	14	3	196	0c0V030O04020m0105060a000e0b0E0U0X0N0L070k0d090c0T0W0M080R66Bi0tVib40H5v0iGW0GR7I9M54iGIbyWUFkB1392M3_1ca135Ni3rSa6MEM1D070P8R08RSGr5O0TSRbkaGFeLdB908GIYn0M5_LWWNBb0m3wBH5R7z4o9X0ESJ4U0kAAFtWGE4Ap6i5RDf4f2Q0SF53V0_4U09L-04Wb1yRSBfL-bkWb03RS39LYHOWb8J67GBLmRsby6hGr5NLYayba8s5hSW3A0XGIRN5v01B206REWCGI11Lm9TAn50GA0l385i0J0R3ua64cLW0E0k0qG_Ba0g38854fCR3wDT38Ro4j1tHd6y3sMm1D2r68Rj1aXZ0oa_2RLW1a
g1__3GqTIbGek0ECNS2AUEgKuexLfaJlE8EFAVUmA_jO9k	pathagon-rules-v1	7	14	3	39	0B0M0b0K0k0m0U0H060A0W0a010S040j0C0I000T020R030J0X0D09050L0GHF0c0IFx24M5324e0e
g1__3JtPw3AJ-fzhYTvEftMx9_u-AfLCmnKhYpr83-E0fs	pathagon-rules-v1	7	14	3	61	0J0L0F0B0c0T020a0b010M0S080P0G0Q0Z0l0i0m050a0Y0X0h090d0jZ504DPas0kQP0CLQ0QIg05bB0iEZUv8J0WZNE6bk0kNb0N3u0XK602SP0U9J0G0P09
g1__3ZysKEjXEiAUO0NX4M9A5yxXYG6eYspD4m7kcMt1m8	pathagon-rules-v1	7	14	3	69	070W0I0d0T0h0M0U0V0k0P0B060b0Q040X0L0J0G0E0K0m0N0f0j0S0U0D0OBm01BE0gMQ00WsTgPwIQFqO6Ou1NE5GKPMVANAYC0Lag0XPv6t0W079ubHYKAa0h6m0W0VDl0X0A4o
g1__3_bD1_-_rHZpZEXXAJ7eui4rKPguePAG2yHuri_Hqw	pathagon-rules-v1	7	14	3	118	050l060C0J0K0I0D0P0C0B040Q0R0Y0X0W0A0X0B030H040O0B0V09020A0G01091Y023s040p0N1Y014k050u095N0669at0U08Nz0F0u6006MC5vWbQhbdRZL-WbGkbrRZL-Wb0XBN00c3QF0K0C5a0tRZ24WoLKcGRZVxWoM55j4F0X0PAN5D0CBE0eQp0XDS0G0Q2n0H6k09BX0N35090F0G2R0VAa02092X0Y0F
g1__3lW2jnzYHz8IJ3i-rQp-6lDcUX3XLikTRcHjhF7554	pathagon-rules-v1	7	14	3	52	0E0F0Q0M0C0h0300090G0J0R0l0L0V0D020P0A0Q0S0Z010L0N0m0g0G0S0U0k0c07086j0B070Nas9lTQ0Y8mNx08b-HbYK5aAL0LVz
g1__3mqzrtsrmWMuzmOIjFtZguhMkpstpY7NM5KuXnCtlo	pathagon-rules-v1	7	14	3	91	0e0X0W0d0P0Q0I0B0J0C0O0J0H0A0V0c09080D0K090R0Y0f0X0e0Y0X0m0l0f0k0j060c5a06GA0K045a0JGB0RB20D5o0JQv0QGI0K5v060X5aLYGWR70Y5a0JGB4wAp425R064f053t4g395Q2P3t4g395Q2P3t4c355Q2N0p1d3A3u2N0A
