# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_K-3wBr2eGpl867sNMGaW7i3AUyFLE4qjNvfsJ7rzjEQ	s1_PulNNd7rflPsR6bYwAauHAlHsj77ULYR0CqyUBv0qMc	1unMWZ	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_K-3wBr2eGpl867sNMGaW7i3AUyFLE4qjNvfsJ7rzjEQ	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unMWZ	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_K-3wBr2eGpl867sNMGaW7i3AUyFLE4qjNvfsJ7rzjEQ	s1_mkL4hduldjgj-_YGddPzHiV8-nSul33qElQY7poVfCY	1unMWZ	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_K-3wBr2eGpl867sNMGaW7i3AUyFLE4qjNvfsJ7rzjEQ	s1_tyJKmWWNmk7OVPt5fwfSzl6Adu1-vFRVMxWl66thSn4	1unMWZ	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_K-UMObFeN1Usu11HiMDh6tuyreBuwGK4sTwm0dD3f6g	s1_MPZVpakJWpQIz9GNoj9lb8p43W3D05ZP6oy0TI22H9A	1uorD_	surveyor-v0.2.0	-	seeded-policy-value-50pct	sha256:bd870bcd83546e0cc5727f40f588ae8ff5c6bdf07dcecbb9a48ae6f32c9aa4de	L	P	196
g1_K-UMObFeN1Usu11HiMDh6tuyreBuwGK4sTwm0dD3f6g	s1_MPZVpakJWpQIz9GNoj9lb8p43W3D05ZP6oy0TI22H9A	1uorDz	surveyor-v0.2.0	-	seeded-policy-value-50pct	sha256:bd870bcd83546e0cc5727f40f588ae8ff5c6bdf07dcecbb9a48ae6f32c9aa4de	L	P	196
g1_K-pALdjYiA1LizCALRMKZ3vm6Q3tsylF2TUYatmVQJA	s1_flXyOBW6T9LLVDFIvXBGel1MoVNZcUcMFIJnB9yLapU	1umxDr	python-gnn-puct-reval30k-v0.1.0	sha256:6120be86fc469df71473c3de64e5e32f99694cd47d621fa5948f243dc51d3d21	python-gnn-puct-reval30k-v0.1.0	sha256:6120be86fc469df71473c3de64e5e32f99694cd47d621fa5948f243dc51d3d21	L	P	196
g1_K-szpjB81jEQOLYc3ryKP8QysEUlSbchsRB_APPlfys	s1_OSaPNFB-Pc9Ytp2uiFv8-ctXPw4pUITSg7sTod3jHkA	1unOjk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_K-szpjB81jEQOLYc3ryKP8QysEUlSbchsRB_APPlfys	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unOjk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_K-szpjB81jEQOLYc3ryKP8QysEUlSbchsRB_APPlfys	s1_kllhaa9tFcd29dPVjb767DPsYJna9jpEnfGeQgJ_EEU	1unOjk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
