# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_M-56fBMBb0iVn_bMFJ7SHuXX-Jfnnk0LLvR0q4xB9PM	s1_5ifgL1c4n7qlNeF9806LT7NMX0gbCREh5oBYpAfCYUI	1unMdN	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_M-56fBMBb0iVn_bMFJ7SHuXX-Jfnnk0LLvR0q4xB9PM	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unMdN	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_M-56fBMBb0iVn_bMFJ7SHuXX-Jfnnk0LLvR0q4xB9PM	s1_VdVJ3vyqnqlyogBWWA9VRudruCCdH3G6Atn0WPXFl_A	1unMdN	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_M-56fBMBb0iVn_bMFJ7SHuXX-Jfnnk0LLvR0q4xB9PM	s1_pyhyRBwQR8wsPT5WkGyB5w8MkNAuGcu1qgoEVplV2kQ	1unMdN	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_M-ADIAn4-ETbW6JJGtnb7RZFqbAYcmFE7p3RG6zHF48	s1_0AUOJjPQPZ1MRMfwzS00hiN-u8aJ0dAeHixic-sp0u8	1un6cL	gnn-reval30k-7x7	sha256:7f41dbe135649d1116a0914bc0358a5ffae95749195ec20dd972035bbbea52f7	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	L	P	196
g1_M-ADIAn4-ETbW6JJGtnb7RZFqbAYcmFE7p3RG6zHF48	s1_O3cuwuia8XT9TI7Nxr3tRcajOA20XFHEIT2fYX3WizY	1un6cL	gnn-reval30k-7x7	sha256:7f41dbe135649d1116a0914bc0358a5ffae95749195ec20dd972035bbbea52f7	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	L	P	196
g1_M-ADIAn4-ETbW6JJGtnb7RZFqbAYcmFE7p3RG6zHF48	s1_UHtME0K2nHdWZi6cty5g9OSxM3nyUTxwVk5nkZhTkjA	1un6cL	gnn-reval30k-7x7	sha256:7f41dbe135649d1116a0914bc0358a5ffae95749195ec20dd972035bbbea52f7	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	L	P	196
g1_M-BwWhmanyYev_Oi8rx6AXPeYaPRPC7OVikvAaZ_tGU	s1_qtlitMa-GGx-0y2heoyNRonYXf1Dq5epTexnVe9Iqtw	1umxhM	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	L	P	196
g1_M-DT2V0EjEcjTWrIanbk0lBNoEGk-XJm8eusHyEN93Y	s1_1tTGSqghPqkuX_RuEAJdMsvaUBDMph3tHnUWyx5QtvQ	1unPbb	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_M-DT2V0EjEcjTWrIanbk0lBNoEGk-XJm8eusHyEN93Y	s1_3IPleeNAAkcQOy0icQnGGnm9pjnEJwqNkykByrPE8Yg	1unPbb	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_M-DT2V0EjEcjTWrIanbk0lBNoEGk-XJm8eusHyEN93Y	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unPbb	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_M-DT2V0EjEcjTWrIanbk0lBNoEGk-XJm8eusHyEN93Y	s1_kPjLncuI_bKbFcdg7zTqvCJOb6WNuc8GJeI4tJPjiLo	1unPbb	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_M-IaDVUA0mOFavt74O4LHBMmVe7LKvfyVhOIj20eLx8	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1DIjc	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_M-IaDVUA0mOFavt74O4LHBMmVe7LKvfyVhOIj20eLx8	s1_9Eroywf7tuDrn-hcfZPjlEa1DSRUykCRn9Z11u8ySIo	1DIjc	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_M-IaDVUA0mOFavt74O4LHBMmVe7LKvfyVhOIj20eLx8	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1DIjc	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_M-IaDVUA0mOFavt74O4LHBMmVe7LKvfyVhOIj20eLx8	s1_KmF8KhDbubz6lwdS8R_n_yTGdSONmH9B1wUABbyCj94	1DIjc	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_M-IaDVUA0mOFavt74O4LHBMmVe7LKvfyVhOIj20eLx8	s1_MKrI0a3Qd48rU7oZj28GrlQ3cHhIbUzS5ibiIW9aKy4	1DIjc	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_M-IaDVUA0mOFavt74O4LHBMmVe7LKvfyVhOIj20eLx8	s1_XloMUS0hxYEXf762lcPfaudsLmsH-CsOVZNVVU_obcA	1DIjc	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_M-IaDVUA0mOFavt74O4LHBMmVe7LKvfyVhOIj20eLx8	s1_g5pGkHBMEhzAYvwFY0b24sSc7wC9JfnWApMHHZ_aMPI	1DIjc	rust-pathfinder-v0.1.0	-	lunatic-v0.1.0	-	L	P	-
g1_M-PsZl68k2k0bKZrPhFmdYu0L14-zIxNB6wfTaxKxcE	s1_2r9UXtePy1A3o2shiGKG3Iey8Nt2lldq9jzlz8uCKuw	1unNlt	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_M-PsZl68k2k0bKZrPhFmdYu0L14-zIxNB6wfTaxKxcE	s1_7yZljf4kEw9UzIdN5YqPeM0CyoZfx-q31V8M_kI_31I	1unNlt	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_M-PsZl68k2k0bKZrPhFmdYu0L14-zIxNB6wfTaxKxcE	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unNlt	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_M-PsZl68k2k0bKZrPhFmdYu0L14-zIxNB6wfTaxKxcE	s1_V_geo8hks54cXKtm7Xi4L9kjr0a6RuexADZZbavPzRQ	1unNlt	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_M-Tefw_lncNccV0Y7hIoEyOkZMAu4T0RAQeMkVgNICY	s1_2FtaP75xgRVTNrUvmC0NIesJCNy8IDFJ05WNM4nUnpg	1unR7P	coin-flip-v0.0.1	-	qadv-arbiter-7x7-v0.1.0	-	D	P	196
g1_M-Tefw_lncNccV0Y7hIoEyOkZMAu4T0RAQeMkVgNICY	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unR7P	coin-flip-v0.0.1	-	qadv-arbiter-7x7-v0.1.0	-	D	P	-
g1_M-Tefw_lncNccV0Y7hIoEyOkZMAu4T0RAQeMkVgNICY	s1_XiHVOpw38EPdOub_ecc23x7iM7lOmAhI5uTb58D-soA	1unR7P	coin-flip-v0.0.1	-	qadv-arbiter-7x7-v0.1.0	-	D	P	196
g1_M-Tefw_lncNccV0Y7hIoEyOkZMAu4T0RAQeMkVgNICY	s1_vu7cxIV-BFqn85nMDfeLAMNTjblSQ4AYV4UEUbdg-s4	1unR7P	coin-flip-v0.0.1	-	qadv-arbiter-7x7-v0.1.0	-	D	P	196
g1_M-fNrrENTKjYV4SX5E7ErxnlaCUhkh4uA1bURFgVJIU	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1DIZm	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	-	M	196
g1_M-fNrrENTKjYV4SX5E7ErxnlaCUhkh4uA1bURFgVJIU	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1DIZm	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	-	M	196
