# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_N-1hws0W2E4eslX8epc_0HE7VqXu2WNPSFW5eqMmvLs	s1_FW1ZodWbnP__AxR5JqnhIVUciDxzHl7-8FTcQ0GFbEU	1unOOk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_N-1hws0W2E4eslX8epc_0HE7VqXu2WNPSFW5eqMmvLs	s1_Q3dMWpQB5ii5rinkOhdn0-NLgC-NgERYuseBlTBfPqA	1unOOk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_N-1hws0W2E4eslX8epc_0HE7VqXu2WNPSFW5eqMmvLs	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unOOk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_N-1hws0W2E4eslX8epc_0HE7VqXu2WNPSFW5eqMmvLs	s1_WeERTge0QKQyI2SPK2Mgenl79hrZH3fAxxVipML5MEI	1unOOk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_N-1zxP_-1GhVmMH5hrdDHHkh--pEy_vjjFJ34FxK_NE	s1_6PxtazPxkizz7K9QTWPSCIopEV5n0zpHoq3F52yO_6U	1umwr9	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	D	P	196
g1_N-1zxP_-1GhVmMH5hrdDHHkh--pEy_vjjFJ34FxK_NE	s1_baRgKA_wMXdl0r4AwdkUfhWC04qxd1MvEGXAQaDd4fo	1umwr9	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	D	P	196
g1_N-23fo_6qemqV_5oFQ2Ujr3gS-MvdSw0atrfjhLT2B4	s1_O3cuwuia8XT9TI7Nxr3tRcajOA20XFHEIT2fYX3WizY	1un7ax	lunatic-v0.1.0	-	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	L	P	196
g1_N-23fo_6qemqV_5oFQ2Ujr3gS-MvdSw0atrfjhLT2B4	s1_gY_boSu5A8XG5a9XmME0tXm6pud0vwcbDekozVtP3iE	1un7ax	lunatic-v0.1.0	-	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	L	P	196
g1_N-23fo_6qemqV_5oFQ2Ujr3gS-MvdSw0atrfjhLT2B4	s1_nGMROr4JGS862bFLFUfH2a8ENp-zb33TaK0vhF2LgKs	1un7ax	lunatic-v0.1.0	-	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	L	P	196
g1_N-6AC8ZWqG_-dqZhXL1i7yAxliuK30iDARZuFXqBz7g	s1_-OKlJXuPFfAnukwGYITjiU7XKL4OC_qt76PC0TZSPjg	1umvf2	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	D	P	196
g1_N-6AC8ZWqG_-dqZhXL1i7yAxliuK30iDARZuFXqBz7g	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1umvf2	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	D	P	196
g1_N-6AC8ZWqG_-dqZhXL1i7yAxliuK30iDARZuFXqBz7g	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1umvf2	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	D	P	196
g1_N-9EDK7b36uv6JNT_Xlpglcx6lX6eAVK92GXLaDuPcU	s1_13FUtMjCMul6NuRVuzYLSglUxnapA7plz5bkZTOxh5Y	1unPo3	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_N-9EDK7b36uv6JNT_Xlpglcx6lX6eAVK92GXLaDuPcU	s1_CPIjLgns8c8M7A53NmU_4XqDFHbgaD3HpWwIR0HsGPo	1unPo3	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_N-9EDK7b36uv6JNT_Xlpglcx6lX6eAVK92GXLaDuPcU	s1_P24JRtxKgP4NBGJ3kMYt9DI9qDAizadJJW5OVl7_NF0	1unPo3	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_N-9EDK7b36uv6JNT_Xlpglcx6lX6eAVK92GXLaDuPcU	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unPo3	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_N-JUpApoRUdBN1moc67_opD6TIwRW4tpCvMPtedZSzg	s1_1aeV72eqnnU9r7xc7HMlCosgrNx1m4gyZmTHcl7zkHI	1unPQd	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_N-JUpApoRUdBN1moc67_opD6TIwRW4tpCvMPtedZSzg	s1_EXli7KVcwLhtpamCOGrlKfrjsNuI398lYN4O2nr5HJc	1unPQd	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_N-JUpApoRUdBN1moc67_opD6TIwRW4tpCvMPtedZSzg	s1_Jqb1aOiCp2U1dQWI0MQV0ZiCPYqZ3N-jXQJ8zDkBI3s	1unPQd	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_N-JUpApoRUdBN1moc67_opD6TIwRW4tpCvMPtedZSzg	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unPQd	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_N-aqIIaeoVua68aIuKa99mw9OcY4Ktf2QtobNQ0lcSk	s1_-OKlJXuPFfAnukwGYITjiU7XKL4OC_qt76PC0TZSPjg	1umvkr	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	-	M	196
g1_N-aqIIaeoVua68aIuKa99mw9OcY4Ktf2QtobNQ0lcSk	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1umvkr	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	-	M	196
