# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_b-0rXjk1uIftI4soP65COa5Nqe2dBjjwFZqH8x72-lI	s1_LEOvwlEsShcNjM3Tj9oH5lNDrbRHWRMK5yz8TSD8wAQ	1unMTM	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_b-0rXjk1uIftI4soP65COa5Nqe2dBjjwFZqH8x72-lI	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unMTM	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_b-0rXjk1uIftI4soP65COa5Nqe2dBjjwFZqH8x72-lI	s1_qZjwRgYXKP_5WbyM10PnOhww2MGxijBiU0jUqE4x8eE	1unMTM	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_b-0rXjk1uIftI4soP65COa5Nqe2dBjjwFZqH8x72-lI	s1_s0BVhme2FgKjBSCEHXvWIJyWEjHgkRGsKzITJwHAR0E	1unMTM	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_b-3SYvvJw8wyV4n2a3ZE3MzgST9r6bPq2gCjDcKC3Sg	s1_0AyUK1Ps4Run7VjYUXP0LvHpZRXf88ayuAg4jkEgJFA	1unQka	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	196
g1_b-3SYvvJw8wyV4n2a3ZE3MzgST9r6bPq2gCjDcKC3Sg	s1_2FtaP75xgRVTNrUvmC0NIesJCNy8IDFJ05WNM4nUnpg	1unQka	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	196
g1_b-3SYvvJw8wyV4n2a3ZE3MzgST9r6bPq2gCjDcKC3Sg	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unQka	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	-
g1_b-3SYvvJw8wyV4n2a3ZE3MzgST9r6bPq2gCjDcKC3Sg	s1_htbUm-DsgH22MyU5gKYqT75eSSxj5UvSOiNjPJNqXwU	1unQka	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	196
g1_b-3SYvvJw8wyV4n2a3ZE3MzgST9r6bPq2gCjDcKC3Sg	s1_lOwHr6mE-lPS5rfA5RkFIg-cdUGL4QFgsyOK-0ZFGtM	1unQka	qadv-arbiter-7x7-v0.1.0	-	pathfinder-v0.3.0	-	D	P	196
g1_b-6LJzdcji4MRHNuXwm62Gqf7eTd-g6r8zEiTKQuWEY	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unM2_	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
