# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_f-143RrgVEi6Sa7gzbyMMyryWF0BRHc2BeiRbj4i97I	s1_O3cuwuia8XT9TI7Nxr3tRcajOA20XFHEIT2fYX3WizY	1un4Av	pathfinder-v0.3.0	-	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	D	P	196
g1_f-143RrgVEi6Sa7gzbyMMyryWF0BRHc2BeiRbj4i97I	s1_bu4yUwwDMqKDhLXEtnBsv1ZAJagIFi7EKmSaiui1_WE	1un4Av	pathfinder-v0.3.0	-	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	D	P	196
g1_f-143RrgVEi6Sa7gzbyMMyryWF0BRHc2BeiRbj4i97I	s1_mlXHsG8-xxT7rKwSZelP6NHm5eYy3YD5j4SydA37pgE	1un4Av	pathfinder-v0.3.0	-	qadv-arbiter-guided-7x7-v0.2.0	sha256:9c0e5e530df7db77a98f6a2e75fe63a6f629c6ad6563e0b5454793ebc243b14d	D	P	196
g1_f-7nJ25Q7oxiPcMyKxu8-FNLLf1ILyHTRcHbXaeVNEw	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1DIbi	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	D	P	196
g1_f-7nJ25Q7oxiPcMyKxu8-FNLLf1ILyHTRcHbXaeVNEw	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1DIbi	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	D	P	196
g1_f-7nJ25Q7oxiPcMyKxu8-FNLLf1ILyHTRcHbXaeVNEw	s1_KmF8KhDbubz6lwdS8R_n_yTGdSONmH9B1wUABbyCj94	1DIbi	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	D	P	196
g1_f-7nJ25Q7oxiPcMyKxu8-FNLLf1ILyHTRcHbXaeVNEw	s1_g5pGkHBMEhzAYvwFY0b24sSc7wC9JfnWApMHHZ_aMPI	1DIbi	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	D	P	196
g1_f-7nJ25Q7oxiPcMyKxu8-FNLLf1ILyHTRcHbXaeVNEw	s1_tol_POp6BcgBLMWq8iDfRBQSAXpESHxFwmcCQYXv0yQ	1DIbi	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	python-gnn-puct-v0.1.0	sha256:6f9ad6e4a0993da3cf34a8549e86f9b5d512c51e11bfa76dfe051e7a8801bdac	D	P	196
g1_f-92Pt4Bk-VO71wmC8LSZbzB03RxP-UPGJOl810Hph4	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unPAa	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_f-92Pt4Bk-VO71wmC8LSZbzB03RxP-UPGJOl810Hph4	s1_U7ziWNUvlD2-NwAudTRCCOdGsKhzkA7yuPkZvVrW68o	1unPAa	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_f-92Pt4Bk-VO71wmC8LSZbzB03RxP-UPGJOl810Hph4	s1_V1wBRE4T9WeSkROgG7aC9zrUAL893NxFWWPcRWqOJoA	1unPAa	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_f-92Pt4Bk-VO71wmC8LSZbzB03RxP-UPGJOl810Hph4	s1_mMB0osSsogpO5lQ9CZVo8ZYMzXeSCUK-cjkmn-JPeig	1unPAa	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_f-YpGHV1Crc-KBomK3ZFsZPdgTuipUMZUdCGYyisMUk	s1_SFDOQgKXyHrnD7TB1NQC_pPjy11Wj9vagGqz_1GvUdk	1umvwg	rust-pathfinder-v0.1.0	-	rust-pathfinder-v0.3.0	-	L	P	120
