# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_u-07KLSY3uB9TJaO1Ze_8qV3tI6H3yMdHCMF3iqIqro	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1umvF0	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	-	M	196
g1_u-07KLSY3uB9TJaO1Ze_8qV3tI6H3yMdHCMF3iqIqro	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1umvF0	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	-	M	196
g1_u-07KLSY3uB9TJaO1Ze_8qV3tI6H3yMdHCMF3iqIqro	s1_D_X-fTFZy6xuyGSC5jFyKBW6IP_59Jbomefazf4xu44	1umvF0	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	-	M	196
g1_u-2HC-K0jxsd_DdOyEsc2mFt0WIMtyIdBTJ5zVGleP4	s1_O8DdJpu3iUFqsIuAXgdZWuiCeHmW5iqQhGl1Wc1s0fw	1unPhs	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_u-2HC-K0jxsd_DdOyEsc2mFt0WIMtyIdBTJ5zVGleP4	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unPhs	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_u-2HC-K0jxsd_DdOyEsc2mFt0WIMtyIdBTJ5zVGleP4	s1_tEC7-6uP7HvDcb47IB8XvK5FpChf1O0c1N8Hmi2LTls	1unPhs	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_u-2HC-K0jxsd_DdOyEsc2mFt0WIMtyIdBTJ5zVGleP4	s1_v79368tslgOYJ48tWkmtFrO17zt4DSlvgiM-sJMYzyw	1unPhs	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_u-51sknjOVzacT9RKRn8z7nOG0yi2eXVhup8vZYv0BA	s1_o7RP2IY9s3mqKvqYIj2ZNZAFKv94sqfY-4BrL3_gKy0	1DLTq	python-gnn-puct-v0.1.0	-	python-gnn-puct-v0.1.0	-	L	P	-
g1_u-5uJKmDdQ64FmB1Y93wNCKbPGIAk658hUSq-XO2dGI	s1_WVg7aYYLIrw6_-2mI3jQ-DPcLO4gX2sPEEqWQb0DGQA	1umxPS	python-cnn-puct-reval30k-v0.1.0	sha256:eb2600a53e225a835455efdb2759c40e27c5cb3c16ab0688bc21b99290ed10ee	python-cnn-puct-reval30k-v0.1.0	sha256:eb2600a53e225a835455efdb2759c40e27c5cb3c16ab0688bc21b99290ed10ee	D	P	196
g1_u-8wYjELXGpQf0coLLygWEEcL7VaF90dRT8Kmt9uBx0	s1_CXU7owFNsl3wQ0piOS-Xkp1a9tZMK2YEphBULG23X30	1unMN6	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
