# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_z-4gonVcNkWIJI-Da2TytfHGuiRUfSv6PNrtXPjxjgA	s1_Qmoz3nLvbLcY_1rcqMtpMJDvTQydhL5cxUNWV6EhpMY	1umwtz	qadv-arbiter-7x7-v0.1.0	sha256:8c548d06307572603b839755cc1e50393285365e10f82bcd90290ca65cd86266	qadv-arbiter-7x7-v0.1.0	sha256:8c548d06307572603b839755cc1e50393285365e10f82bcd90290ca65cd86266	D	P	196
g1_z-4vfo6r83fenlvtj5f-HrdZ80SyFpb-EamjsVzA3QU	s1_NsPyf6hhwu3vwogY2kKk3gQymKjUnrpQ9RTg8YVKmLs	1unOa9	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_z-4vfo6r83fenlvtj5f-HrdZ80SyFpb-EamjsVzA3QU	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unOa9	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_z-4vfo6r83fenlvtj5f-HrdZ80SyFpb-EamjsVzA3QU	s1_bl8AAg_yDQuoBuPrk2bDG0YtC36omIsDoV_SdRI9MKA	1unOa9	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_z-4vfo6r83fenlvtj5f-HrdZ80SyFpb-EamjsVzA3QU	s1_xTkl9nhTFfvrFqPGoOXhQ6ujUAqtqbIABAyb88G8M9A	1unOa9	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_z-5uFui6Ve_PcARleYJ8y6bXstJ5y8Duc9Ry7BEBxiE	s1_BM7jB3gsEjU2Cx47JIGrIEjOg3exA2TlnPIeOQX5vCM	1DNgv	python-gnn-puct-v0.1.0	-	python-gnn-puct-v0.1.0	-	D	P	-
g1_z-HOA4YovHahw3rUbpaWbZFgd973kO-qIbfkQAyrqkw	s1_2FtaP75xgRVTNrUvmC0NIesJCNy8IDFJ05WNM4nUnpg	1unQhF	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_z-HOA4YovHahw3rUbpaWbZFgd973kO-qIbfkQAyrqkw	s1_EMAArXmeNonF7axkhylrSEpN9T2VnrF-A_EAhty0My4	1unQhF	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_z-HOA4YovHahw3rUbpaWbZFgd973kO-qIbfkQAyrqkw	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unQhF	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	-
g1_z-HOA4YovHahw3rUbpaWbZFgd973kO-qIbfkQAyrqkw	s1_WhHZgTo5VteWH2mgpeUpUbhsjdyEIJ7ustWulaiHRc8	1unQhF	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
