# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_O116eyYobYyBtoLFTAqaXPqHCIHFpnKuCYeOlCnrV0Y	pathagon-rules-v1	7	14	3	20	000O050Q0P0R0I0X040S0B0N0c0M0V0W0d0J0K0W
g1_O17jv-ZUMxl_ccWyG8l_2DWjb5RmeJPNMdTJx2sOJVI	pathagon-rules-v1	7	14	3	20	0Q080J000C0K050I0P0J0W090d0406010k0B0A0V
g1_O1etb_uRwCtItlJHA8h3ECBcX9jAgafA0R0wDCMNFjo	pathagon-rules-v1	7	14	3	20	020f0A0c0U0Z0g0b0N0a0i0V0T0M0S0b0Z000G0O
g1_O1oMNikSsEZ1MILXG8lGNKJOc5lKFSqnPMKaUS6U9N8	pathagon-rules-v1	7	14	3	20	0a010g0004030208030H0A090G0I0O090B0H0P0N
g1_O2XEgeNGw6EK-ae5bzt_fKjdUAnmMXlu8RvKcJsAXYE	pathagon-rules-v1	7	14	3	20	0i01080V000U0b0N0S0E0L070T020O0H0M0O0J0K
g1_O2fwfHgbCx4B7Ky96I7kuTnTLGyN9G4ls-MK4gQdDCM	pathagon-rules-v1	7	14	3	20	040h0b0j0i0c0d05030c0A0k090g0a0T0S0a0Z0N
g1_O30ER-PjT7ft5z2OmwA7t_CMRzHujmr6Tn-r-AIOylM	pathagon-rules-v1	7	14	3	20	0I0l0Y0U0m0f0k0V0P0e0l0X0B0W0d0O0W0c0N0X
g1_O3BQuNI13lKFfOxNoYwcW-i3uRMuiEw9Ror23c9JLKI	pathagon-rules-v1	7	14	3	20	0J0V0A0a0O0b0U0N0h0c0S0g0i0M0F080T0F0U0E
g1_O3HN0TdgwWqG8qIcwH_N3Axzz9npr6t7lLW-J8Ml6eA	pathagon-rules-v1	7	14	3	20	0e0B030I090f0A0201000m020G0F0H04010C0d03
g1_O4RZeLeDBTGYJldZi_jdiKlOwRh37K85AOoULlNkULs	pathagon-rules-v1	7	14	3	20	0I070X0V0e0Y0W0P000d0f0W0m0R0X0C0Q0J0K05
g1_O4jhJ3hUIMe46v2zWswqPkTIMNL4zQ6wCuMm7TKEXtc	pathagon-rules-v1	7	14	3	20	0D030P0g0k060I05040B0C0A0J020K0100090W0O
g1_O4rfQORMtzOjeyHErz9AleJi9MVHHoYgJpu1N09ovBw	pathagon-rules-v1	7	14	3	20	020E0X0B090A080H0F010G0W030Q0V0O0I0J0c0K
g1_O4xR9WKCdLSqo1lZ5trQcNHQNJ3E5pw7FIlHeS4JaRs	pathagon-rules-v1	7	14	3	20	040D0i0O0B0P0H0A060Q0I0W0H0L0V0C0X0B0c0O
g1_O5TGFM2fbWN4qQw4I_QLMINY7lV-xU_AHByfDO-tsWc	pathagon-rules-v1	7	14	3	20	070K0L0Z0D0E0R060g05000F0M0T080Y0S0M0N0G
g1_O6FYTIRITayvS7Dv2OCUvrYeUo00o9Y8mAovfMyWgCs	pathagon-rules-v1	7	14	3	20	0R0N0g0306000m0C0J0Q0K0D0J0405080B0I0F01
g1_O6LLMx5ccy58ZMD-hqCRrVClDhwqX41ove9iX7noV9Q	pathagon-rules-v1	7	14	3	20	0j0N080g0F0E0G0907000G070V0c020109080M0A
g1_O6TL5hQGazQR4B-B17DEUKttBnvdquiEXbXWnFoONtE	pathagon-rules-v1	7	14	3	20	0Q0i0T0401000l05020b080S0Z0g0h0a0Z0m060k
g1_O6Xfwiottlm9AIj0afXgvSV_gOBIdYlrxUoZLL5pa7k	pathagon-rules-v1	7	14	3	20	0N0l0i0P0m0O0F0E0M0G0U0R0Q080F01000h070V
g1_O6wyQcApV6MmwGVIHUkeVWcyXSh83TAJpb_SrehRcVQ	pathagon-rules-v1	7	14	3	20	0d0a050M0T0S0U0j0b0k0g020F060M01000E0L07
