# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_b-qLgvihhBSCOY_73xaO9UZWh4XVxodhkyIdCfldXP4	pathagon-rules-v1	7	14	3	20	0i0l060m0b090D0j0h0k0V0c0d0U0W0c0O0N0M0L
g1_b0B1Rbz1wuNK1kwvMEedgHP66RZ1-Shpz5yhvbUryd0	pathagon-rules-v1	7	14	3	20	0f050D0c060m0j0l0k0W0V0U0d0V0c0O0K0P0N0M
g1_b0IFVQ-kntH0RDLam224igaiG9QshityaP7FsngkbVk	pathagon-rules-v1	7	14	3	20	0Q0h0a0W0g0R0T0S0Z0U0L0005010V0S0C0T0P0I
g1_b0R5Swfw9O3LFJLBIZeY-AOk0ru9u1Ve6JHtXlaOu4Y	pathagon-rules-v1	7	14	3	20	0P0Y0L04000a0g0V0M0U0Z0S0T0E0N0G0F0N0O07
g1_b0pQgHnYdTxIjlLom5rohkF0YKxWNkmtuuNcSm25Lz0	pathagon-rules-v1	7	14	3	20	0f060J0X0304050K0Y04020B050C0D0H040W0R0I
g1_b0sTFqrUEasJmJeesYn8j0yo--eUZz_XTyfWUlgAfBg	pathagon-rules-v1	7	14	3	20	06070S0k0R080m0J0C05000E0C090B040X0I0Y0f
g1_b1ULQvkIDTU2trIV0P_eUbQortDX7Al3Sz03He-C0zE	pathagon-rules-v1	7	14	3	20	0f0C0m05060R0D0K040B0H0I0J0L0I050B0V0P0C
g1_b24NwHLmgZtIcHU-151Vl2PICFLD1vOztsvs2Alar4Q	pathagon-rules-v1	7	14	3	20	0k0j060V0Y0l0f0m0k0S0e0K0R0D0B0J0C050Q04
g1_b2jQ0g1sntrFn-vQQ3dWSfPXblI6aK-NpPJ3wlTw9O8	pathagon-rules-v1	7	14	3	20	0G0C0f0N0506040J0K0D0I0A0B0J0U070N080O0H
g1_b2uyWZglID7B92pg7Pp15YJUuCzYvVEos4uQR0KuEZE	pathagon-rules-v1	7	14	3	20	0j0W0D0P0K0X0Q0O0m0e0f0L060N0M0G0J0d0508
g1_b3KHNPTj3OIPFZ0vHralY11tKWHBo-EjEg0y-wCGDxw	pathagon-rules-v1	7	14	3	20	0c0G0l0Y0e0d0k0W0X0Q0J0f0Q0e0V0P0W0E0d0R
