# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_d0-ZzvhGBjdU95uvbzapLVzqQ_5yiZTavEX8AB-9GDE	pathagon-rules-v1	7	14	3	20	010m070L0800020E0G0A090F0M0g0j0F0H0O0U0H
g1_d0nn8ui3dfJMl9yyvVynG7Mc1wjr5V5IhS6L9Tg_xYg	pathagon-rules-v1	7	14	3	20	0O050G0Y0j0b0U0N0T0V0U0i0h0N0c0a0i090203
g1_d1Sb7zxeBVq0GlVO4ThQuxZGBiquuUxeSqMJbgg0CsM	pathagon-rules-v1	7	14	3	20	090b0f0i0m020506040H0C0D0Q0J0I0B0X0C0K0R
g1_d3EDPrDpIbFJqBk-bZXDKdHOJamQbXu7KOfP2um_rFg	pathagon-rules-v1	7	14	3	20	0G0S0j0W0N0T0U0V0c0d0U0b0a020c0O0P0k0l0O
g1_d3HpJnRN18QavQOuuIseLLoKr_G608Rn5WfjXxoUbOI	pathagon-rules-v1	7	14	3	20	0S0N0J0b0U0O0L0T000g0Z0K0E070F0I0G0J090V
g1_d3p3S75btQaUyxvc2ljEB2hz1Jr9De5ua7Lgm2wk4hs	pathagon-rules-v1	7	14	3	20	0P080h0V0W0Q010X0O0R0H0W0d0G0W0I0k0H0K0O
g1_d44UNEy2Qhlctvd7PPS53oqSaFVWiVxuoqtqdaZz7Ug	pathagon-rules-v1	7	14	3	20	0U0S080N0b0O0H0A0F0T0G070M0N0H0a090c010d
g1_d489Rar_lgMmB0EpOqZH0M2bjTjDjFRtKivQqvSdqI4	pathagon-rules-v1	7	14	3	20	0P080L020009010F0E070G030F0Q080R0S0g0T0h
g1_d4wjwgO2ubMFwO_0vJ_lmepoww386WEz57NebR2RbM4	pathagon-rules-v1	7	14	3	20	0O0K0U0F0H0G0B0I0J0E0405030N0M080N0C0D0V
g1_d5I8bJTYUsVzeyRRmpl_apzWq-0PAnko64jUM4nsxDQ	pathagon-rules-v1	7	14	3	20	0T0R0W0C0801000S0M0E0h070D020K060403050L
g1_d6VVo4aveCo2DhB3OiCMjOX_FEd1dNTbL8O18GIIjA4	pathagon-rules-v1	7	14	3	20	0M0J0W0f0F0e0X0E0Q0k0m0l0Y0D0f0L0K0R0B0P
g1_d7E7hWf-c7X4UzLuwx5eHASrFyVA2pCQvtqNBgVfpGI	pathagon-rules-v1	7	14	3	20	0F0k0Z0H0g0009080M010G020B04030A0I090H0L
g1_d81zb9z5dpmhhnTY5Nk4j56zB72tiYD64hLCyXIy23Y	pathagon-rules-v1	7	14	3	20	0b0I0W0g0U0V0N0T0c0U0O0j0V0k0G0l0m0H0A0i
g1_d8IBitBqGbje7gDw-uJfnDLs4xcwrV_5zUcjszJGWNg	pathagon-rules-v1	7	14	3	20	00020b0m0L0h0g0i0T0a0c0j0U0M0V0E070k0E0l
g1_d8N23ZWDnriZ0oD-3UdqKCAj1kB9OKpHPzoBlkAn1Ps	pathagon-rules-v1	7	14	3	20	0R0U0h07010T0a0Z0b0i0g0b060S0Y0m0k0l0a0M
g1_d8U1pcrRDxm1iEP-OYz8ckxurL7Pmby2-Jg7EdsiUj0	pathagon-rules-v1	7	14	3	20	0P0L00060I05070E0A0408030901020H010O0G0F
g1_d8Wm4H3D35kYNaaJgSB4qEFPaUMy2DnUN074E9ffl7o	pathagon-rules-v1	7	14	3	20	0c03020X010U0W0V0P0W0d0O0N0Y0W0O0Q0J0M0G
g1_d8d4vWNsPJ86W5ITxNJbPwfwaecMvQcf1njGU-tRB54	pathagon-rules-v1	7	14	3	20	0k0Y0d0c0e0Q0X0W0R0K0X0J0D0R0N0P020V0i0S
g1_d8glY7L6vgepW7KBqUUdISiLrK3RxeGd8fShKQ8nemM	pathagon-rules-v1	7	14	3	20	0L080I0Z070E0g0A090H0G0F00080M0D090T0801
g1_d9LM6bDmppZ6eF1B9mWhaJ4XXAFrrIQ6PPI156I7X3g	pathagon-rules-v1	7	14	3	20	0F03050U0X0R040O0e0N0C0P0Q0J0K0D0H0Y0B0I
g1_d9NFU-VyCSCRJaIFFXIYTztxNdL8eq7Fun5ywdQ3hgY	pathagon-rules-v1	7	14	3	20	0g0E060d0V0I0k0O0P0W070L0X0J0Q0R0C0H0D0J
g1_d9QPtaHQmAAc8Z2SW2kMbUXz73We8YIXR0oDTkMX09E	pathagon-rules-v1	7	14	3	20	0T0X0Z0Y0a0g0M0h0b0i0k0j0l0e0U0W0V0L0S0d
g1_d9U_2q4KwO5oLc1aBNI4bPsgEYYoHbELVZh_B7h3Ylo	pathagon-rules-v1	7	14	3	20	06050m0Y0f0R0J0C0B0A0I040B0Q0O0K0203010H
g1_d9XfLNFyJP5SCe08pE8LvlROyPx0CKA3bRbxNwByIVk	pathagon-rules-v1	7	14	3	20	01070M0g0j0F0G000H0802090E0i0F0h080k0e0j
