# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_s-7YmMjzLN7vXy1X0d1mGHWhKg5nAvtTd4SSdfASPcw	pathagon-rules-v1	7	14	3	20	0Y0b0P09040C0D06050K0k0J0D0R0H0Q0O0W0d0c
g1_s07Wv-hrrlQXUqb4UKdJS1nlVV9mxHnWoEuPEzb8MpE	pathagon-rules-v1	7	14	3	20	0W0l0M060h0d0T0a0Z0g0S0L0N0b0i01000U0F0G
g1_s0mVYqGpiZ50_pNiQXCPtlpAwzG56gNOmdWOYfVHAc4	pathagon-rules-v1	7	14	3	20	0E0k0G030i02070900060L040S0h0g0Z0T0M0N0c
g1_s13W_hSm5CiMAhEcfYiTO-P7rvukoxt0eDoogbecX40	pathagon-rules-v1	7	14	3	20	0Z0P0h0i0g0M0S070L08010009020F01050E0H03
g1_s1FYm43B4KW8_zIgHWM4Xz8dhrje2Q7JCUyZgpsghpA	pathagon-rules-v1	7	14	3	20	0d0T0S070N0O0M0F0L0G09080I0G0k0H0J0D0B05
g1_s1WxGKzLYFWGEcW1ZExwPmIxh7hagQi_zr9GZ2WCQ2k	pathagon-rules-v1	7	14	3	19	0E0i0R09080g0h0K0701000j0L0b0S0a0T020a
g1_s2Sl3jJ6FHCKWSRBdliWc88NEyIDLVlO-vqnCyGau6E	pathagon-rules-v1	7	14	3	20	050H0b0A0C06040B0I0Z0B0V0O0J0g0a0c0N0I0G
g1_s2arSUCjz88dUNjtPe8e0a6OziiWshrfMhCcaZMokiI	pathagon-rules-v1	7	14	3	20	0R0c060d0X0m0k0Q0l0W0V0Z0W0O0J0d0Y0C0f0e
g1_s2cABq9x_bymxmyeS1ANAbEl03dz2LtCxO3398Am9BE	pathagon-rules-v1	7	14	3	20	05020R0P0X0K0Q0Y0W0R0d0Q0k0e0H0c0V0d0O0W
g1_s3fVTTx2TjETY6Ihtk7uH6r2mN7_ZsPZCb8kq-qQF2U	pathagon-rules-v1	7	14	3	20	0N0U0P0a0h0T0W0V0b0O0U0S0Z0g0V0c0a0V0I0U
g1_s3umbRlbtBS9QZogykSOGEitEt-zSQ35jHewakrYdjA	pathagon-rules-v1	7	14	3	20	070e0Z020g0M0E0N000O0T0a0G090T0Y0F010S03
g1_s3vOA74KZb9JghBew9wmgVxKbzrODaJbVpSWDbqKsOY	pathagon-rules-v1	7	14	3	20	0A0M090f0U020F01000T0L030S080G0N0F0g0T0b
g1_s3zWbS6Ed3nyca9Cghxz1yagHs2ferrSsFM2-z2jVsc	pathagon-rules-v1	7	14	3	20	0L0K0A0d0k0c0j0V0D0e0W0U0d0R030f0Y0b0B0g
g1_s4f0XT3Pjmq6obkQZcI1HVGykFaAw6RZmxaTg9NFYw4	pathagon-rules-v1	7	14	3	19	0Z0S0f05060L0Y0J0R0I0m0O0C0M0D0K0Q000J
g1_s5-QIx1FVnyL7bWBeXxc1GtfHhktr8CtUsh5HGASc1k	pathagon-rules-v1	7	14	3	20	0h0g0L0B000i040h0e0m0d0l0X0c0Q0V0b0k0j0c
g1_s5ANCg8tzXyLKEZF8wsA4Osmh9eevA8xyYvtCUhC3mQ	pathagon-rules-v1	7	14	3	20	0I050Y0Z060m0D0d0g0S0W0c0k0l0j0V0U0d0V0T
g1_s5UbCOEBJ6g0G2sEN4_ZiuSTHebQ9P6qJdNhpSJjO1s	pathagon-rules-v1	7	14	3	20	0C0T0a0Z0S0L0X05060R0P0B0I0H0J0Q0O0V0U0O
g1_s6aifnxRNRUVDubH-K6ZdbhuzI2NvqM79x2mONrOQsM	pathagon-rules-v1	7	14	3	20	0k0l0g0O0L0m000F08010G0H080G0T0I0E070M0J
g1_s6bJndMXSq_au9CZgJ7S4HcjEQSgj9PlMngHdzldAYc	pathagon-rules-v1	7	14	3	20	0O0B0E0k04000H0j0m0i0f070X0I0J03060I0R0Y
g1_s6fBkZntxkLs_6Xa-s-xEtsaLYiVEsZtpeY5s0iR4PI	pathagon-rules-v1	7	14	3	20	0Z0k0M0T0F0g0i0j0h0E0S0L0G060N010A09000b
g1_s7CTbxZGZROCv58ZJSYGilGGPSLR3FA8fTRMnDQ4VWo	pathagon-rules-v1	7	14	3	20	0R06030K0A090B040I0H0J02050D0Y0C0O030008
g1_s7HGvcYu9WK2HjxBy9BZoLHdSdLP37AjsDzWq_vv6nY	pathagon-rules-v1	7	14	3	20	0F07090g020b0U0h0c0i0d0j0V0k0m0W0a0X0d0N
g1_s7HHowYcd-U8qK_R6WxEbAZBtReMSKNLpUqJizkE1Ow	pathagon-rules-v1	7	14	3	20	0k0H0b0f0P0K040B0C0I0A05030B0J090D0X0Q0R
g1_s7gvrT2MaVc5nE-eIgKkVinIBllsXEhMu64rN2MyIO0	pathagon-rules-v1	7	14	3	20	0d010F0K000E070L0R0e0Y0D0X090m0C050J0W0I
g1_s8Q-HmV64yiwJ0kKel8P5wXpESwVaobpmm451UEqjSY	pathagon-rules-v1	7	14	3	20	0U0K0B0I040J0P050C0I03060Q0R0J0W0N0V0O0H
g1_s8mfoEwuyeZneM3q_2_7SxR-KhRVW6F1ZisG2q8xSLc	pathagon-rules-v1	7	14	3	20	050c010I080b0T000i0602070U0d0b0a0F0b0M0E
g1_s9-aPKuugSLMh2LTCbc3kBLG9FAyweIatIQiwujijvg	pathagon-rules-v1	7	14	3	20	0K080g0Z010S0G0002090N060U0A0F0T0O080H05
g1_s9IQDVeHJdfQyZajWg6rcc_WWgjAJ7W5uuS5EB3Gnsk	pathagon-rules-v1	7	14	3	20	0A00080G0I07030204010H0N0P0V0O0Y090L0c0b
g1_s9mRDGrjiDrf8s7991sw2PxEXm1b-r43rho7nZXLyIk	pathagon-rules-v1	7	14	3	20	0E0I0304070Z0g0S000T0M0a0F0U0N0b0B0V0O0c
g1_s9yvxMqOuSz9EwUCxwZ2LGz9xeSNl7VDA9A-pvTk-sc	pathagon-rules-v1	7	14	3	20	0H080h0V07000E01030A020m0O0G090B0F080M0g
g1_sAm6ZdzVYZoa8_iDxzHHUbGFkNn5MA43BDDLAWhMF-o	pathagon-rules-v1	7	14	3	20	040h0I060B0k0P05030H0G0g0m0H0e0J0A0I0O09
