# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_v-1t8aUHMDWKv4B1fiPgB2A07hmyDv73VfxNC7FHfEY	pathagon-rules-v1	7	14	3	20	0b050B0m0i040G03090006080I070H02010F0A0h
g1_v-CwUpUF9HVwQRN--6WX_5CiCws2_aq6KHQaG6KBd8o	pathagon-rules-v1	7	14	3	20	050h0P0I0Q0B0g0E0W0H0K06040D0C0J0A0R0B0X
g1_v-WMKhJnm-Qgq57-MOM70e1VAuotrIrPbv9pBl5cxZI	pathagon-rules-v1	7	14	3	20	0l0c0i0d0N0U0V0O0P0V0X0e0W0f0k0Q0d0X0G0W
g1_v05YKJgYrvEIa8P24NYm_NYMxTJmh1aFHy8D1pjVSe0	pathagon-rules-v1	7	14	3	20	0b0W0T01000i070c0g0S0U0a0M0L0N0h0Z0E0G0K
g1_v0VOluCa18R9V_ouf7P4034PBllkmmjjGW9E26SvJu8	pathagon-rules-v1	7	14	3	20	0A0K0E0W0H0B040U0O0J0V0I090G0C0H0B0N0P03
g1_v0_3RUIgDHE64xYKtSki6iFzpm_PDlB50yJtPMDiU-A	pathagon-rules-v1	7	14	3	20	0g0Q0X0l0R0Y0W0f0Z000K0e040P0L0S0I030B0P
g1_v0pB_jKO33OIcqwH3baTvVAff_p2tyCdn4KNYyZ6EcM	pathagon-rules-v1	7	14	3	20	0m0Y0Q0k0506040X0J0C0f0H0P0G0R0F0Y0E0K0D
g1_v0q1k7RN-hQRjSPm7JgoGk49MzM8qoqqxdsNpJL57RI	pathagon-rules-v1	7	14	3	20	0E040M0L01070N030G02000A09080E0F070S090T
g1_v14Wyyrj0EB8OiGy07e63Tl7U8bIIwpqc8KKaolXshA	pathagon-rules-v1	7	14	3	20	040H0R090A0C050I0B0P0O0Q0K0H0Y0J0D0l0d0m
g1_v1LddbQduv9S7sH2ByiWVHozcV19n0yojez1K7mARNk	pathagon-rules-v1	7	14	3	20	0i0I0L0100020S060F080a030G0h0g0Z0b0h070T
g1_v1MxFXBLa9CP_dqUcsixWTDSDS1BN2Nj4foXNY6K3g4	pathagon-rules-v1	7	14	3	20	000g0Y0e0l0m0f0k0b0i0l0j0h09070F0E0a0Z0M
g1_v3DDWR5Jm8OMgh8jFZe6tSfIUisKXxBwQKrXZiG1YvI	pathagon-rules-v1	7	14	3	20	0Y0Z0f0Q0R0m0K0l0c0k0V0a0i0b0U0j0h0b0T0N
g1_v3Q-LlcsAliDa6IoLp8g83maeDvZp_o5LJgy_kGsnyo	pathagon-rules-v1	7	14	3	20	050U0Q0m0W0l0V0c0d0j0k0e0i0d0j0T0b0c0N0a
g1_v3c_EyLKLLnOIw13KhhhCQP_T0S22k5mvrtvwVAMmKk	pathagon-rules-v1	7	14	3	20	0l0a0e0R0J0X0W0Q0Y0k0m0X0K0d0c0R0d0V0j0W
g1_v3iZvmPFJank8wHdGFqKoCWCOv23xiXDXf769w-u8TQ	pathagon-rules-v1	7	14	3	20	0N0C0X0H050E0K0I0D06040Y0R090f0e0l0Y0W0m
g1_v3jeFnkTATCXfAbqywbipYmrF1OLum7RwNTCL_VPcW0	pathagon-rules-v1	7	14	3	20	03070K0T0O0W0S0V0c0j0m060k0X0A0H090l0G0F
g1_v46axsjCfHNn4GPMnFw5Z8ax5hlOVqLXtNn8OccLlHc	pathagon-rules-v1	7	14	3	20	0F010R0f000E070a0Y0m0h0g0i0e0T0M0L0S0b0c
g1_v4LRo5NOD3bAxsBP_EYs1Rik_IYwBDTbiHQj2igJr9k	pathagon-rules-v1	7	14	3	20	0Y0B030f0I0J0O04050K0R04060D0C0m0j0k0V0c
g1_v4lctQIC_ap86mubW3vxXTrbBF_EB4mNnE3rWNT-NcY	pathagon-rules-v1	7	14	3	20	080U0k0O0F0E0M0N0L0S0H0G0L0F070Z0T0E0100
g1_v4oNAkFmuBYF09iV8Wm8co2QDkw31K4DXV1zte2P4CE	pathagon-rules-v1	7	14	3	20	0C0c0D0h050d0V0i0k0j0l06040g0J0X0W0Y0f0d
g1_v5EisjvnDvelxHMkuhpApWhA7vlnuWKIC8tkW6pjwDw	pathagon-rules-v1	7	14	3	20	0T000I0O0N0S0M0P0G0H0U0A0F030809070W0a0E
g1_v5K8Xg4asd-3BwpTZ0PppDtejqkFN7DPq6f-0vItWMI	pathagon-rules-v1	7	14	3	20	0B0D0g0N0I0C050J0K060J00040C0A0Q0M0J0R0O
g1_v6KYkl82tB5y_0ItcJ92kjuFRQ7pT_kjxSx6R0jrSLg	pathagon-rules-v1	7	14	3	20	0W0V030b0U04020T0i0h0j0V0b0a0c0X0U0O090W
g1_v6mnCKUdHCKeFs_e4_CKe03Nh0Q9r7O21kGOGZ8uJOc	pathagon-rules-v1	7	14	3	20	0R0S0I0U0M0L0O0T0a0h0T0Z030c0V0W0U0P0N0i
g1_v6tAfVWCGGQ6XJlrrB9qudxejH9VM2takzUvWpBBd6w	pathagon-rules-v1	7	14	3	20	0U020D01060Q0R0K0X0J0W000Y0B040I0A09030A
g1_v79KoSF4h_QD-oZVzc3aS2EqTnQ-SSxeDnAhcLI35q4	pathagon-rules-v1	7	14	3	20	0G0B040c0H0b0i0U0P0d0W0V0k0O0Q0d0X0j0f0m
g1_v7F2NlK8CqsRfR3BYWUWCK3NiPTjS5jd2AYj9GgBGZQ	pathagon-rules-v1	7	14	3	20	0T050X0a060U0R0m0Q0l0W0k0V0g0b0j0c0M0L0T
g1_v8UXvr9uEBJFnxijJVl1SgSHS04eFpjlbgM1MB-Pqjc	pathagon-rules-v1	7	14	3	20	0Q0F0G0c0j0H090B0G0A0N0E040I0L070108000M
