# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_z-YscNjwQWL01KgHM1DeCadFeUgW6qt-NJYSGGT3yZ4	pathagon-rules-v1	7	14	3	20	0G0P0e030X0Y0O0N0W0d0f0m0W0f05040i0g060h
g1_z-issDan_fs7_u5j1oLP7oUS38re3j4HlxgSh9o8cEE	pathagon-rules-v1	7	14	3	20	0d0K0l0A0C0B040I0J0H0X0Q0R0Y000L0E070R0D
g1_z01fk1g4G7CgvBoslqgEqorYhGQOocK22wRMfuZGl2A	pathagon-rules-v1	7	14	3	20	0I0C0B0M050J0K06040A030B0J070D0C0Q0W0m0N
g1_z0k4owmr2SMWcmW69AAMkqWOwZ4r2I-yZYBZcc5vCOI	pathagon-rules-v1	7	14	3	20	0D0X0U010006070V0W0Y0E0c0M0Z0i0N0G0j0h0N
g1_z1GFf6pwGcg-NvnfU2I7EtrK3UFR0sGsoybfQUsfFeI	pathagon-rules-v1	7	14	3	20	0j0C0d0M0c0B0L0A030H040I0U0N0G0D0N070F0M
g1_z1rTP26m7SDyF9o6FC2pqLQIbt4JFj0UyrFSTNjKgh0	pathagon-rules-v1	7	14	3	20	0Q090A0b0B030H020C0406050i0K0I0D0J080X07
g1_z2KDyRbKsiLlLJAmYZKd6bUDJMGD2RXbRF0wmJglHic	pathagon-rules-v1	7	14	3	20	080N0K0b0U07000E090G0F020A090B030H040G01
g1_z2hN-i1mgiAlc9VKYaesUGMvR9U9mljaipQuMvQ1Xa8	pathagon-rules-v1	7	14	3	20	0A0N060c0j030U0G0T0F0E0M0L000S0807090102
g1_z2o_gOOg3sLOt1ylHptzbyHbyp4Ge-Pu0ugBLmymBWU	pathagon-rules-v1	7	14	3	20	0l0D000L0J0P0e0K0I0B0C0I0E050J04060R0Q0k
g1_z3mXUTCNDPGKesyYfDY0_kRK6oiov38NzHtINcghXgs	pathagon-rules-v1	7	14	3	20	0Q000c0h040k0B0b0d0l0W0m0I0a0V0P0O03050A
