# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_6-l0A-dJWbs8caDZ3SRuocd_x4c0qxAZoR9vHcQG6cQ	pathagon-rules-v1	7	14	3	20	090U0E0S0L0Z0M0T0a0h0T0g0c0j0i0b07000a01
g1_62oco4f1rwO9JsJy2MWISfpenLNkWL8FQvZEP6dK_WY	pathagon-rules-v1	7	14	3	20	010g0f060m090E0002050F08070G0H0A0G0P0O09
g1_62pFARYGdViA-xJGHnuPWbaadC1pF_JiHrH_sfOwRsw	pathagon-rules-v1	7	14	3	20	0X0f0g0j0Q0W0V0O0i0W0P0I0Y0R0P0Y0N0c0a0X
g1_62uHYnMQScQB4evYe_5GxYR7SADdFkLxPsdNiBzj8Ag	pathagon-rules-v1	7	14	3	20	0X050R0e060f0Y0m0d0l0c0k0W0j0a0b0V0g0D0Z
g1_64SA_L9G5ioWwlIrxbwe2-zLIf60JYJ5IOCqBFzFFUs	pathagon-rules-v1	7	14	3	20	0l0d0T0D0a0b0c0S0U0j0100020b0N0k0c0g080b
g1_65oRU93jP4huBKk-rxcjtSetymuRgJkkXD1IVW3iJHI	pathagon-rules-v1	7	14	3	20	050D0k0N0P0O0Q0B060K0I0j0l040W0G0C0J0d0H
g1_65y_V1xa6gIyhUrsJ4-nVQsFKMgK-ctzkmcSqiI1BIQ	pathagon-rules-v1	7	14	3	20	0A0D0h040302000B030C08050F0T0M0E0G0N0U0g
g1_66K0U5SUc6PXYG7zPUmDtX35CS3veTvdms32tB9Uyrk	pathagon-rules-v1	7	14	3	20	0R0V0U0i0m0b0K0e0Y0f0X0W0l0a0P0e0d0c0W0j
g1_66dkggZ8n0PF1VRYCqFRXp2cfOEFmEWhxfloqb7mhpE	pathagon-rules-v1	7	14	3	20	0g060E0Z0S0L0Z0M0T0a0N0U0T0F0G0O000F0N0P
g1_67BeTSzaULh-_KL0HJV8YMm38AbeYduFEjyLs2sccZ8	pathagon-rules-v1	7	14	3	20	0k0K0O0j0l0J0P0B030I0W0d0G02010V0c020e00
g1_67hztmSsidzst4BEL_CxVbpD2bodtlgtFDnkVDtXtlk	pathagon-rules-v1	7	14	3	20	0V0I0E0Q0P0O0N0P0H0R0O0U0J0G0X0K0I0B0N0Q
g1_680tLbtcJ_7jQqs0SKp4ABDbJmW2LtJbApWA4xAwWPg	pathagon-rules-v1	7	14	3	20	050K0D0j060R0h0E0i0F0N0I0J0G090204080B0C
g1_68A1aWYQRaBu0fGTuI__Sj35IzVSR9JCMkeHTwpjvyw	pathagon-rules-v1	7	14	3	20	0A0O0V060H0N0O0P0G0O090U0T0Q0I0U0W0b0P0L
g1_68sFdi0kLVHjAKE2gDuvSYaj0Fi20P-G0SzUYsW3bTA	pathagon-rules-v1	7	14	3	20	080m0g0Q0L0a0T070201000E090N0G0M0F0S0Z0L
g1_69YQeXhllQ8HV3yFSuurl0EutnP8JuEhiGl0h_HoiIo	pathagon-rules-v1	7	14	3	20	0D0c020G090Z0g0f0j0V0U0N0W060V03040c0P0O
g1_69pk4jmRAdMk4uK_twNSjRyRaOh3ynevx8q5mCFkGis	pathagon-rules-v1	7	14	3	20	010S04060B0V0I0Y0P0Q0O0H0J0O0L0C0G050A0H
g1_69vTGJzcttia5RmcvvS2LohVd2v0evkUdCzmktlgbLU	pathagon-rules-v1	7	14	3	20	09080H0Z0G02000A0O090103070N0E0F0G0S0F0M
g1_6ARjFY1_uVJLi05sRnC36KLjrKwK_sZOU2C_tk6T_b0	pathagon-rules-v1	7	14	3	20	070Z0U0m0b0i0g0h0k0j020S0l0W0V0100030c0G
g1_6AoHGMzolci1mz1wX_T77nXABjVxWx5iENy3YCSKc5U	pathagon-rules-v1	7	14	3	20	0c07020N0H0j000U0W0I0P0V0X0O0e0d0k0f0d0M
g1_6Ban5t5jGkF6KrtoBYRv9W-qCpoWiIUg4XT_8NwH1yk	pathagon-rules-v1	7	14	3	20	0S060O09030H0A04020B0F050A0H0G0I090U0L0C
g1_6Bf__s5hiH1N3KbRjAz2utKjbKLaQHRrZiLrRlg5mZI	pathagon-rules-v1	7	14	3	20	080O090P0U0G0N0E010G0F0M0b020007090L0i0T
g1_6DTuhyXt_xPWIgBZic4h4fvC8MVGO8y2griyKjNdML8	pathagon-rules-v1	7	14	3	20	0g0a0b0F0E0L0S0Z0h0T0V0U0N0c0L0U0b0O0U0P
