# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_G-0lFuOgLkaGYNDktkRywBc8-ZbYsuggO2Di7_X7BFU	pathagon-rules-v1	7	14	3	58	0a0M0l0k0G0j0V0K00020T0Y080W070R0O0f0H050J040U0L0i0m010Q0CKnSnGiNo0gAe5ZMpZi0N4YFTOI7UV2JKa3NCHFYAZc0kHn0NR90jAK0D4A
g1_G-4k0CWiMovElt_F3dds_mmTRssPyljoSSB0CcXjFbQ	pathagon-rules-v1	7	14	3	66	020809070G0U0T040V0h0i0d0g0I0b0l0N0U0c0O0H0A030O0A0B0P090J0A050CD_06NF0O2m0A020I2a0WDY0OJ00Q0A0P0N090J0IFU0G0C0H920AB8040J05IZ0R004F
g1_G-Eko352XLxLqdhlaUR_BFEVtMoTGc9aiaSmtDB9Pns	pathagon-rules-v1	7	14	3	68	060m050F0f0W0S0c0I0k0Z0g010L0B0Q04090d0G0j03080H0i0a00029M0CF20OYp0EZd0TMQSdP2Jd63E_0FE4ArXeCR0O0KNL0aAJ9dJQ0bLQ4T2vV7Mj0d0B5CI605PtVJ3J
g1_G-tGFXfV7JDkeSIvtj1513QGUwEjd1TLEdnFXzx0IhU	pathagon-rules-v1	7	14	3	45	050l0K0f0A0X0J0j0c0U0Y0G08040h0b0k0g060B0C0N0R030a0Q070MLh01SL0bAMONCYJ85i4JUUKn6J3DGb030r
g1_G-u5bUbRcWkSsTik5_FGJ9hPVU3ZufO_0hhQJYjYJgU	pathagon-rules-v1	7	14	3	51	0l0H0F0f0m0e0G09080A0Y070f080Q0X0E0L0M0N0R0M0G0O0F030E020001070S0T0U0MMg0S0V0LVyMtNQHM0L0PH8ax0LXD0M04
g1_G009hUCszApYPFPp7rOyZhqvcDWtbrLhcmXPk07PYqc	pathagon-rules-v1	7	14	3	66	000i0D0E0f0406030k070a0X0J0T010N0F0Y0I0C0U0d0B0b0j0C0R0Z080S0V0HZeEBLoTF0UQI0LNk9MK50e3EWibyEx0jGx0NID0KRCYl0hMW5Z0mJSD70gEm0XRf0SAs
g1_G0BRHB1iHoRyeW4HbmPTYhm5c5dE2UyOomACMu-xR1k	pathagon-rules-v1	7	14	3	68	0f0B0F0W0e0K0P0O0Q0c0g060k0701000T0Z030m0V0U0h0S0b0R020D0jBD08Pa2Nc3To6L4bGgKBBF0l9YWH5YCUNxc59HEC0G23TV0FP00bUHZh0XVlRH0fDUY30Y7NLx091F
g1_G0SybYqM1jYt8BFnEGExoF0_XMAPNxlQX5TPrLThj_8	pathagon-rules-v1	7	14	3	25	050k0j0i0m0d0j0Z0f0W0Y0P0Q0R0X0Q0A0e0K0a0R0C0J0B0C
g1_G0nEeZ6KAXVD4fxfqNU7CgmFXv3LuEVYxSex6itwfmU	pathagon-rules-v1	7	14	3	66	010g0T030W0d0M0b060A090j0J0C020S0K0H070L080h0f0D0l0m040Q000U0PYIa-Xc8O0O0GKkGqB01v3O6NYG61GxDQ0L400JWHU70YFh0dZI6H0I074v6J0A07H1Qq4I
g1_G0oBkddOFNgGOQGiKAvKx0VenvWkWFS0C4WfN-4hom0	pathagon-rules-v1	7	14	3	18	0E0d0Z0S0L0g0h0i000h070j050m0l0k0C0l
