# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_a-2VWJ39tZlCg_Vjjw6b7RyM_KCi3d7x3Epc4A5rJaA	pathagon-rules-v1	7	14	3	32	0P0i080X0Q010d0k0B0M0F0N040U0G00070R0a0l0K0H0e0g0S0j0E0Y9X0mKs1S
g1_a-EGRZI8COP7Iy01JbUVf9AvMTeKC9kNCzAxRkDr3-E	pathagon-rules-v1	7	14	3	36	0O0k0B0L0m02010c000F0e0j0I0a0g0U0R0Q0T0N0l0d0W0C090S0D0H080ZLi0f0JHUAu2u
g1_a-IlgAREsQVMwT-fMlHBDr_MCf-wz8aYG9xXlkrqkq0	pathagon-rules-v1	7	14	3	31	0N0c0S0L030E070F0a0V0J0A0D0I0H0K080I0Z0M0G0j000W090T0U0A0T0BES
g1_a-X1xbaTaetBmY1ylbOwM3_gp4qjzPMi4tMiIMa4uyQ	pathagon-rules-v1	7	14	3	14	0k040F010M00030205060X050G03
g1_a-XTYw6pwP4bzD2kFYJeaOeqdqyL6RiGAdJueOqONCI	pathagon-rules-v1	7	14	3	55	0Z080F0X0O0A0Y0E0R0V090a000H030P0U0J0m0S040l0f0K0e0b0I0N0D0L0Cb4c7FV0iIrTzDvCm0G5nGl0U0FB10V0cNV0m6L0kJ_Yl0i0y
g1_a-ehxiGQw1zhklXmay8fkb2N5nGsR_8QBp8aI8RXFRY	pathagon-rules-v1	7	14	3	196	010800070F0E080G09020F090308020A0H040G0A090B0I050C0J060C0D0K0Q0P0O0I0P0N0M0L5o0N0K0M060FLuHP166oMK00H4080F09080G0LXNHWRvC2MR0H0F0A07S0HPXGC9MRS0HPXG09MRS0HP5iC9MRS0HPXG0RMRS0HPB3C9MRS0HPXG0TMRS0HPNe0LMm1DWx6o07Mm1DWx0DBcMR1D2CRaC26MX21R01Mm6aGs1tBcMR1DGs0LBcH416010E1Y694i2O02040o092JBX1fGt0_2J6T1fBW0_Gs6TMKBx0_Gs6T02070o682QBX0E0o002l0p1Y355Q2P0p1Y356B2Q08H416687008H4MY6a07BqRoMmXN09C902Mm
g1_a-id6sXCQCnow7Do6Qfj9b-RLd5G2R0BezXWIdyEOOM	pathagon-rules-v1	7	14	3	134	0i050P0F0O0M0A0L0V0B000C0f0T0Q060e020I0D0G0j0a0N0c040d0EL7ZV0hCOUh33Om0QYz5LJkBpPu4D05Gu8-J5Y39DV60W140E3T0AVn2109A_0iH_01bm0L620TOs0iZE0PIK0kE20d0iEg0WWX0YKR096KDJ0eCZVp0PTP7K0F84G401Ux0eOU0QNF0GQOZc0X0e4t04Q50cF-Yd093z0dU9Rr0G090A0JGMFr0QMW0ecA0QFTLi0ePQHw0BIo8x0U2q
g1_a-p8mGwhEDsvJauYJcLBQQNblis588mEyXIQMilpJck	pathagon-rules-v1	7	14	3	46	0J0Z0I0k0H0Y0a0C080A0l0d0B0f0O0S0j01090e02060k0A0Q0T0K070D0b0B0P7F0R0C0Q2nVm0i6d0c1wFu0UHe0T
g1_a-r6eKmpjS63_4ILwxMtY2XpYRHrx1xm5PDwwxW4iy4	pathagon-rules-v1	7	14	3	33	080C0g0R0F0j0B04050J070K000P0E0a0Y0I0D0B0S0A09030c060Q050O0h0Z5s0L
g1_a-rKz_6UUaDPqJMiW0yn28reyLleMxNRQQay-4IHFP8	pathagon-rules-v1	7	14	3	32	0D0H0G0O0N0F0M0G09020G0T0A0M080N0U0V0N0U010E030K020P0I0B0H0I040J
