# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_7-4allx9A_dm6RHdDRm0wpQDhLx_F1tHgt5NzRG2XY8	pathagon-rules-v1	7	14	3	42	0R0Y0I0Q0d050J0P0O0C0Z0B0U0V0H0N0G020m0b0L0c0W000g01040j09080a0J0lKP8BZH0A5K8q04OBaJ
g1_7-EHEyR6JCWKeUFZ8LBrLSKzmwpG49cVySxiWI8Relk	pathagon-rules-v1	7	14	3	41	0k0j0i0d0j0c0V0W0X0c0W0e0d0l0f0m0e0Y050f0b0U0H0c0T0O0P0V0Q0U0B0I4g0A0J0H3u0C050B3G
g1_7-ULnZCVxw02NESbuOlm3S1j3IJhSchh2CK1C06LREo	pathagon-rules-v1	7	14	3	116	0g0T0O0V040m0H0I0e0f0U0708010X0W0P0B0N0R0Z0c030A0Q0d0Y0e00LY0s9S0B0j9x0iKvYTRv6a3J1KWx1j485hR0WG0Mbk5F67bIB9WNGBR7L-0IcA1XREBG0H090ORS0Gc35oWwZt0QL-byWwGk0XL-byWU0eRES6Gk0CL-QTWU0XREQaGk03L-VqWU0XRE3cGk0iL-YuWU0bREQaGk0XL-QTWU0DREPr
g1_7-Xu2dlXcjmPXz7ldVlIZUOZPC4ZtS4eMHMk44cKwaE	pathagon-rules-v1	7	14	3	94	0B0A09080A060403050C0D020C010K0J0I0H0J0A0F090G0N0H0G0O0M0P0F0Q0R00070E0L0u00BxH40L0uGsBqMR0S0uGsBqMR0V0uGsBq4304075S0t3r6C07056M5U1D4cHP6TMK1DBVH46T071DBVH46T1d0704H4MY6a07Bq6MMK060_Ra692Q
g1_7-clRV9nMHiBRaJR4amEYS6w-jpvyBRobbeeYKvMiK0	pathagon-rules-v1	7	14	3	71	0W0Q0k0C03060h0S0H0d0N0j0D0J0L0V0a0B0P0A0T050l0E080M040m02beav5r0K6h4aZtSRSAEVMK380X0iONIq8_GgUeKX0H7y05MO0S7PMp0SFx0m6cbI08Pw0XYz0PZr0RY00i2k
g1_7-iZZvKIkF1prKQAJwPLcYW91ChIOY305agU68yNLo4	pathagon-rules-v1	7	14	3	45	0m030e0S0G020R0E0N0U0D0W0g0b0L0C0P070B0V0I040F0T0d060i0cDL0G0H0N0WNlAs2hPJ4MGV0a2r5a6zCEER
g1_7-l8JhUWt5gjumis9UGpXpKQNUcYnfRG6Vk3-M58n48	pathagon-rules-v1	7	14	3	93	000Y0S0k0g0W010h020E0b040j060N0G0M090i0T030h0U0L0T0F0B0I0H08MK0l1I5X1jCS0DEs3F0aHiBh0V0c00HE0P0b0B0I0C3xAv0Q2b5e0OR56d0W0cPd0P0d0IbMQM0WXM0J0Q0I0JI0107FZh0j0MXw0i0FM1Zf0Y0QREaXI807Ls0kQR
g1_7-mtDiiEWIMECe6iaUCbRPDE6zSiJystqi5j9z66Ux8	pathagon-rules-v1	7	14	3	73	0N0Z030Q0h0P0g0G0k0C0f0A090e080X0R0O0m0M0j010U0W06050a0J0d0lSb0D7gS1bpHhOBN9020V0ub4XXPC3YKCYMAjWX4B0aPeM70LaD046TKq0b8Y0TFZTM0kUm0C5c090A03Wx062Q
g1_7-usRR4isn6lSVzQJHdCU947vySYcIPtxMn9bikt1kU	pathagon-rules-v1	7	14	3	35	0G0F0H0E0A09020309080701080200040L0B0E0I0F0M0C0N0U0B0N050J0MHJ0IAe0MFu
g1_7-vpaiHdh5MFJPno1QYT1D5GPvlbaiNqJgFPHZc78q0	pathagon-rules-v1	7	14	3	65	0I0g0d000P040T0M0H0R0B0b0O0Z0L030i0f0J0e0C0U0l0E06080V0mFr0GZ50S0jM2Uo4Z0RX49pTy8xS6Ka7SAXbfQn0NLeWZ0QDS0O3F0kIs0I04XX0D0bNv5Q0mEj
