# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_8--FSzNic7FGKWHr8YP1mPaTo3R20rNzJGQ90fU-LD8	pathagon-rules-v1	7	14	3	18	0Y0D0h0F020E0i0G070H030I0d0L0f0J0T0C
g1_8--cSLMLRzU_dXDuRPYJaIN3AXNSuGTeib927AskuCI	pathagon-rules-v1	7	14	3	93	070U030V0c050Q0l080M0F0R0L02040C0S0E010b0A0T0B020N090k0H8X0eHQ0D6W0b9s0G0f0A07BH0BM8XRSKZ_BrLC2Y5SYZ3tbb0V5SWG42380N5SAq3uaq0d5S0t3r1c01051t6M0P0I0O5O0t2J9_1f5O0v2J6A1e4d0s2J5P1f4d0P2OVL
g1_8-1E9sj8zhlD6gGUlBM5xNzMRTSodoBofUz8AbmobfA	pathagon-rules-v1	7	14	3	102	0A070B0T02010E0b0h0F0d0P0R0D0V090Y0K0Z0g0U000S0Q0i0C0O05CD0aJf0b2gCnRs0OYPSuP9AyQv7k8iLF5v0eMZ6TO809WDTG0GBt0BXX020mI_HG0EJIaC06ZV0U2i0A360k9r0lKV09Uh0c0j0bYy0AWd0SDPbE0BSG0hTm0jYw3K0eEi0cQ00dJg0b9q5F0P1P
g1_8-1KnnHf3s8tkWM-TPULtmDcIj8AuQN_w7aqtmIIvrQ	pathagon-rules-v1	7	14	3	93	0F0l0f0h060K0N0S0I030Y0O070T0j050a0d080U0M0W0E0B000Z0Q0RR402FH9PIv2_CQ5G6XLv0N0I0m01WC0c7U0VDzTu0UOa07XQ0PMh0OPY0lYC09450cF80BDq0eGk0IVG0a0hSt0NIGPQ6CNq0CVTR70U141lGdPAFe0RAAYs0e3U9V0CBv
g1_8-CEsSa8mzSP8t423QaY-76K0jxN6-V-eAbT0JRdlKk	pathagon-rules-v1	7	14	3	196	0c0d0e0V0d0W0X0j0k0c0l0i0b0U0c0b0G0N0O0P0V0O0W0H0Q0I0J0m0f0Y0R0f0K0D0C0B0AAqGIR70Y5a0JGBLmB909WN0Q5h0C0J0BcAbWL-VqWGcA0eMC660RZycEbWWv0Y0k0ebBcAQoRYaX0X0f0QcFbWZzZAahcFbWZzWtagZB0icGYSaeBS0ecE0D0l0KalWubPRYc3alWubP0ec30lWwbPRYVxc9Ww0XRSL-by0lWw0Y0fGWbdB2WNM55o0lB2WwM5REGdbrWNLY0RGILm5o0fB2Ww0f0lWicAMC0RRSL-by0DWwbPL-0R0fB2bkLY0RGILm5o00Aq0-Lm0R5aLYGWR70Y5aLYGW0K0Y5S0lGBLf4w0R5aLYGWR70Y5aLY
g1_8-LJJsJuK3lsVFR8oK8ZSgit5Fp33uMYwxj9bDuUY1M	pathagon-rules-v1	7	14	3	65	0g0Z060T0S0D0j0I0L04090Z0E0C0B0A050J0B030Q0l0A020Y0H0G0R010A0W0V0MG4XF0g1z0BKuAKPl0F0T0d8OCSMD3sN5RtagXdZybTYRZ6adVM04ZzVpc20m0dOO
g1_8-MY_r3Wn1QXKpBAkz1qAvXPlas8snLGxagZIojoBnA	pathagon-rules-v1	7	14	3	75	000F0E070G02080L0M090E0N0S0G070h0L0B0g0Z0a0T0U0M0a0T0i0a0A0H0O03080H050A0C010I0P0J0O0QDg0G044z0bAZ9yBn0V0W0BF10M0T0H780EDi0G080VFZD_Ky0bMn0G0S0MMS0CE8
g1_8-QoiQ9ayI1ZVwnOJMVEkUslt8UIP0-kSCDgTuZDzV0	pathagon-rules-v1	7	14	3	65	0Q0a060f0L0A010k0C0E0b0N0c030m0l0i0e000M0K0V0h0Z0X0S070U0FI_G98cT_RzTe0ICWScACMs25Oz6rBx1NK4ZXVj009hYo0ET-0S5k0C1M0eHKW301EU0jXM0c
g1_8-XvlX9KbF93VCCPBCQYYEWp8PnnxhwX6mftUBMjeEY	pathagon-rules-v1	7	14	3	46	0m0M0a0A090X0l0j0T0C080Y0b0g000D0G0E0i0L070H0P0K010O0J0dNaE91j0kDTB9SrUkU7H5FxR5TBZs7xQS0Z5m
g1_8-mj9-fMEcPZk9ptF6hTuFlwkXozHfh_v5MU7P3hQn0	pathagon-rules-v1	7	14	3	66	000E0F0T0S0i0U040g0907080L0Z0a0b010a0E080T0h0V0M0N0c0j0T0F0c0d0k0l0e0j080c0M0X0F1o0O0H0FDO0k0G0j0p0OBe0M0d0W0N0P6l0M0e0N0Q4G0U0m0N0l
g1_80Cgn5QPnHtgwvrF53VDOPgfR8TYhHu99P3OoZF5gBQ	pathagon-rules-v1	7	14	3	136	0D0a000N0X0I0P0W0Z0k0Y0d0T0l0h0e0S0c080F0M0g0Q0C0H0P0E0O010JRu0V6yUu0dULRWD7MO0c0C0d1oVq09EoY1IgBxXUHW0N1KLn0HCUX2Gs0ABcSE1KMubS0baZ0J0bNK5cY96a0IRv0TMRXHHI0QBq0TMRNKGz3PBVHr08H57E0M6MHkG-CH0p686y1c2O06380q4e053u4g2O02385Q4i2O02382M4e053u4g2O0e385Q4e053u4g2O023A2r0RC867RM
g1_80Gf99BiYou8qmCCTrxPkqLIhPhWHWK-U69XSamaEnI	pathagon-rules-v1	7	14	3	29	0L0Y0e0F0H0h0I0V0i0W0b0P050g02090N0X0M080G0m000E030Z0A0C1F
g1_80S-w4eQh8qW3-_ecDVcGTsCvlECgqamopmaefz2MHY	pathagon-rules-v1	7	14	3	124	0E0S03070c0F010C0H0l0i0f0R0I0G0Y0Z060g0W020J0a080d0m040PLp0UXFOSDG001t0V0S6oBc9-GDb00D5q4TZv061zVCWO0kNZ0F1E0MPl0a0j0ODO0i0l2v0QVQLO0AbL0iEp0TRB0FZNID0MCN0bU5IK0BcD280dSz0bC30dV-O9HU0X8RP7VjLA0UDdTe0f9y0R1H0B5f0X7d05380dGB0FMX0fad01NO0VOA0X0G8P0A2A
g1_80W2faKl90oic-19Yjk8NQ-I8JIvuizcOogDnxo30qM	pathagon-rules-v1	7	14	3	53	090l0h0V07040J0W060Q0k0U0d0j0m0T0K0A05030N0e0D0X0E0H010g084500QN0zaqFV0JBJFj2EER9k0R6V0f0D027QVr5v0H8508C8
g1_80_Ub8walTOPk0ebufiCDKxwSk3Poar33XmdhtsTflA	pathagon-rules-v1	7	14	3	41	0Q0W0G030h0K0k0j080V0M0S0c060J0A0Y0Z0f0P090l000N0d0i0U0L0N0g04GIWuX9Ky3GHo07QqZa1M
g1_80j7RScTq5sKaTfx7NNktEgYz3amRuGfIjqMKnshV5g	pathagon-rules-v1	7	14	3	68	0B090k0m07020F0D0d0b0R0G0N0Q05080H0T0j0l0M000g0K0i0J060fZj0O6OFU0a0j0P0eV001IjTd5yAn9ZZgDkbbTi11L_0HCxDu0UG5ITQEKD0NO8VbHo3M0m40bkIS0X2O
g1_80jWDQlq1VZ8il6FwAyLBYxET14xiI82RpMImQg9rkQ	pathagon-rules-v1	7	14	3	78	0f0X0H0Q010g0E0T0K040d0Y080A0F030R0I0V0D0k0N0i0S0h0O0m0M0l0Jbo05C3Fa0ZMz1wNhCXQEGhEuXx06JBHt7D5qWW07Yc3C030JDu09He0DGn0h2d08CTAg0X4T0BFrSa0TSD0iCo6maV0k075L
g1_80xugAiVL9gUg1uCftLCngsgM57diyCkrlWFnGt-4tI	pathagon-rules-v1	7	14	3	75	0G0Z0f0h0m010M0j0V030l0P0c0I0g0a0K060U0O0J0d0A0H0C0F090W0NEJ02CKNvQSWo08bC0LUKZrG1HR2XKmP15PNjUu0kSc0LJ9GBXvbr0mIoTX0a3N0Y0DGePWb40RRDK6Hq4_0Y0UXMANC6
