# g1-key	rules	size	reserve	repetition	plies	2-char-actions
g1_--1uClCv3_FdqBEaD0mQF4YZcRB7F65U_oODDmW0hLg	pathagon-rules-v1	7	14	3	33	0h0809030201040T020H0G0F070G0N080G0M0U0O000N010j0S0L0E0T0L0C0Z030a
g1_--7I_8zN26pZ7jOJ3_SWcFkkwBWz_OLa4s23VuwaScQ	pathagon-rules-v1	7	14	3	38	0F0e0E0Y0U0W0h0m0Q0N01090A0L0c020g070D0Z060B0P0I0k0a030T0S0G0P0K0d08BR0HUO9V
g1_--7dgDbn8iqSh3W9oNsc_MU_HhKiwKhY1MskHs1ugrQ	pathagon-rules-v1	7	14	3	149	0h0g0Y0a0Z0T0S0U0L0M0N0b0M0i0O0V0c0h0V0W0P0V0d0G0W0N0F0H0E0O0I0j0k0c0XNj0TZ50iZe0dVi0PbB0IKs0QLfR70CYZ0J0DAOGH0IB2Lf0JEe5RD3Bb0I3w0G5R2M4e0A3u8y0A9i09Y7960P00X90QOe0u0VH50a68Lg0LEo0u0IGsEu0E0M0ICbC70T0_0X68HkBqDw0_68Gz0HBq0_3JD106E20M0u5cBVGt6M0L0uH5BV1g6M0L0u7vBe0EOe2J0VBc770H7v0gOx0Y0M6Y0VDv0XXw
g1_--A6X-eGByx3I35fvlwUmGaTeGWB4qCN05tWYnl9T7o	pathagon-rules-v1	7	14	3	37	030N040C050V070M080a0P0W0Z0I020b0U0O0P0T0g0D0U0B0f0J0H0L0APN0S0cWO0l4xHsJx
g1_--IOD7Ntn-2FpKMx1KhWdjdDnoUi4k487ipSCaELRgg	pathagon-rules-v1	7	14	3	16	0Y0m0K0k0D0l0R0j0f0i0e0b0X0a0Q0Z
g1_--aZXxbsZCzrIazROqta77SsGLzPgANcDtbzrkGP-8o	pathagon-rules-v1	7	14	3	72	0l0e0k0d0j0c0X0W0e0V0Y0f0m0e0f0i0h0g0i0b0U0a0b0T0Z0U0a0S0R0Z0M0N0T0L0Q0MKw0ELo0G0O0FJH0N0F0MNF0TQTU70cBn0X0F7H0eQJEy0VO10UH7OG0ORD0Wc3XhWUDfLfcA
g1_--exEWW4Oum9dzyTkyjsfOZD0EueiyaG1kI84YUC2eU	pathagon-rules-v1	7	14	3	45	0G0S0N0T0U0V0a0U0b0M0U0O0L0N0Z0W0S0E0F08070F0E000F0102090A0G0H0Q0G0B03090C0R2N0A020D090C3k
g1_--nPC0iiPd_jGzC0Pw1bu2mPYwWiCjiD3kaHuFwk-mo	pathagon-rules-v1	7	14	3	49	0E0V0F0Z0g0c0S0R0k0B0b0K0d0h0C0J0c010W0U0I0D0L0G0H0m090Z0C0NEe02TG0aCg04aN0B0F00C-4KBY1I07LY8AAw4_
g1_--nZpEyS13oikSy-2BknTa7R2qzTxFPxASEnG-5a368	pathagon-rules-v1	7	14	3	23	000L0N0g0i0c0b060d0D090B0G0H0I07040e0E03020m0U
g1_--yKVaCCsu4ubaUVFCEkoxyXyamvgrTZN-pLWbxikl4	pathagon-rules-v1	7	14	3	39	020m0j060E0G0V010W0k0l0K030i0F0d0k0X0U0L0a0b090O0Z0h0S0HBg0T0Q0N0g0MauTDL05_3I
g1_--yVbL5vjHKMSGp2MHC0STVvW0VhxIKLjNhmwfFJNdY	pathagon-rules-v1	7	14	3	54	0c0l0K0g0j0P020W0m0k080d0f0D0G090U0Z0M070T0S0L0e0A060C0N0aIe0OUeWFPybpMo0F5k0YS80d6u9-T9E_Vd0UBM940BVDDj0H1U
g1_-01e4UPbz3l6bul_KZIln_dWBOlnjsxfViCGxpqosio	pathagon-rules-v1	7	14	3	72	0M0F0T080h0a090G0H0A0O090N0V0U0B0b0c0I0b0P0W0d0E0W0e0V0d070C040J0B0Q6hC9I3970AAV9t0B0aX5D-7Z0HYh3u0XRc7q35T62M041a0o340b2KX50q050ABX0903Ka2s0P3e
g1_-0JiwKfXlO7ESDQkj2I-YounEEhWIY6P6WNGozJXC80	pathagon-rules-v1	7	14	3	30	0m020N0b0U060G000901080F0M0H080G0F0E090F0G0T080V0M030F040U05
g1_-0MEbhe6t8F-H-vdkESi9Pyly0pmvOUIJhna68AMXuM	pathagon-rules-v1	7	14	3	62	0l0m030C01080F0A0b0T0O090G070I0e0D0P0Q020Z0X0L0H0P0g0a06TX0iF30MCiQDP_7oa_0ISt2-Kf9zDXF7Mo0GaHHi380PHN0aJnDz0CK2QK030OSPR409
g1_-0NWX0iAwEIMilEKwBhy-oXgOReRzEBZvY0IV-8zVHQ	pathagon-rules-v1	7	14	3	40	0m00050F0D0V0K0l0Q040N0U0R020Y0Z0P0f0T0d080W0X0e0A0E0k0McG06030e7U0O0jRqZ-0HTm1Q
g1_-0RWCbGG2K62ubuUsYjSwGcaPvsgDTHNB8mVTAr5Oso	pathagon-rules-v1	7	14	3	58	0J0H0F0d040C0g0V080S0b070Q000W0G0K0l0m0j0a0I0f0e0O090Z0E0iZM0hVeXs0YJt0L3t0MGI7jPkDXKy0RXcLmEJ19Sm0lYe01060Y0KC0aH1v
