# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_c-4mC8nMsf1NqORWHagyQCrauXDCMqFnmuXtqJtqCzU	s1_NHhU1LSqPfvlkJBi9KcPyj9Tynx8UjtdXtiUa-K_81g	1unQ4y	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_c-4mC8nMsf1NqORWHagyQCrauXDCMqFnmuXtqJtqCzU	s1_faEf6V0cVD1LZPt1hqgtNRAS2nCUusDxRHkrulNApVo	1unQ4y	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_c-4mC8nMsf1NqORWHagyQCrauXDCMqFnmuXtqJtqCzU	s1_qLlyvsTNC8E7aDPizRLGLYhUGC5CTKbsAMkbBty2aCE	1unQ4y	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_c-AZZKY3TNDgOFvTHIwidDrwOOxQg2j3zKaD9j8JwBY	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1DIed	lunatic-v0.1.0	-	rust-pathfinder-v0.1.0	-	D	P	-
g1_c-AZZKY3TNDgOFvTHIwidDrwOOxQg2j3zKaD9j8JwBY	s1_9Eroywf7tuDrn-hcfZPjlEa1DSRUykCRn9Z11u8ySIo	1DIed	lunatic-v0.1.0	-	rust-pathfinder-v0.1.0	-	D	P	-
g1_c-AZZKY3TNDgOFvTHIwidDrwOOxQg2j3zKaD9j8JwBY	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1DIed	lunatic-v0.1.0	-	rust-pathfinder-v0.1.0	-	D	P	-
g1_c-AZZKY3TNDgOFvTHIwidDrwOOxQg2j3zKaD9j8JwBY	s1_KmF8KhDbubz6lwdS8R_n_yTGdSONmH9B1wUABbyCj94	1DIed	lunatic-v0.1.0	-	rust-pathfinder-v0.1.0	-	D	P	-
g1_c-AZZKY3TNDgOFvTHIwidDrwOOxQg2j3zKaD9j8JwBY	s1_MKrI0a3Qd48rU7oZj28GrlQ3cHhIbUzS5ibiIW9aKy4	1DIed	lunatic-v0.1.0	-	rust-pathfinder-v0.1.0	-	D	P	-
g1_c-AZZKY3TNDgOFvTHIwidDrwOOxQg2j3zKaD9j8JwBY	s1_XloMUS0hxYEXf762lcPfaudsLmsH-CsOVZNVVU_obcA	1DIed	lunatic-v0.1.0	-	rust-pathfinder-v0.1.0	-	D	P	-
g1_c-AZZKY3TNDgOFvTHIwidDrwOOxQg2j3zKaD9j8JwBY	s1_g5pGkHBMEhzAYvwFY0b24sSc7wC9JfnWApMHHZ_aMPI	1DIed	lunatic-v0.1.0	-	rust-pathfinder-v0.1.0	-	D	P	-
