# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_d-3iYn6f-OWPAi48YbmfWyfP03pB8fIxcF7kRXuJyo0	s1_I_cYdL2yGoN4tsKVqHIHx9zpHWJAFvaCaBe1l9jUtzI	1unP1P	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_d-3iYn6f-OWPAi48YbmfWyfP03pB8fIxcF7kRXuJyo0	s1_QztnbnXpEUOJk4DY8hy-3vhCebowvCTRm0d8DXzm09k	1unP1P	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_d-3iYn6f-OWPAi48YbmfWyfP03pB8fIxcF7kRXuJyo0	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unP1P	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_d-3iYn6f-OWPAi48YbmfWyfP03pB8fIxcF7kRXuJyo0	s1_u5Us293m_MCmoj2HoNzRH98zfihpYzivS6z1VZQtCug	1unP1P	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_d-9DiqWZivh63-y_cAcy4KtCqN9tb5A_FKLHAAR0Tus	s1_7FIu85-v_e-kbNsQ2UNk3yRt-KGcLyUjpmVwIc9cnfM	1umwEG	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	L	P	196
g1_d-9DiqWZivh63-y_cAcy4KtCqN9tb5A_FKLHAAR0Tus	s1_S8AGNBNcWBvWiwIo-AOAHPoHuZo2XvcsYvhgQxGTkrY	1umwEG	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	L	P	196
g1_d-FmLNSrXCXsNu3StE1LF3Lwq2ljfxQ1Qi12OZSuUlE	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1umvKX	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	D	P	196
g1_d-FmLNSrXCXsNu3StE1LF3Lwq2ljfxQ1Qi12OZSuUlE	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1umvKX	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	D	P	196
g1_d-FmLNSrXCXsNu3StE1LF3Lwq2ljfxQ1Qi12OZSuUlE	s1_QBFUsDtxokERlDOdQkleYbPvhJ-vIp2qmp6DXjS-7oM	1umvKX	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	D	P	196
g1_d-GO9QI4xasmlEhE7RTRnoW4L7l4hjf4jCsthbxJtgA	s1_AzMoAsmz7HBcg82K9rjcty-pl-gTaQDsuXPyksMsIwc	1unOR4	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_d-GO9QI4xasmlEhE7RTRnoW4L7l4hjf4jCsthbxJtgA	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unOR4	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_d-GO9QI4xasmlEhE7RTRnoW4L7l4hjf4jCsthbxJtgA	s1_fAWxLKvqrnYalvMtyNLTqMoEUdtkPhR5BCsqnrLJaRI	1unOR4	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_d-GO9QI4xasmlEhE7RTRnoW4L7l4hjf4jCsthbxJtgA	s1_qwfsu9F_ETOiNTSKSm4YPhZLo9OVKQQQIMbV4BlEmuA	1unOR4	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_d-HqOCAPyl9d299-XKuwXU1CB9UN_PQkc-eHZww3_bA	s1_qtlitMa-GGx-0y2heoyNRonYXf1Dq5epTexnVe9Iqtw	1umxZ4	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	python-gnn-puct-learner-v0.1.0	sha256:ab0f739cd33d66781faf60e27797c5ccba3c04ba684f8d9e32e9c2754f4e8956	D	P	196
g1_d-MlmaXeN6QaB8vfmTM0iro4TcyUTPozHYQ3kUyuTUE	s1_4bu3_0mUGi2F22791EABbbaf7X-ogd72nQJ4RznHps0	1unMtu	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
