# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_e-1dEtLntx4N5AfLGFx52yMzlHeGIMoD9n_JLBprSHA	s1_-OKlJXuPFfAnukwGYITjiU7XKL4OC_qt76PC0TZSPjg	1umvfV	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	-	M	196
g1_e-1dEtLntx4N5AfLGFx52yMzlHeGIMoD9n_JLBprSHA	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1umvfV	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	-	M	196
g1_e-1dEtLntx4N5AfLGFx52yMzlHeGIMoD9n_JLBprSHA	s1_mWPTef6xYbijjPhDIC6QgLRmu2mMSJAokNlIkx3vg54	1umvfV	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	-	M	196
g1_e-7z498p_GkBfYq58jKM30btL9Z4KmdH6m91i99XAFc	s1_-OKlJXuPFfAnukwGYITjiU7XKL4OC_qt76PC0TZSPjg	1umvae	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	-	M	196
g1_e-7z498p_GkBfYq58jKM30btL9Z4KmdH6m91i99XAFc	s1_1av6nXQkq-GSHXfjkVlGHGpAq8F9UbW4JwZmyFA-vww	1umvae	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	-	M	196
g1_e-7z498p_GkBfYq58jKM30btL9Z4KmdH6m91i99XAFc	s1_Brk0hkuJoH-MBjdd53AO5tlWcOgDWV_R0PO74fHGd_0	1umvae	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	python-cnn-puct-v0.1.0	sha256:7845e9b7687beee165dc36b8d21833b7a8b5a83e31b58b49bd05c277ba26e642	-	M	196
g1_e-879Ibvd3ctwxcaFqLpjOoTXtNGeSu0LTEhgxQ4qxQ	s1_KD7g5RcJ5ozZhwrIWEW-gZUq428WyuUnKPDpk-1jnjc	1unQ5i	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_e-879Ibvd3ctwxcaFqLpjOoTXtNGeSu0LTEhgxQ4qxQ	s1_Tb2BSOA8gPnAM8osT6Se17xKGOPUPzCaM3XOLZgQOJ4	1unQ5i	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_e-879Ibvd3ctwxcaFqLpjOoTXtNGeSu0LTEhgxQ4qxQ	s1_lwCOlG36jdHCzMEe0-zI0qVgL3tU-9bxfxrL_fUPsZY	1unQ5i	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_e-ADCukHdtP3anV6ehcAG66iFYwr5I_Rtg8PvmJJjg8	s1_6Q7ad2DUc3mc1Vj7ipur2Lt0a4TjGC2XIrxavwYbaVQ	1unMzq	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_e-ADCukHdtP3anV6ehcAG66iFYwr5I_Rtg8PvmJJjg8	s1_HtlsGEOdtDMwXx9pOXhQxJaF2LNeH9iLUjqrNDXtHkM	1unMzq	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_e-ADCukHdtP3anV6ehcAG66iFYwr5I_Rtg8PvmJJjg8	s1_Luv8a3t_dbzd4zpsSSmqbzTwwNyWffcEN2NuD0dv2IQ	1unMzq	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_e-ADCukHdtP3anV6ehcAG66iFYwr5I_Rtg8PvmJJjg8	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unMzq	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_e-MQ6bQvenWphUYRbAc-hVxufi6v5cRe6kDJJj-JkkU	s1_KsNXqF9kRQMhjUr5zY8-BaRs1B8qWl-kRLPGUfW6XtE	1unNwk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_e-MQ6bQvenWphUYRbAc-hVxufi6v5cRe6kDJJj-JkkU	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unNwk	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
