# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_q-4pDNLCTvGhluDbu6djXOStyEoWUCi-PeC15-EbW58	s1_2FtaP75xgRVTNrUvmC0NIesJCNy8IDFJ05WNM4nUnpg	1unQwj	surveyor-v0.2.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_q-4pDNLCTvGhluDbu6djXOStyEoWUCi-PeC15-EbW58	s1_F1bRTMMc7WPBHhcU2WhUt_ZCP3YyTFtaERJ-_FH31CA	1unQwj	surveyor-v0.2.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_q-4pDNLCTvGhluDbu6djXOStyEoWUCi-PeC15-EbW58	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unQwj	surveyor-v0.2.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	-
g1_q-4pDNLCTvGhluDbu6djXOStyEoWUCi-PeC15-EbW58	s1_cI2jjPK2BA9cWF1HgofQ1EqwzXLUpt6FRSC6GLrYUqA	1unQwj	surveyor-v0.2.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_q-5iqLhCmfQUyIV3ukRJH5pNcSq5WwNAgOeYjutu1W8	s1_528gJDrVIkdFJz9KvHtThs5nwgj8YEGWRV6YS56FGHU	1unN3I	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_q-5iqLhCmfQUyIV3ukRJH5pNcSq5WwNAgOeYjutu1W8	s1_Icjegyyjgjkk5yjn0Nze32q4L8BtoxDM93XVyTfKvx4	1unN3I	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_q-5iqLhCmfQUyIV3ukRJH5pNcSq5WwNAgOeYjutu1W8	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unN3I	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_q-5iqLhCmfQUyIV3ukRJH5pNcSq5WwNAgOeYjutu1W8	s1_jnVpzInZDHEC0z8Tgp-vcTrwFq0E5PVVvPGBJyJwe1g	1unN3I	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_q-IaMhHQ5TH4Mv58p98FxeqXj-CLqaoPDNl125O2EDI	s1__fmnSv6OnZklVvMPUjPdL6drtvfrJptRYX3nxZQO8jI	1umxnS	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	python-gnn-puct-scout-v0.1.0	sha256:b9f80706cc1f29076ee06fe06483697c749148a808c599579045d00a52573938	L	P	196
g1_q-f1ZB2eLQjOUOLdvtPFhqLrdnt4kqFKy34iKLBSobU	s1_-H4aznHqoPjeA8cXw2ks9cy1RK6l7_6Ti-3hGWiZLi0	1unLq9	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
