# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_r-12Ju3ykK5PF_eCXJ7-DkTiFvGTVs5Rodo-XY6ZcBM	s1_4maQ25FN4c9WbQ0s-AtfqSfsTh20bnQriJ2KzI4B-P0	1unPk6	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_r-12Ju3ykK5PF_eCXJ7-DkTiFvGTVs5Rodo-XY6ZcBM	s1_HyowCgtx-D9_3iy4X7uyXnzR5TA4UiVDFTP91ExVVKU	1unPk6	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_r-12Ju3ykK5PF_eCXJ7-DkTiFvGTVs5Rodo-XY6ZcBM	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unPk6	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_r-12Ju3ykK5PF_eCXJ7-DkTiFvGTVs5Rodo-XY6ZcBM	s1_a4u9V--GEO2lgTmQXHj61HyMNo838qcQwNJJDosIIpk	1unPk6	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_r-9sV1K8qD2y6qsnApmzzjymVyWo4aVFVt8OwajVEe4	s1_1xLImEkW_cFJx9XDlZAyNUQYym8-kcbijIIG-i5ytNU	1unMTX	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_r-9sV1K8qD2y6qsnApmzzjymVyWo4aVFVt8OwajVEe4	s1_PVktBnJht00i1e6d2xEYhf-UXbFQooxR1WtPJO4XDRo	1unMTX	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_r-9sV1K8qD2y6qsnApmzzjymVyWo4aVFVt8OwajVEe4	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unMTX	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_r-9sV1K8qD2y6qsnApmzzjymVyWo4aVFVt8OwajVEe4	s1_kXVJCuI3zpRM6R49j3YL2KZMD3B8FgCqmZJvpG6l85w	1unMTX	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_r-XtHEdpNnqFy83kf9fGq3cYVwljaDczEjdVf9nTQbY	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unMk3	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_r-XtHEdpNnqFy83kf9fGq3cYVwljaDczEjdVf9nTQbY	s1_fjCR5w-H4Pq_YHsfuHtxd4pWgw4QAOyfVAfKJep1FU0	1unMk3	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
