# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_v-4tr_InkMF8AIreSyL-c_82p4NtVrQ2CEii4vO0cMI	s1_-msR2pyRzfxXIMAx7ME3ay3TNKdtk-aGgnKHMlarkvQ	1unQoV	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_v-4tr_InkMF8AIreSyL-c_82p4NtVrQ2CEii4vO0cMI	s1_2FtaP75xgRVTNrUvmC0NIesJCNy8IDFJ05WNM4nUnpg	1unQoV	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_v-4tr_InkMF8AIreSyL-c_82p4NtVrQ2CEii4vO0cMI	s1_N9XTbDEMUitfPfLMGwNEzyP36YH-LIiYZu2geSgg2DE	1unQoV	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	196
g1_v-4tr_InkMF8AIreSyL-c_82p4NtVrQ2CEii4vO0cMI	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unQoV	pathfinder-v0.3.0	-	qadv-arbiter-7x7-v0.1.0	-	L	P	-
g1_v-589-fMUBPf2F09oupCdl-U3h7GMqc2Oc99mQUBB30	s1_WVg7aYYLIrw6_-2mI3jQ-DPcLO4gX2sPEEqWQb0DGQA	1umxPo	python-cnn-puct-reval30k-v0.1.0	sha256:eb2600a53e225a835455efdb2759c40e27c5cb3c16ab0688bc21b99290ed10ee	python-cnn-puct-reval30k-v0.1.0	sha256:eb2600a53e225a835455efdb2759c40e27c5cb3c16ab0688bc21b99290ed10ee	L	P	196
g1_v-BZuruzT1kz6HUvuPND6h_SOMESlKi7Fw2PCtdmQCY	s1_P_m17e0Vy9YZqw3QEA4GGxthHz4cwD5o3fUkvh6bqro	1unOla	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_v-BZuruzT1kz6HUvuPND6h_SOMESlKi7Fw2PCtdmQCY	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unOla	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_v-BZuruzT1kz6HUvuPND6h_SOMESlKi7Fw2PCtdmQCY	s1_msyp5fmIsqNW39bl4IKjqwEw12aIMHJs_U1heio4BPw	1unOla	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_v-BZuruzT1kz6HUvuPND6h_SOMESlKi7Fw2PCtdmQCY	s1_vmEGW0xAGer4kUXqdKWO4qkWkDrBcg-AqjDRZZuXFHs	1unOla	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_v-IWzIdvQZRIKpHCrycOMoszK4fzjET375FZ0u2pP6Y	s1_83MGq8Wt_ZN7lAKTKB-U7dSJ2D2Zys2e_h-5oeDl7IE	1unNoZ	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
