# g1-key	source	seed64	light	light-model	dark	dark-model	winner	reason	max-plies
g1_4-ScdGaOZpswBYa8qSABzRiRx590aG6vARfeAIjvF-8	s1_8tClmu4mUvn947S-1hGVLPUklSr2S5IfYrTQSqx9884	1unPzG	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_4-ScdGaOZpswBYa8qSABzRiRx590aG6vARfeAIjvF-8	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unPzG	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	-
g1_4-ScdGaOZpswBYa8qSABzRiRx590aG6vARfeAIjvF-8	s1_alNOu2huhZr43ltYAo0Tzp4yVdDHcExwxl0bLllvw_s	1unPzG	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_4-ScdGaOZpswBYa8qSABzRiRx590aG6vARfeAIjvF-8	s1_e3k9ss-oHQ1HreWGFoa8lHVbb8hhzYvaGRmZZCLdBUA	1unPzG	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	D	P	196
g1_4-e9zhw_2rKnmTrtAOTPUoUvOmuELj9x6GefNtaoI_s	s1_Qmoz3nLvbLcY_1rcqMtpMJDvTQydhL5cxUNWV6EhpMY	1umwvl	qadv-arbiter-7x7-v0.1.0	sha256:8c548d06307572603b839755cc1e50393285365e10f82bcd90290ca65cd86266	qadv-arbiter-7x7-v0.1.0	sha256:8c548d06307572603b839755cc1e50393285365e10f82bcd90290ca65cd86266	D	P	196
g1_4-f9DgM5gTbnOnNaPKpXCdydEU65uDJaj4X-rxQBbG8	s1_HdB8xAK2nvYDBO-8OJruIJbwkpiwv0g7oW9WtFdo2dE	1unOn4	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_4-f9DgM5gTbnOnNaPKpXCdydEU65uDJaj4X-rxQBbG8	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unOn4	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
g1_4-f9DgM5gTbnOnNaPKpXCdydEU65uDJaj4X-rxQBbG8	s1_VX9mypBZA-m-xrIn88lih8Yqeni9W8Uzh1MJCQ91img	1unOn4	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_4-f9DgM5gTbnOnNaPKpXCdydEU65uDJaj4X-rxQBbG8	s1_lx54YdTOZb_ndZWd78yXAl_ydIHyX2H01yOvsm_O-ds	1unOn4	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	196
g1_4-uQvBu9VEh0js2lDkO7aFXFG9HO0mwarsRACVGpFdc	s1_RauLaTi4eVgYHSp2TV9pqs9uzTVv0B10g9TaHMWpcZ4	1unMx2	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	qadv-arbiter-7x7-rust-lambda-v0.1.0	-	L	P	-
