# source	path	bytes	records	unique-observations
s1_O5y8y_DVMGhXbwyVRB4zkS09VexF-D1a8tuZci7qur4	public/lab/leagues/league-7x7-r14-lunatic.json	1340105	56	56
s1_nNHl7o9VD27km-G9HxP8DUYKhL6WSV63_uA_CVEmPFA	public/lab/leagues/league-7x7-r14.json	1300199	42	42
s1_lMvMT4o-UwWPUpOcyo7j-u_krxELqNwkZTEHbMqPTeI	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220000.json	175432	1	1
s1_jfBawoDsxGfNQlnGD-Wu9SF7WPLjkBFTI7W8D1BtmmU	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220001.json	160554	1	1
s1_XojTq9Ndid2ZCeXkSsTiN73_O3a2gNmkjgeDIhPsMZ4	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220002.json	27392	1	1
s1_BnCgrf5z4y46h7IRhbJer5EmYFyOwjRGuTOLLAWsydc	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220003.json	144566	1	1
s1_j1mwakZfQzqfdHBBnDGCE4gvXE0eN3ECOInrvAs1Wgw	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220100.json	112457	1	1
s1_ukFgnTd-cyipgjydh9RnsQPMoYdv0PlIUiMC2cvj4J0	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220101.json	144721	1	1
s1_HjxNDiYU_RhaebQXI2I-4hBAuKj1kkAQ9sPw5TBO4MU	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220102.json	218380	1	1
s1_ydxzGg7ZrsL73L5kdIOQXl2bE_p8G1GkcbUeXaZrfwE	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220103.json	157202	1	1
s1_rwUO0jLqnMM5TymehwXY6ylGP_CL1-dg44r5Ddo28Zc	research/adversarial/generated/batch-20260826-targeted-v1/game-2026220200.json	95070	1	1
