# p1	seed64	light	dark	winner	reason	2-char-actions
p1	1DIVN	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	L	P	0K08060l0m0D0R0C0A0k030B09070H04050e0f0Y0i0I0J0d0b0C0Q0c5A0U5k0jWr0UJ10IDt0YWX0Gb_0H7s0f8qBE090A028q2h0V02RBO80UTUEF2u0H0UNMIeEwO10M3Y0HDO0T0L0OIe0NHK0HDO06Ex
p1	1DIVN	rust-evo-g1-c1-229-106-774-47-126-70	rust-handcrafted-g0	D	P	0K08060l070m0i090D000E0k0c010J0A0I0j0h0V0P0c030U0a0N0F0G
p1	1DIVN	rust-evo-g1-c2-235-107-762-48-141-65	rust-handcrafted-g0	D	P	0K08060l070m0i090D000E0k0c010J0A0I0j0h0V0P0c030U0a0N0F0G
p1	1DIVN	rust-evo-g1-c3-283-110-783-63-106-94	rust-handcrafted-g0	L	P	0K08060l0m0D0R0C0A0k030B09070H04050e0f0Y0i0I0J0d0b0C0G0UFh0c54
p1	1DIVN	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	L	P	0K08060l0m0D0R0C0A0k030B09070H04050e0f0Y0i0I0J0d0b0C040cFu0U5k0jWr0UJ10IE50YWX0fbn0C4J
p1	1DIVN	rust-handcrafted-g0	rust-evo-g1-c1-229-106-774-47-126-70	L	P	0K08060l0m0D0R0k07090B000405030C0A0g0E010H0j020e0f0Y0G0X5k0b2w0cM4QXV94_GN7J6e0U3T
p1	1DIVN	rust-handcrafted-g0	rust-evo-g1-c2-235-107-762-48-141-65	L	P	0K08060l0m0D0R0k07090B000405030C0A0g0E010H0j020e0f0Y0G0X5k0i2w0hM4QXGb570R0e0Y7CV80P6Q0QPb0d3N
p1	1DIVN	rust-handcrafted-g0	rust-evo-g1-c3-283-110-783-63-106-94	L	P	0K08060l0m0D0R0C0A0k030B09070H04050e0f0Y0i0I0J0d0b0C040cFu0U5k0jWr0UJ10IE50YWX0fbn0C4J
p1	1DIVO	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	L	P	0J0K0B0U0I040P0k0W030V05000T0c0j0m06070S080N0F020O0M0D0G9T0bA-GE0A0i8h2xFu0dF83l0f4MDZ0GCnYcTOXsTw0Q0A0X1C0F6Y
p1	1DIVO	rust-evo-g1-c1-229-106-774-47-126-70	rust-handcrafted-g0	L	P	0J0K0B0U0I040P0k0W030V05000T0c0j0m06070S080N0F020O0M0D0G9T0bA-GE0A0i8h2xFu0dF83l0f4MDZ0GCnYcTOXsTw0Q0A0X7K0F1B
p1	1DIVO	rust-evo-g1-c2-235-107-762-48-141-65	rust-handcrafted-g0	L	P	0J0K0B0U0I040P0k0W030V05000T0c0j0m06070S080N0F020O0M0D0G9T0bA-GE0A0i8h2xFu0dF83l0f4MDZ0GCnYcTOXsTw0Q0A0X7K0F1B
p1	1DIVO	rust-evo-g1-c3-283-110-783-63-106-94	rust-handcrafted-g0	D	P	0J0K0B0U0I040W0P0d0k0C05060D0A030H020801000V070X0S0W0F0Y0M270G2t5q3d
p1	1DIVO	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	D	P	0J0K0B0U0I040P0k0W030V05000T0c0j0m06070S080N0F0i0X020e0ACP0G0OGE
p1	1DIVO	rust-handcrafted-g0	rust-evo-g1-c1-229-106-774-47-126-70	D	P	0J0K0B0U0I040P0k0W030V05000T0c0j0m06070S080N0F0i0X020e0bCvGFFT0G0OTF
p1	1DIVO	rust-handcrafted-g0	rust-evo-g1-c2-235-107-762-48-141-65	-	R	0J0K0B0U0I040P0k0W0j0m0300050X0607020E090L0Z0M0A0C0a0Y0T9rGSAL0F0G0N0M0F0G0N0M0F0G
p1	1DIVO	rust-handcrafted-g0	rust-evo-g1-c3-283-110-783-63-106-94	L	P	0J0K0B0U0I040P0k0W030V05000207010F0T0G0j0H0c0O0l0m0e0f0X9k0bOxVlJH1yFr
p1	1DIVP	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	L	P	0h0H0Q02050I0F0G0E090M06040g0i0R070P000Q0U0b0N0T0S0a0T0Z0a
p1	1DIVP	rust-evo-g1-c1-229-106-774-47-126-70	rust-handcrafted-g0	L	P	0h0H0Q02050I0F0G0E090M06040g0i0R070P000Q0U0b0N0T0S0a0T0Z0a
p1	1DIVP	rust-evo-g1-c2-235-107-762-48-141-65	rust-handcrafted-g0	L	P	0h0H0Q02050I0F0G0E090M06040g0i0R070P000Q0U0b0N0T0S0a0T0Z0a
p1	1DIVP	rust-evo-g1-c3-283-110-783-63-106-94	rust-handcrafted-g0	L	P	0h0H0Q02050I0F0G0E090M06040g0i0R070P000Q0U0b0N0T0S0a0T0Z0a
p1	1DIVP	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	L	P	0h0H0Q02050I0F0G0E090M06040g0i0R070P000Q0U0b0N0T0S0a0T0Z0a
p1	1DIVP	rust-handcrafted-g0	rust-evo-g1-c1-229-106-774-47-126-70	L	P	0h0H0Q02050I0F0G0E090M06040g0i0R070P000Q0U0b0N0T0S0a0T0Z0a
p1	1DIVP	rust-handcrafted-g0	rust-evo-g1-c2-235-107-762-48-141-65	L	P	0h0H0Q02050I0F0G0E090M06040g0i0R070P000Q0U0b0N0T0S0a0T0Z0a
p1	1DIVP	rust-handcrafted-g0	rust-evo-g1-c3-283-110-783-63-106-94	L	P	0h0H0Q02050C0J0f0C0e0X0l0W0k0a0d0P0U0S0c0M0T0F0b0Z070L0NAB084c0OCN
p1	1DIVQ	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	D	P	0V0m0R030j0c0O0Z0H020504060b0C0d0a0e0g0S0U0N0T0U0P0W0T0V0M000hRx0F1K0I2tN93j
