# state	action	visits	wins	losses	draws
0.0.E.E.L.0.-.-.0.-.0	00	1	0	1	0
0.0.E.E.L.0.-.-.0.-.0	01	4	1	3	0
0.0.E.E.L.0.-.-.0.-.0	02	1	0	1	0
0.0.E.E.L.0.-.-.0.-.0	03	1	1	0	0
0.0.E.E.L.0.-.-.0.-.0	04	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	05	1	1	0	0
0.0.E.E.L.0.-.-.0.-.0	06	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	07	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	08	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	09	2	2	0	0
0.0.E.E.L.0.-.-.0.-.0	0A	2	2	0	0
0.0.E.E.L.0.-.-.0.-.0	0B	3	1	2	0
0.0.E.E.L.0.-.-.0.-.0	0C	3	2	1	0
0.0.E.E.L.0.-.-.0.-.0	0D	4	2	2	0
0.0.E.E.L.0.-.-.0.-.0	0E	4	3	1	0
0.0.E.E.L.0.-.-.0.-.0	0F	2	2	0	0
0.0.E.E.L.0.-.-.0.-.0	0G	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	0H	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	0I	3	0	3	0
0.0.E.E.L.0.-.-.0.-.0	0J	1	0	1	0
0.0.E.E.L.0.-.-.0.-.0	0K	1	1	0	0
0.0.E.E.L.0.-.-.0.-.0	0L	3	2	1	0
0.0.E.E.L.0.-.-.0.-.0	0M	1	1	0	0
0.0.E.E.L.0.-.-.0.-.0	0N	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	0O	1	1	0	0
0.0.E.E.L.0.-.-.0.-.0	0P	3	1	2	0
0.0.E.E.L.0.-.-.0.-.0	0Q	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	0R	1	1	0	0
0.0.E.E.L.0.-.-.0.-.0	0S	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	0T	5	5	0	0
0.0.E.E.L.0.-.-.0.-.0	0U	2	1	1	0
0.0.E.E.L.0.-.-.0.-.0	0V	2	2	0	0
0.0.E.E.L.0.-.-.0.-.0	0W	2	1	1	0
