# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
10000000W.40000G00.C.C.L.0.-.-.0.D.4	rust-evo-g1-c0-279-109-820-53-117-66	0C	2	119	264	1	1	0	0
10000000W.40000G00.C.C.L.0.-.-.0.D.4	rust-handcrafted-g0	0C	2	135	264	1	1	0	0
10000010W.40000G00.B.C.D.0.-.-.0.L.5	rust-evo-g1-c0-279-109-820-53-117-66	0L	2	-839	258	1	0	1	0
10000010W.40000G00.B.C.D.0.-.-.0.L.5	rust-handcrafted-g0	0L	2	-780	258	1	0	1	0
10000010W.40008G00.B.B.L.0.-.-.0.D.6	rust-evo-g1-c0-279-109-820-53-117-66	0J	2	385	211	1	1	0	0
10000010W.40008G00.B.B.L.0.-.-.0.D.6	rust-handcrafted-g0	0J	2	350	211	1	1	0	0
10000210W.40008G00.A.B.D.0.-.-.0.L.7	rust-evo-g1-c0-279-109-820-53-117-66	0M	2	-1118	206	1	0	1	0
10000210W.40008G00.A.B.D.0.-.-.0.L.7	rust-handcrafted-g0	0M	2	-1020	206	1	0	1	0
10000210W.4000OG00.A.A.L.0.-.-.0.D.8	rust-evo-g1-c0-279-109-820-53-117-66	0Q	2	624	162	1	1	0	0
10000210W.4000OG00.A.A.L.0.-.-.0.D.8	rust-handcrafted-g0	0Q	2	560	162	1	1	0	0
1000080.400020.C.C.L.0.-.-.0.D.4	rust-evo-g1-c0-279-109-820-53-117-66	02	2	-13	178	1	1	0	0
1000080.400020.C.C.L.0.-.-.0.D.4	rust-handcrafted-g0	02	2	-25	178	1	1	0	0
1000084.400020.B.C.D.0.-.-.0.L.5	rust-evo-g1-c0-279-109-820-53-117-66	08	2	-616	258	1	0	1	0
1000084.400020.B.C.D.0.-.-.0.L.5	rust-handcrafted-g0	08	2	-540	258	1	0	1	0
1000084.400060.B.B.L.0.-.-.0.D.6	rust-evo-g1-c0-279-109-820-53-117-66	0A	2	-13	579	1	1	0	0
1000084.400060.B.B.L.0.-.-.0.D.6	rust-handcrafted-g0	0A	2	-25	579	1	1	0	0
10000O4.400060.A.B.D.0.-.-.0.L.7	rust-evo-g1-c0-279-109-820-53-117-66	0Y	2	-654	206	1	0	1	0
10000O4.400060.A.B.D.0.-.-.0.L.7	rust-handcrafted-g0	0Y	2	-565	206	1	0	1	0
10000O4.K00060.A.A.L.0.-.-.0.D.8	rust-evo-g1-c0-279-109-820-53-117-66	0T	2	104	162	1	1	0	0
10000O4.K00060.A.A.L.0.-.-.0.D.8	rust-handcrafted-g0	0T	2	105	162	1	1	0	0
10000W.20020.C.C.L.0.-.-.0.D.4	rust-evo-g1-c0-279-109-820-53-117-66	0i	2	-213	221	1	0	1	0
10000W.20020.C.C.L.0.-.-.0.D.4	rust-handcrafted-g0	0i	2	-160	221	1	0	0	1
10002O84.13W010.8.9.D.0.-.-.0.L.B	rust-evo-g1-c0-279-109-820-53-117-66	0E	2	-388	365	1	0	0	1
10002O84.13W010.8.9.D.0.-.-.0.L.B	rust-handcrafted-g0	0E	2	-350	365	1	0	0	1
10002O84.13W410.8.8.L.0.-.-.0.D.C	rust-evo-g1-c0-279-109-820-53-117-66	0C	2	-611	286	1	0	0	1
10002O84.13W410.8.8.L.0.-.-.0.D.C	rust-handcrafted-g0	0C	2	-535	286	1	0	0	1
10002P84.13W410.7.8.D.0.-.-.0.L.D	rust-evo-g1-c0-279-109-820-53-117-66	0D	2	-271	277	1	0	0	1
10002P84.13W410.7.8.D.0.-.-.0.L.D	rust-handcrafted-g0	0D	2	-220	277	1	0	0	1
10002P84.13W610.7.7.L.0.-.-.0.D.E	rust-evo-g1-c0-279-109-820-53-117-66	0B	2	-611	465	1	0	0	1
10002P84.13W610.7.7.L.0.-.-.0.D.E	rust-handcrafted-g0	0B	2	-535	400	1	0	0	1
10002Pe4.13W610.6.7.D.0.-.-.0.L.F	rust-evo-g1-c0-279-109-820-53-117-66	04	2	-271	262	1	0	0	1
10002Pe4.13W610.6.7.D.0.-.-.0.L.F	rust-handcrafted-g0	04	2	-240	262	1	0	0	1
10002Pe4.13W61G.6.6.L.0.-.-.0.D.G	rust-evo-g1-c0-279-109-820-53-117-66	0I	2	-494	407	1	0	0	1
10002Pe4.13W61G.6.6.L.0.-.-.0.D.G	rust-handcrafted-g0	0I	2	-405	252	1	0	0	1
10003Pe4.13W61G.5.6.D.0.-.-.0.L.H	rust-evo-g1-c0-279-109-820-53-117-66	0W	2	-335	305	1	0	0	1
10003Pe4.13W61G.5.6.D.0.-.-.0.L.H	rust-handcrafted-g0	0W	2	-330	276	1	0	0	1
10003Pe4.53W61G.5.5.L.0.-.-.0.D.I	rust-evo-g1-c0-279-109-820-53-117-66	0A	2	-120	180	1	0	0	1
10003Pe4.53W61G.5.5.L.0.-.-.0.D.I	rust-handcrafted-g0	0A	2	-75	122	1	0	0	1
10003Pu4.53W61G.4.5.D.0.-.-.0.L.J	rust-evo-g1-c0-279-109-820-53-117-66	0X	2	-268	174	1	0	0	1
10003Pu4.53W61G.4.5.D.0.-.-.0.L.J	rust-handcrafted-g0	0X	2	-275	174	1	0	0	1
10003Pu4.D3W61G.4.4.L.0.-.-.0.D.K	rust-evo-g1-c0-279-109-820-53-117-66	0Y	2	-173	168	1	0	0	1
10003Pu4.D3W61G.4.4.L.0.-.-.0.D.K	rust-handcrafted-g0	0Y	2	-130	168	1	0	0	1
10004210W.4000OG00.9.A.D.0.-.-.0.L.9	rust-evo-g1-c0-279-109-820-53-117-66	0N	2	-1344	158	1	0	1	0
10004210W.4000OG00.9.A.D.0.-.-.0.L.9	rust-handcrafted-g0	0N	2	-1205	158	1	0	1	0
10004210W.4000uG00.9.9.L.0.-.-.0.D.A	rust-evo-g1-c0-279-109-820-53-117-66	0X	2	903	154	1	1	0	0
10004210W.4000uG00.9.9.L.0.-.-.0.D.A	rust-handcrafted-g0	0X	2	800	154	1	1	0	0
10084210W.4000uG00.8.9.D.0.-.-.0.L.B	rust-evo-g1-c0-279-109-820-53-117-66	06	2	-13490	222	1	0	1	0
10084210W.4000uG00.8.9.D.0.-.-.0.L.B	rust-handcrafted-g0	06	2	-11610	186	1	0	1	0
10084210W.4000uG10.8.8.L.0.-.-.0.D.C	rust-evo-g1-c0-279-109-820-53-117-66	04	2	890	286	1	1	0	0
10084210W.4000uG10.8.8.L.0.-.-.0.D.C	rust-handcrafted-g0	04	2	775	286	1	1	0	0
10084210m.4000uG10.7.8.D.0.-.-.0.L.D	rust-evo-g1-c0-279-109-820-53-117-66	0D	2	-13543	176	1	0	1	0
10084210m.4000uG10.7.8.D.0.-.-.0.L.D	rust-handcrafted-g0	0D	2	-11665	176	1	0	1	0
10084210m.4000uI10.7.7.L.0.-.-.0.D.E	rust-evo-g1-c0-279-109-820-53-117-66	0B	2	943	270	1	1	0	0
10084210m.4000uI10.7.7.L.0.-.-.0.D.E	rust-handcrafted-g0	0B	2	830	270	1	1	0	0
1008421Wm.4000uI10.6.7.D.0.-.-.0.L.F	rust-evo-g1-c0-279-109-820-53-117-66	0K	2	-13596	166	1	0	1	0
1008421Wm.4000uI10.6.7.D.0.-.-.0.L.F	rust-handcrafted-g0	0K	2	-11720	166	1	0	1	0
1008421Wm.4000yI10.6.6.L.0.-.-.0.D.G	rust-evo-g1-c0-279-109-820-53-117-66	0I	2	996	254	1	1	0	0
1008421Wm.4000yI10.6.6.L.0.-.-.0.D.G	rust-handcrafted-g0	0I	2	885	254	1	1	0	0
1008431Wm.4000yI10.5.6.D.0.-.-.0.L.H	rust-evo-g1-c0-279-109-820-53-117-66	0R	2	-13649	156	1	0	1	0
1008431Wm.4000yI10.5.6.D.0.-.-.0.L.H	rust-handcrafted-g0	0R	2	-11775	156	1	0	1	0
1008431Wm.4008yI10.5.5.L.0.-.-.0.D.I	rust-evo-g1-c0-279-109-820-53-117-66	0P	2	1049	266	1	1	0	0
1008431Wm.4008yI10.5.5.L.0.-.-.0.D.I	rust-handcrafted-g0	0P	2	940	238	1	1	0	0
1008631Wm.4008yI10.4.5.D.0.-.-.0.L.J	rust-evo-g1-c0-279-109-820-53-117-66	0Y	2	-13649	146	1	0	1	0
1008631Wm.4008yI10.4.5.D.0.-.-.0.L.J	rust-handcrafted-g0	0Y	2	-11775	146	1	0	1	0
1008631Wm.40G8yI10.4.4.L.0.-.-.0.D.K	rust-evo-g1-c0-279-109-820-53-117-66	0W	2	1049	222	1	1	0	0
1008631Wm.40G8yI10.4.4.L.0.-.-.0.D.K	rust-handcrafted-g0	0W	2	940	222	1	1	0	0
100C631Wm.40G8yI10.3.4.D.0.-.-.0.L.L	rust-evo-g1-c0-279-109-820-53-117-66	0e	2	-13604	136	1	0	1	0
100C631Wm.40G8yI10.3.4.D.0.-.-.0.L.L	rust-handcrafted-g0	0f	2	-11775	110	1	0	1	0
100C631Wm.4GG8yI10.3.3.L.0.-.-.0.D.M	rust-handcrafted-g0	0f	2	11445	106	1	1	0	0
100C631Wm.4WG8yI10.3.3.L.0.-.-.0.D.M	rust-evo-g1-c0-279-109-820-53-117-66	0d	2	1102	131	1	1	0	0
1030WmQ1.C0C0024E.4.5.D.0.-.-.0.L.J	rust-evo-g1-c0-279-109-820-53-117-66	0L	2	-762	174	1	0	0	1
1030WmQ1.C0C0824E.4.4.L.0.-.-.0.D.K	rust-handcrafted-g0	0T	2	90	195	1	0	0	1
103WWmQ1.C0C0824E.3.4.D.0.-.-.0.L.L	rust-evo-g1-c0-279-109-820-53-117-66	0c	2	-879	188	1	0	0	1
103WWmQ1.C4C0824E.3.3.L.0.-.-.0.D.M	rust-handcrafted-g0	0O	2	165	205	1	0	0	1
103XWmQ1.C4C0824E.2.3.D.0.-.-.0.L.N	rust-evo-g1-c0-279-109-820-53-117-66	04	2	-815	126	1	0	0	1
103XWmQ1.C4C0824U.2.2.L.0.-.-.0.D.O	rust-handcrafted-g0	0a	2	35	167	1	0	0	1
108C631Wm.4WG8yI10.2.3.D.0.-.-.0.L.N	rust-handcrafted-g0	0k	2	-12165	679	1	0	1	0
108C631Wm.KWG8yI10.2.2.L.0.-.-.0.D.O	rust-evo-g1-c0-279-109-820-53-117-66	0j	2	13612	98	1	1	0	0
10G03Pe6.D3Wc1O.3.2.L.G0.-.-.1.D.O	rust-evo-g1-c0-279-109-820-53-117-66	05	2	-547	219	1	0	0	1
10G03Pe6.D3Wc1O.3.2.L.G0.-.-.1.D.O	rust-handcrafted-g0	05	2	-515	219	1	0	0	1
10G03Pec.D3Wc1O.2.2.D.0.-.-.0.L.P	rust-evo-g1-c0-279-109-820-53-117-66	0A	2	50	190	1	0	0	1
10G03Pec.D3Wc1O.2.2.D.0.-.-.0.L.P	rust-handcrafted-g0	0A	2	110	98	1	0	0	1
10G03Pec.D3WcHO.2.1.L.0.-.-.0.D.Q	rust-evo-g1-c0-279-109-820-53-117-66	08	2	-653	354	1	0	0	1
10G03Pec.D3WcHO.2.1.L.0.-.-.0.D.Q	rust-handcrafted-g0	08	2	-625	312	1	0	0	1
10G03Pic.D3WcHO.1.1.D.0.-.-.0.L.R	rust-evo-g1-c0-279-109-820-53-117-66	0Q	2	-14	153	1	0	0	1
10G03Pic.D3WcHO.1.1.D.0.-.-.0.L.R	rust-handcrafted-g0	0Q	2	35	153	1	0	0	1
10G03Pic.D7WcHO.1.0.L.0.-.-.0.D.S	rust-evo-g1-c0-279-109-820-53-117-66	0R	2	-544	114	1	0	0	1
10G03Pic.D7WcHO.1.0.L.0.-.-.0.D.S	rust-handcrafted-g0	0R	2	-515	114	1	0	0	1
10G03Pu4.D3W61G.3.4.D.0.-.-.0.L.L	rust-evo-g1-c0-279-109-820-53-117-66	03	2	-366	214	1	0	0	1
10G03Pu4.D3W61G.3.4.D.0.-.-.0.L.L	rust-handcrafted-g0	03	2	-330	188	1	0	0	1
10G03Pu4.D3W61O.3.3.L.0.-.-.0.D.M	rust-evo-g1-c0-279-109-820-53-117-66	01	2	-1035	723	1	0	0	1
10G03Pu4.D3W61O.3.3.L.0.-.-.0.D.M	rust-handcrafted-g0	01	2	-920	721	1	0	0	1
10G03Pu6.D3W61O.2.3.D.0.-.-.0.L.N	rust-evo-g1-c0-279-109-820-53-117-66	0H	2	-173	102	1	0	0	1
10G03Pu6.D3W61O.2.3.D.0.-.-.0.L.N	rust-handcrafted-g0	0H	2	-130	102	1	0	0	1
10G83Pi6.D7iYGO.1.0.L.G000.M.L.1.D.W	rust-evo-g1-c0-279-109-820-53-117-66	00	2	-13208	159	1	0	0	1
10G83Pi6.D7iYGO.1.0.L.G000.M.L.1.D.W	rust-handcrafted-g0	00	2	-11370	159	1	0	0	1
10G83Pi7.D7iYGO.0.0.D.0.-.L.0.L.X	rust-evo-g1-c0-279-109-820-53-117-66	3X	2	12650	963	1	0	0	1
10G83Pi7.D7iYGO.0.0.D.0.-.L.0.L.X	rust-handcrafted-g0	3X	2	10890	963	1	0	0	1
10G83Pi7.DdiYGG.0.0.L.0.-.T.0.D.Y	rust-evo-g1-c0-279-109-820-53-117-66	Dg	2	-13046	930	1	0	0	1
10G83Pi7.DdiYGG.0.0.L.0.-.T.0.D.Y	rust-handcrafted-g0	Dg	2	-11260	930	1	0	0	1
10G83Pic.D7WcHO.0.0.D.0.-.-.0.L.T	rust-evo-g1-c0-279-109-820-53-117-66	5h	2	-14	1026	1	0	0	1
10G83Pic.D7WcHO.0.0.D.0.-.-.0.L.T	rust-handcrafted-g0	5h	2	35	1026	1	0	0	1
10G83Pic.D7acGO.0.0.L.0.-.K.0.D.U	rust-evo-g1-c0-279-109-820-53-117-66	4y	2	-329	1026	1	0	0	1
10G83Pic.D7acGO.0.0.L.0.-.K.0.D.U	rust-handcrafted-g0	4y	2	-350	978	1	0	0	1
10G8JPi6.D7acGO.0.0.D.0.M.K.0.L.V	rust-evo-g1-c0-279-109-820-53-117-66	Bq	2	265	839	1	0	0	1
10G8JPi6.D7acGO.0.0.D.0.M.K.0.L.V	rust-handcrafted-g0	Bq	2	275	839	1	0	0	1
10W00O4.K00060.9.A.D.0.-.-.0.L.9	rust-evo-g1-c0-279-109-820-53-117-66	0F	2	-667	196	1	0	1	0
10W00O4.K00060.9.A.D.0.-.-.0.L.9	rust-handcrafted-g0	0F	2	-590	196	1	0	1	0
10W00O4.K00860.9.9.L.0.-.-.0.D.A	rust-evo-g1-c0-279-109-820-53-117-66	0h	2	0	154	1	1	0	0
10W00O4.K00860.9.9.L.0.-.-.0.D.A	rust-handcrafted-g0	0h	2	0	154	1	1	0	0
