# p1	seed64	light	dark	winner	reason	2-char-actions
p1	1umu_-	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0h0c0A0a0T0Z030a0b0M0O0U0N0i0g0U0G0d0H0e0k0f0W0b0d000P
p1	1umu__	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0M08070E0L00090102030802040506040D0X0K0H0R0I0Y0m0W0l0X0Q0J0c0d0e0k0d6c0a7U4X8D0P040j0V3S0gYd4KF35QU0
p1	1umu_y	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	010N0J0L0M080F0T0a080Q070C05060X0D090e0G0X0E0l
p1	1umu_z	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0c0503040A020H0301000801060B0C0J0B0K0C0D0Q07090J0E0C
p1	1umv0-	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0F0J0801000M0T0a070M0G0N0U0b0L0N0h090T0Z0a0M0S0E0G0H0U020N
p1	1umv00	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0M0Q0F0100070E0T070N0O0P0N0R0V0c0j0S0c
p1	1umv01	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0G0g0i0N0U0h0b0j020i0k0l090k0m0W0e0X0N0Y0c0d
p1	1umv02	rust-pathfinder-v0.1.0	lunatic-v0.1.0	D	P	0R0B040D0I070B0W0P0S000T030U0O0V020H060J0K0I0M0F0P0Y0f0I0d0k0P0Y0X0Q0I0e080X
p1	1umv03	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0W0N0P04030205030B060C050009070G0E0U0L0V0S0a0Z0g0b0h0a0T0i0a
p1	1umv04	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0X0h0e0l0B0g0m00040E020F030G0C0J050I0Q0H0K0J0P0f070d0D0V0W0O2k0c3c0e4U
p1	1umv05	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	090g0i0U0T0S0V0W0T0V010F020M0X0N050Y0C0X000E
p1	1umv06	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0Q0E0J05060D0K0X0D0S000T010U020V0B0W0e0Y0X0l0d0k0m0f0d0c0R031M0i0j0c27010c
p1	1umv07	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0B0L0P0I0H030J0405060C05010209000801
p1	1umv08	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0k0R0B0P0I0L0W0d0P0Z0V0c0j0a0O0c0b040U0i0H0X0h000i010A03ZG098h059L
p1	1umv09	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0W0a0d0A0B0C040c0b0e0Z0g0f090B070D080I060P0C0k0B050Q0J0O0X000P0C0N0K010D
p1	1umv0A	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0e0h0B0g0l00040E0I0F020G0P0H0J0O0Q0X0Y010W030X
p1	1umv0B	lunatic-v0.1.0	rust-pathfinder-v0.1.0	L	P	0k0a0d0A0B0C040O0B0I0P0L0N0e090b0D0c0I0l0m0O0d0U0W
p1	1umv0C	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0N0e0U0b0i0Z0b02000107030F0408050G
p1	1umv0D	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0R080D0K0J0I000J070M090L020H0G0F0N0G
p1	1umv0E	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	030204000A0H0O0V0H0S0c0T0j0V0U0N0G0b0a0h0W010V
p1	1umv0F	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0d0W0P0V0W0X040W0S0Y0002070N0L0E0F0O0Z0G080F
p1	1umv0G	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0f0h0Y0m020g0k0a0b0c0l0R0K0e0R0D060d0D0U0X000e
p1	1umv0H	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0g00010203010A040H0305060B05
p1	1umv0I	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0R0b0U0N000Z0a070h080E0T070Y0L0K0M0S0T
p1	1umv0J	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0Q0Y0X0W050X0e0d0c0X0V0U030d0V0T0O0P0A0H0G0S0j0N0I0O
p1	1umv0K	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0h0b0V0Z0S0L0a0M0O0H090G0N0F0G0T0U020S000108070E0T08070308
p1	1umv0L	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0N0a0b0Z020c090W0b0U0d0V0P0O0W0k040T0B0I0J0G0j0i0N0b0j0X0H0W0h0Y
p1	1umv0M	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0h0i0E0g0d0k0j0W0U0c080h0V0X0c0L0F07090M0T0N0G0M0O0a01000H
p1	1umv0N	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0S0K0E0L0M0N000M030O040P050J010I
p1	1umv0O	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0m010002070E0L0S0E0T0Z0U0S0g0M0F0304090G0M0a0h0i0c0V0h0j0b030a
p1	1umv0P	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0F0c0a000108090702040G0A0M0905030B060C05
p1	1umv0Q	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	060T0S0702080D0K0R090K0Y0M0F0f0M0Y0m000e0d0U0e0V0k
p1	1umv0R	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0W0h0k0d0c070e0B0A090C0A080D050I0C0P0J0K0Q0J0O0d01030G0N0M0F0G0E020H040G
p1	1umv0S	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0G0103000A0L090N0H0O060M0U0P0N0b0i0Q0b
p1	1umv0T	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0a0m0h070809010A080g0F0i0j0E0h0G0M0F0B040502030H0I0C0J040C060B050O020003
p1	1umv0U	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	060X0M0S0F0T0a0U0T08010h0N0G0g0E030F0Z0H080I0F
p1	1umv0V	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0M0Q010F08000F020T010304090305060A05
p1	1umv0W	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	070R000L0E0M0S0N0L0Z0g0O0Z
p1	1umv0X	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0205090P0N0G0F0E0H000F010G030402060W0A050C040B070U080D0V0b0T0i0J0U0z0S0K
p1	1umv0Y	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0S0m010g0i0704080A090B0G020H0O0I0H0N0M0U0N0T0b0F0U
p1	1umv0Z	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0D0E0K0X0Y0R0W0Q040X0B0H0I0P0G05060H0N0O020F090G
p1	1umv0_	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	030R0O0G0H0I0A0H0E0F0007050J080M0L0N0T0a010T020K040S
p1	1umv0a	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0B050403010204000J010Q0X0C0A0I0H0P0W0d0O0k0W0e0V0X
p1	1umv0b	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	030X0V0W0A0U0H0T0V0O0N0M0P0Q000L060R0N0G0F0c010V
p1	1umv0c	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0l0H0Q0J0C0X0e0J0I0X0005070S0E0T0L0U0Z0V0S0g0h0i0O0a0h0P0b0B0a
p1	1umv0d	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0708090M0L0E0N0F0G0H020G0I0J0K0I060D0C05040C
p1	1umv0e	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	070T0W000102060E0B040I010C0P0D0d0H0O0V0c050O0A090L0S0l0Q0K0R0Y0G0R1F0f1Y0e
p1	1umv0f	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0f0G0K0R0Y0m0l0R0Q0J0C0j050k0J0l0i0b0U0h0N0g090i
p1	1umv0g	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0J0R0E0L0Q0P0S0M0L07000Z070T0g0N0Z
p1	1umv0h	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0b0A090802090G01000907010F0Z0E0M0N0F0L0T0M040a0S0T0U0V0T0O0M050B030Y0H0W0A0V1N002V0V360X
p1	1umv0i	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0S020304060001030h080D0K0m0C0R0Y0K0Q0f050Y
