# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
1.G0000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0f	4	0	12388	1	1	0	0
10.800000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0M	4	-110	9237	1	1	0	0
10.W0000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0S	4	-55	9981	1	1	0	0
100.5000.D.C.L.2000.-.-.1.D.4	rust-pathfinder-v0.1.0	0R	4	-325	18952	1	1	0	0
100.G05000.D.B.L.80000.-.-.1.D.6	rust-pathfinder-v0.1.0	0J	4	-520	16946	1	1	0	0
1000.W000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0P	4	55	13533	1	1	0	0
1000.W00000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0d	1	850	47	1	0	1	0
10000.40000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	03	1	500	47	1	0	1	0
100000.1G000.D.C.L.W000.-.-.1.D.4	lunatic-v0.1.0	02	1	500	45	1	0	1	0
100000.4000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0G	1	850	47	1	0	1	0
100000.G000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0N	1	850	47	1	0	1	0
1000000.100000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0h	1	850	47	1	0	1	0
10000000.1.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	01	1	850	47	1	0	1	0
10000000.5.D.C.L.2.-.-.1.D.4	lunatic-v0.1.0	03	1	850	45	1	0	1	0
100000000.2.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	00	4	25	10992	1	1	0	0
100000000.G000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0f	1	850	47	1	0	1	0
100000001.2.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	02	1	500	46	1	0	1	0
100000001.6.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	07	4	25	11047	1	1	0	0
10000002.1.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	02	4	-210	28220	1	1	0	0
100000021.406.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	0L	4	320	23601	1	1	0	0
100000021.6.B.C.D.0.-.-.0.L.5	lunatic-v0.1.0	0E	1	850	44	1	0	1	0
10000008.5.C.C.D.0.-.-.0.L.5	rust-pathfinder-v0.1.0	01	4	0	10638	1	1	0	0
10000008.7.C.B.L.0.-.-.0.D.6	lunatic-v0.1.0	0A	1	850	44	1	0	1	0
100000G0.N.C.A.L.8.-.-.1.D.8	lunatic-v0.1.0	0H	1	500	42	1	0	1	0
100000G8.7.B.B.D.0.-.-.0.L.7	rust-pathfinder-v0.1.0	04	4	565	14785	1	1	0	0
100004.1G000.C.C.D.0.-.-.0.L.5	rust-pathfinder-v0.1.0	0N	4	350	8240	1	1	0	0
100004.1m000.C.B.L.0.-.-.0.D.6	lunatic-v0.1.0	0G	1	11850	44	1	0	1	0
1000040.4000000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	00	4	-295	9304	1	1	0	0
1000040.4000001.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	01	1	850	45	1	0	1	0
1000040.4000005.C.B.L.2.-.-.1.D.6	lunatic-v0.1.0	0F	1	500	43	1	0	1	0
1000042.4000001.B.C.D.0.-.-.0.L.5	rust-pathfinder-v0.1.0	02	4	-55	12034	1	1	0	0
100008021.6.A.C.D.400.-.-.1.L.7	lunatic-v0.1.0	0S	1	850	42	1	0	1	0
100008021.G0006.A.B.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0E	4	540	10741	1	1	0	0
100008421.G0006.9.B.D.0.-.-.0.L.9	lunatic-v0.1.0	0T	1	850	41	1	0	1	0
100008421.m0006.9.A.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	0Z	4	1020	10389	1	1	0	0
10000W0.G000000.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	00	1	500	46	1	0	1	0
10000W0.G000001.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	02	4	-55	12304	1	1	0	0
10000W4.G000001.B.C.D.0.-.-.0.L.5	lunatic-v0.1.0	0E	1	500	44	1	0	1	0
10000W4.G000401.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	07	4	0	16559	1	1	0	0
10000WG0.1V.B.8.L.W.-.-.1.D.C	lunatic-v0.1.0	0B	1	500	39	1	0	1	0
10000WG0.N.B.A.D.0.-.-.0.L.9	rust-pathfinder-v0.1.0	03	4	865	8223	1	1	0	0
10000WG0.V.B.9.L.0.-.-.0.D.A	lunatic-v0.1.0	05	1	850	41	1	0	1	0
10000WGW.V.A.9.D.0.-.-.0.L.B	rust-pathfinder-v0.1.0	06	4	536870911	589	1	1	0	0
10000Wm0.1V.A.8.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	05	4	999999986	384	1	1	0	0
10000Y4.G000401.A.B.D.0.-.-.0.L.7	lunatic-v0.1.0	0F	1	500	42	1	0	1	0
10000Y4.G000C01.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0I	4	-110	15164	1	1	0	0
10008.40000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0P	4	-375	14159	1	1	0	0
10008.60000.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0A	1	500	45	1	0	1	0
10008.80000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0G	4	-350	12145	1	1	0	0
10008.80G00.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0H	1	850	45	1	0	1	0
10008.81G00.C.B.L.W00.-.-.1.D.6	lunatic-v0.1.0	0A	1	500	43	1	0	1	0
10008.W000.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	0P	1	11350	46	1	0	1	0
1000800.4000000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	00	4	-295	12842	1	1	0	0
1000800.4000001.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	01	1	850	45	1	0	1	0
10008000.100000000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0S	4	-220	10725	1	1	0	0
10008000.1000G0000.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0Z	1	11850	45	1	0	1	0
1000802.4000001.B.C.D.0.-.-.0.L.5	rust-pathfinder-v0.1.0	08	4	-115	11245	1	1	0	0
1000802.4000041.B.B.L.0.-.-.0.D.6	lunatic-v0.1.0	09	1	850	43	1	0	1	0
1000840.4000005.B.B.D.0.-.-.0.L.7	rust-pathfinder-v0.1.0	01	4	105	9890	1	1	0	0
1000840.4000007.B.A.L.0.-.-.0.D.8	lunatic-v0.1.0	03	1	850	42	1	0	1	0
1000840.400000N.B.9.L.8.-.-.1.D.A	lunatic-v0.1.0	09	1	500	40	1	0	1	0
1000842.1500000Q0.A.8.L.20000000.-.-.1.D.C	lunatic-v0.1.0	0j	1	700	38	1	0	1	0
1000848.4000007.A.A.D.0.-.-.0.L.9	rust-pathfinder-v0.1.0	04	4	515	18391	1	1	0	0
1000882.4000041.A.B.D.0.-.-.0.L.7	rust-pathfinder-v0.1.0	07	4	-355	23448	1	1	0	0
1000882.4000061.A.A.L.0.-.-.0.D.8	lunatic-v0.1.0	02	1	500	41	1	0	1	0
1000886.4000061.9.A.D.0.-.-.0.L.9	rust-pathfinder-v0.1.0	04	4	-465	22710	1	1	0	0
1000886.400006H.9.9.L.0.-.-.0.D.A	lunatic-v0.1.0	0G	1	500	39	1	0	1	0
10008C0.400000N.A.9.D.0.-.-.0.L.B	rust-pathfinder-v0.1.0	03	4	1020	7306	1	1	0	0
10008C0.400000V.A.8.L.0.-.-.0.D.C	lunatic-v0.1.0	05	1	850	39	1	0	1	0
10008C0.400001V.A.7.L.W.-.-.1.D.E	lunatic-v0.1.0	0A	1	500	37	1	0	1	0
10008CW.400000V.9.8.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	06	4	536870911	559	1	1	0	0
10008S0.400001V.9.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	05	4	999999984	364	1	1	0	0
1000K21.W04084.9.A.D.0.-.-.0.L.9	rust-pathfinder-v0.1.0	0b	4	-535	30792	1	1	0	0
1000O06.40000MH.9.8.L.80.-.-.1.D.C	lunatic-v0.1.0	0M	1	500	37	1	0	1	0
1000O86.400006H.8.9.D.0.-.-.0.L.B	rust-pathfinder-v0.1.0	0A	4	-625	14746	1	1	0	0
10010Y4.G000C01.9.A.D.0.-.-.0.L.9	lunatic-v0.1.0	0P	1	850	40	1	0	1	0
10010Y4.G020C01.9.9.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	0W	4	35	30359	1	1	0	0
10012fIWK._00100O8.3.4.L.W00.-.-.1.D.U	lunatic-v0.1.0	0e	1	1200	27	1	0	1	0
10012fIWK._08100O8.3.3.L.G000000.-.-.1.D.W	lunatic-v0.1.0	0Q	1	500	26	1	0	1	0
10012foWK._00000O8.2.5.D.0.-.-.0.L.T	rust-pathfinder-v0.1.0	0O	4	125	10204	1	1	0	0
10016fIWK._08100O8.2.3.D.0.-.-.0.L.X	rust-pathfinder-v0.1.0	0e	4	536870911	1119	1	1	0	0
10016fIWK._G8100O8.2.2.L.0.-.-.0.D.Y	lunatic-v0.1.0	0R	1	500	25	1	0	1	0
1001EfIWK._G8100O8.1.2.D.0.-.-.0.L.Z	rust-pathfinder-v0.1.0	0Y	4	999999964	206	1	1	0	0
1008641Yy.Ze002y01.2.3.L.G000000.-.-.1.D.Q	rust-pathfinder-v0.1.0	0D	4	480	7155	1	1	0	0
1008643Yy.Ze002y01.1.3.D.0.-.-.0.L.R	lunatic-v0.1.0	0V	1	850	25	1	0	1	0
1008643Yy.Ze202y01.1.2.L.0.-.-.0.D.S	rust-pathfinder-v0.1.0	0W	4	780	9882	1	1	0	0
