# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
1.10000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0L	1	850	47	1	0	1	0
1.1000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0T	4	-105	14165	1	1	0	0
1.100G000.D.C.L.W0000.-.-.1.D.4	rust-pathfinder-v0.1.0	0W	4	-350	18831	1	1	0	0
1.1G0000.D.C.L.W0000.-.-.1.D.4	lunatic-v0.1.0	0V	1	850	45	2	0	2	0
1.2.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	07	4	55	18290	1	1	0	0
1.200.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	07	1	850	47	1	0	1	0
1.20000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0k	4	-25	12235	1	1	0	0
1.400.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0F	1	850	47	1	0	1	0
1.4000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0E	1	850	47	1	0	1	0
1.8.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	07	1	500	47	1	0	1	0
1.80.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	07	1	850	47	1	0	1	0
1.800000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0S	1	850	47	1	0	1	0
1.8000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Z	1	850	47	1	0	1	0
1.G.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0H	4	0	17532	1	1	0	0
1.G0000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0T	1	850	47	2	0	2	0
1.G0000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0O	4	-185	16498	1	1	0	0
1.K00.D.C.L.800.-.-.1.D.4	lunatic-v0.1.0	0H	1	850	45	1	0	1	0
1.W00.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0E	1	850	47	1	0	1	0
1.W000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Z	1	850	47	1	0	1	0
1.W000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0b	4	-185	14365	1	1	0	0
10.100.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0D	1	850	47	1	0	1	0
10.100.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	04	4	0	15609	1	1	0	0
10.10000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0R	1	850	47	1	0	1	0
10.100000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Y	1	850	47	1	0	1	0
10.1000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0f	1	850	47	1	0	1	0
10.200.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	08	4	-20	30440	1	1	0	0
10.2000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0F	4	-130	16565	1	1	0	0
10.2000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0f	1	850	47	1	0	1	0
10.200W.D.C.L.100.-.-.1.D.4	rust-pathfinder-v0.1.0	08	4	-220	10994	1	1	0	0
10.40.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0D	1	850	47	1	0	1	0
10.400.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0K	1	850	47	1	0	1	0
10.400.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	07	4	-210	20311	1	1	0	0
10.4000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0E	1	850	47	1	0	1	0
10.4000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0M	4	-190	19191	1	1	0	0
10.4000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0f	1	850	47	1	0	1	0
10.40000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0m	1	850	47	1	0	1	0
10.401.D.C.L.20.-.-.1.D.4	rust-pathfinder-v0.1.0	08	4	-320	17042	1	1	0	0
10.800.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0E	4	-55	10259	1	1	0	0
10.8000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0b	4	-105	17535	1	1	0	0
10.G00.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0K	1	850	47	1	0	1	0
10.G00.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	-130	18415	1	1	0	0
10.G000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0R	1	850	47	1	0	1	0
10.G0000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Y	1	850	47	2	0	2	0
10.G0000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0d	4	0	14806	2	2	0	0
10.G0400000.D.C.L.8000000.-.-.1.D.4	rust-pathfinder-v0.1.0	0S	4	-325	16499	2	2	0	0
10.W00.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0K	1	850	47	1	0	1	0
10.W000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	03	4	-110	18745	1	1	0	0
10.W000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Z	1	850	47	2	0	2	0
10.W0000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0m	1	850	47	1	1	0	0
100.10.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	05	1	850	47	1	0	1	0
